date,ALXN stock
2015-04-10,0
2015-04-11,0
2015-04-12,0
2015-04-13,0
2015-04-14,0
2015-04-15,0
2015-04-16,0
2015-04-17,22
2015-04-18,0
2015-04-19,0
2015-04-20,0
2015-04-21,21
2015-04-22,0
2015-04-23,21
2015-04-24,0
2015-04-25,0
2015-04-26,0
2015-04-27,21
2015-04-28,21
2015-04-29,0
2015-04-30,0
2015-05-01,23
2015-05-02,25
2015-05-03,0
2015-05-04,21
2015-05-05,21
2015-05-06,62
2015-05-07,0
2015-05-08,0
2015-05-09,0
2015-05-10,0
2015-05-11,21
2015-05-12,0
2015-05-13,0
2015-05-14,65
2015-05-15,43
2015-05-16,0
2015-05-17,0
2015-05-18,0
2015-05-19,0
2015-05-20,0
2015-05-21,0
2015-05-22,44
2015-05-23,0
2015-05-24,25
2015-05-25,0
2015-05-26,0
2015-05-27,0
2015-05-28,21
2015-05-29,22
2015-05-30,25
2015-05-31,25
2015-06-01,21
2015-06-02,0
2015-06-03,21
2015-06-04,0
2015-06-05,0
2015-06-06,0
2015-06-07,0
2015-06-08,0
2015-06-09,20
2015-06-10,42
2015-06-11,42
2015-06-12,22
2015-06-13,0
2015-06-14,0
2015-06-15,20
2015-06-16,20
2015-06-17,0
2015-06-18,0
2015-06-19,0
2015-06-20,0
2015-06-21,0
2015-06-22,21
2015-06-23,41
2015-06-24,21
2015-06-25,0
2015-06-26,0
2015-06-27,0
2015-06-28,0
2015-06-29,42
2015-06-30,21
2015-07-01,21
2015-07-02,0
2015-07-03,0
2015-07-04,0
2015-07-05,0
2015-07-06,21
2015-07-07,0
2015-07-08,21
2015-07-09,21
2015-07-10,22
2015-07-11,0
2015-07-12,0
2015-07-13,21
2015-07-14,0
2015-07-15,42
2015-07-16,65
2015-07-17,0
2015-07-18,0
2015-07-19,0
2015-07-20,22
2015-07-21,0
2015-07-22,0
2015-07-23,0
2015-07-24,0
2015-07-25,0
2015-07-26,25
2015-07-27,0
2015-07-28,21
2015-07-29,21
2015-07-30,21
2015-07-31,22
2015-08-01,50
2015-08-02,0
2015-08-03,0
2015-08-04,21
2015-08-05,0
2015-08-06,21
2015-08-07,22
2015-08-08,0
2015-08-09,0
2015-08-10,0
2015-08-11,0
2015-08-12,42
2015-08-13,0
2015-08-14,43
2015-08-15,0
2015-08-16,0
2015-08-17,21
2015-08-18,0
2015-08-19,0
2015-08-20,21
2015-08-21,0
2015-08-22,25
2015-08-23,0
2015-08-24,100
2015-08-25,40
2015-08-26,41
2015-08-27,41
2015-08-28,0
2015-08-29,0
2015-08-30,0
2015-08-31,20
2015-09-01,0
2015-09-02,81
2015-09-03,40
2015-09-04,42
2015-09-05,0
2015-09-06,0
2015-09-07,0
2015-09-08,0
2015-09-09,0
2015-09-10,20
2015-09-11,0
2015-09-12,0
2015-09-13,0
2015-09-14,19
2015-09-15,20
2015-09-16,0
2015-09-17,0
2015-09-18,21
2015-09-19,0
2015-09-20,0
2015-09-21,19
2015-09-22,20
2015-09-23,20
2015-09-24,0
2015-09-25,0
2015-09-26,0
2015-09-27,0
2015-09-28,0
2015-09-29,19
2015-09-30,20
2015-10-01,39
2015-10-02,0
2015-10-03,0
2015-10-04,0
2015-10-05,0
2015-10-06,19
2015-10-07,0
2015-10-08,0
2015-10-09,0
2015-10-10,0
2015-10-11,0
2015-10-12,0
2015-10-13,0
2015-10-14,0
2015-10-15,19
2015-10-16,20
2015-10-17,0
2015-10-18,0
2015-10-19,39
2015-10-20,19
2015-10-21,0
2015-10-22,39
2015-10-23,0
2015-10-24,23
2015-10-25,0
2015-10-26,19
2015-10-27,19
2015-10-28,38
2015-10-29,98
2015-10-30,20
2015-10-31,0
2015-11-01,0
2015-11-02,0
2015-11-03,0
2015-11-04,19
2015-11-05,38
2015-11-06,0
2015-11-07,0
2015-11-08,0
2015-11-09,19
2015-11-10,0
2015-11-11,0
2015-11-12,20
2015-11-13,20
2015-11-14,0
2015-11-15,0
2015-11-16,38
2015-11-17,0
2015-11-18,0
2015-11-19,20
2015-11-20,20
2015-11-21,0
2015-11-22,0
2015-11-23,0
2015-11-24,19
2015-11-25,0
2015-11-26,0
2015-11-27,0
2015-11-28,0
2015-11-29,0
2015-11-30,37
2015-12-01,0
2015-12-02,0
2015-12-03,0
2015-12-04,0
2015-12-05,0
2015-12-06,0
2015-12-07,19
2015-12-08,0
2015-12-09,19
2015-12-10,0
2015-12-11,81
2015-12-12,0
2015-12-13,0
2015-12-14,0
2015-12-15,40
2015-12-16,20
2015-12-17,41
2015-12-18,0
2015-12-19,0
2015-12-20,0
2015-12-21,0
2015-12-22,0
2015-12-23,22
2015-12-24,0
2015-12-25,0
2015-12-26,0
