date,ALXN stock
2018-02-13,34
2018-02-14,27
2018-02-15,27
2018-02-16,28
2018-02-17,0
2018-02-18,15
2018-02-19,13
2018-02-20,39
2018-02-21,0
2018-02-22,13
2018-02-23,21
2018-02-24,15
2018-02-25,0
2018-02-26,0
2018-02-27,13
2018-02-28,45
2018-03-01,13
2018-03-02,27
2018-03-03,15
2018-03-04,0
2018-03-05,13
2018-03-06,13
2018-03-07,26
2018-03-08,26
2018-03-09,27
2018-03-10,15
2018-03-11,0
2018-03-12,26
2018-03-13,20
2018-03-14,20
2018-03-15,100
2018-03-16,34
2018-03-17,15
2018-03-18,0
2018-03-19,20
2018-03-20,26
2018-03-21,26
2018-03-22,60
2018-03-23,34
2018-03-24,15
2018-03-25,15
2018-03-26,20
2018-03-27,27
2018-03-28,34
2018-03-29,14
2018-03-30,15
2018-03-31,0
2018-04-01,16
2018-04-02,14
2018-04-03,20
2018-04-04,13
2018-04-05,34
2018-04-06,28
2018-04-07,15
2018-04-08,15
