date,ALXN stock
2017-05-29,0
2017-05-30,36
2017-05-31,24
2017-06-01,38
2017-06-02,78
2017-06-03,0
2017-06-04,0
2017-06-05,37
2017-06-06,48
2017-06-07,36
2017-06-08,24
2017-06-09,25
2017-06-10,15
2017-06-11,0
2017-06-12,24
2017-06-13,83
2017-06-14,85
2017-06-15,100
2017-06-16,51
2017-06-17,29
2017-06-18,0
2017-06-19,72
2017-06-20,35
2017-06-21,59
2017-06-22,12
2017-06-23,37
2017-06-24,0
2017-06-25,14
2017-06-26,12
2017-06-27,38
2017-06-28,63
2017-06-29,25
2017-06-30,13
2017-07-01,0
2017-07-02,14
2017-07-03,13
2017-07-04,0
2017-07-05,64
2017-07-06,51
2017-07-07,65
2017-07-08,0
2017-07-09,0
2017-07-10,12
2017-07-11,61
2017-07-12,0
2017-07-13,38
2017-07-14,26
2017-07-15,0
2017-07-16,0
2017-07-17,12
2017-07-18,25
2017-07-19,24
2017-07-20,0
2017-07-21,13
2017-07-22,0
2017-07-23,0
2017-07-24,12
2017-07-25,25
2017-07-26,0
2017-07-27,74
2017-07-28,26
2017-07-29,0
2017-07-30,0
2017-07-31,12
2017-08-01,12
2017-08-02,0
2017-08-03,24
2017-08-04,49
2017-08-05,0
2017-08-06,0
2017-08-07,12
2017-08-08,11
2017-08-09,12
2017-08-10,12
2017-08-11,25
2017-08-12,0
2017-08-13,0
2017-08-14,12
2017-08-15,12
2017-08-16,24
2017-08-17,12
2017-08-18,25
2017-08-19,0
2017-08-20,14
2017-08-21,12
2017-08-22,0
2017-08-23,36
2017-08-24,25
2017-08-25,0
2017-08-26,0
2017-08-27,0
2017-08-28,24
2017-08-29,12
2017-08-30,0
2017-08-31,60
2017-09-01,25
2017-09-02,0
2017-09-03,0
2017-09-04,0
2017-09-05,47
2017-09-06,12
2017-09-07,24
2017-09-08,0
2017-09-09,0
2017-09-10,13
2017-09-11,12
2017-09-12,70
2017-09-13,23
2017-09-14,48
2017-09-15,0
2017-09-16,14
2017-09-17,0
2017-09-18,0
2017-09-19,12
2017-09-20,12
2017-09-21,0
2017-09-22,12
2017-09-23,0
2017-09-24,0
2017-09-25,23
2017-09-26,0
2017-09-27,0
2017-09-28,0
2017-09-29,37
2017-09-30,0
2017-10-01,0
2017-10-02,0
2017-10-03,23
2017-10-04,12
2017-10-05,12
2017-10-06,24
2017-10-07,0
2017-10-08,0
2017-10-09,12
2017-10-10,0
2017-10-11,0
2017-10-12,12
2017-10-13,12
2017-10-14,0
2017-10-15,0
2017-10-16,0
2017-10-17,23
2017-10-18,23
2017-10-19,0
2017-10-20,0
2017-10-21,0
2017-10-22,13
2017-10-23,46
2017-10-24,34
2017-10-25,46
2017-10-26,59
2017-10-27,0
2017-10-28,13
2017-10-29,0
2017-10-30,11
2017-10-31,35
2017-11-01,47
2017-11-02,12
2017-11-03,0
2017-11-04,13
2017-11-05,13
2017-11-06,23
2017-11-07,0
2017-11-08,11
2017-11-09,11
2017-11-10,12
2017-11-11,0
2017-11-12,0
2017-11-13,11
2017-11-14,22
2017-11-15,22
2017-11-16,0
2017-11-17,23
2017-11-18,13
2017-11-19,0
2017-11-20,11
2017-11-21,0
2017-11-22,11
2017-11-23,12
2017-11-24,0
2017-11-25,0
2017-11-26,0
2017-11-27,0
2017-11-28,33
2017-11-29,11
2017-11-30,23
2017-12-01,24
2017-12-02,0
2017-12-03,0
2017-12-04,11
2017-12-05,22
2017-12-06,0
2017-12-07,23
2017-12-08,12
2017-12-09,0
2017-12-10,0
2017-12-11,33
2017-12-12,22
2017-12-13,0
2017-12-14,0
2017-12-15,0
2017-12-16,0
2017-12-17,0
2017-12-18,0
2017-12-19,12
2017-12-20,35
2017-12-21,12
2017-12-22,13
2017-12-23,0
2017-12-24,0
2017-12-25,0
2017-12-26,38
2017-12-27,12
2017-12-28,49
2017-12-29,25
2017-12-30,0
2017-12-31,0
2018-01-01,0
2018-01-02,0
2018-01-03,34
2018-01-04,11
2018-01-05,35
2018-01-06,0
2018-01-07,13
2018-01-08,22
2018-01-09,44
2018-01-10,22
2018-01-11,11
2018-01-12,12
2018-01-13,0
2018-01-14,0
2018-01-15,0
2018-01-16,32
2018-01-17,0
2018-01-18,0
2018-01-19,46
2018-01-20,0
2018-01-21,12
2018-01-22,11
2018-01-23,22
2018-01-24,11
2018-01-25,0
2018-01-26,11
2018-01-27,0
2018-01-28,0
2018-01-29,33
2018-01-30,11
2018-01-31,11
2018-02-01,33
2018-02-02,34
2018-02-03,0
2018-02-04,0
2018-02-05,77
2018-02-06,11
2018-02-07,11
2018-02-08,55
2018-02-09,11
2018-02-10,0
2018-02-11,13
2018-02-12,22
2018-02-13,11
