date,ALXN stock
2016-09-11,0
2016-09-12,22
2016-09-13,0
2016-09-14,22
2016-09-15,0
2016-09-16,11
2016-09-17,0
2016-09-18,0
2016-09-19,21
2016-09-20,0
2016-09-21,11
2016-09-22,0
2016-09-23,11
2016-09-24,12
2016-09-25,0
2016-09-26,0
2016-09-27,11
2016-09-28,0
2016-09-29,11
2016-09-30,11
2016-10-01,0
2016-10-02,0
2016-10-03,0
2016-10-04,31
2016-10-05,0
2016-10-06,11
2016-10-07,11
2016-10-08,0
2016-10-09,0
2016-10-10,21
2016-10-11,11
2016-10-12,0
2016-10-13,0
2016-10-14,0
2016-10-15,0
2016-10-16,0
2016-10-17,0
2016-10-18,10
2016-10-19,11
2016-10-20,10
2016-10-21,22
2016-10-22,0
2016-10-23,0
2016-10-24,21
2016-10-25,0
2016-10-26,0
2016-10-27,65
2016-10-28,11
2016-10-29,37
2016-10-30,0
2016-10-31,21
2016-11-01,0
2016-11-02,0
2016-11-03,0
2016-11-04,33
2016-11-05,0
2016-11-06,0
2016-11-07,21
2016-11-08,31
2016-11-09,38
2016-11-10,32
2016-11-11,0
2016-11-12,0
2016-11-13,0
2016-11-14,31
2016-11-15,10
2016-11-16,0
2016-11-17,10
2016-11-18,22
2016-11-19,0
2016-11-20,0
2016-11-21,0
2016-11-22,21
2016-11-23,31
2016-11-24,0
2016-11-25,0
2016-11-26,0
2016-11-27,11
2016-11-28,0
2016-11-29,0
2016-11-30,20
2016-12-01,0
2016-12-02,0
2016-12-03,0
2016-12-04,0
2016-12-05,9
2016-12-06,10
2016-12-07,0
2016-12-08,0
2016-12-09,31
2016-12-10,23
2016-12-11,0
2016-12-12,58
2016-12-13,70
2016-12-14,50
2016-12-15,52
2016-12-16,0
2016-12-17,12
2016-12-18,12
2016-12-19,0
2016-12-20,11
2016-12-21,43
2016-12-22,11
2016-12-23,34
2016-12-24,0
2016-12-25,0
2016-12-26,0
2016-12-27,11
2016-12-28,11
2016-12-29,11
2016-12-30,34
2016-12-31,12
2017-01-01,0
2017-01-02,0
2017-01-03,20
2017-01-04,31
2017-01-05,21
2017-01-06,53
2017-01-07,0
2017-01-08,0
2017-01-09,10
2017-01-10,29
2017-01-11,20
2017-01-12,10
2017-01-13,20
2017-01-14,0
2017-01-15,0
2017-01-16,0
2017-01-17,0
2017-01-18,20
2017-01-19,10
2017-01-20,10
2017-01-21,11
2017-01-22,0
2017-01-23,0
2017-01-24,0
2017-01-25,10
2017-01-26,10
2017-01-27,20
2017-01-28,11
2017-01-29,0
2017-01-30,10
2017-01-31,0
2017-02-01,9
2017-02-02,10
2017-02-03,10
2017-02-04,0
2017-02-05,11
2017-02-06,9
2017-02-07,0
2017-02-08,10
2017-02-09,0
2017-02-10,0
2017-02-11,0
2017-02-12,0
2017-02-13,9
2017-02-14,19
2017-02-15,29
2017-02-16,48
2017-02-17,39
2017-02-18,0
2017-02-19,11
2017-02-20,10
2017-02-21,10
2017-02-22,10
2017-02-23,0
2017-02-24,0
2017-02-25,0
2017-02-26,0
2017-02-27,0
2017-02-28,0
2017-03-01,9
2017-03-02,0
2017-03-03,0
2017-03-04,0
2017-03-05,11
2017-03-06,9
2017-03-07,27
2017-03-08,0
2017-03-09,19
2017-03-10,0
2017-03-11,0
2017-03-12,0
2017-03-13,0
2017-03-14,0
2017-03-15,38
2017-03-16,10
2017-03-17,20
2017-03-18,0
2017-03-19,11
2017-03-20,10
2017-03-21,19
2017-03-22,19
2017-03-23,10
2017-03-24,10
2017-03-25,0
2017-03-26,0
2017-03-27,10
2017-03-28,0
2017-03-29,10
2017-03-30,0
2017-03-31,10
2017-04-01,0
2017-04-02,0
2017-04-03,0
2017-04-04,10
2017-04-05,19
2017-04-06,19
2017-04-07,20
2017-04-08,11
2017-04-09,0
2017-04-10,10
2017-04-11,29
2017-04-12,0
2017-04-13,0
2017-04-14,0
2017-04-15,0
2017-04-16,0
2017-04-17,0
2017-04-18,19
2017-04-19,19
2017-04-20,10
2017-04-21,0
2017-04-22,0
2017-04-23,0
2017-04-24,0
2017-04-25,10
2017-04-26,9
2017-04-27,48
2017-04-28,40
2017-04-29,0
2017-04-30,0
2017-05-01,0
2017-05-02,0
2017-05-03,19
2017-05-04,10
2017-05-05,0
2017-05-06,0
2017-05-07,0
2017-05-08,48
2017-05-09,10
2017-05-10,10
2017-05-11,10
2017-05-12,10
2017-05-13,0
2017-05-14,0
2017-05-15,10
2017-05-16,10
2017-05-17,10
2017-05-18,0
2017-05-19,11
2017-05-20,12
2017-05-21,0
2017-05-22,0
2017-05-23,40
2017-05-24,62
2017-05-25,21
2017-05-26,100
2017-05-27,12
2017-05-28,0
2017-05-29,0
