date,ALXN stock
2017-10-06,16
2017-10-07,18
2017-10-08,0
2017-10-09,46
2017-10-10,45
2017-10-11,15
2017-10-12,16
2017-10-13,16
2017-10-14,0
2017-10-15,0
2017-10-16,0
2017-10-17,15
2017-10-18,15
2017-10-19,0
2017-10-20,0
2017-10-21,0
2017-10-22,17
2017-10-23,45
2017-10-24,75
2017-10-25,23
2017-10-26,61
2017-10-27,47
2017-10-28,26
2017-10-29,17
2017-10-30,37
2017-10-31,54
2017-11-01,46
2017-11-02,31
2017-11-03,23
2017-11-04,0
2017-11-05,17
2017-11-06,52
2017-11-07,22
2017-11-08,30
2017-11-09,22
2017-11-10,0
2017-11-11,17
2017-11-12,0
2017-11-13,15
2017-11-14,15
2017-11-15,30
2017-11-16,37
2017-11-17,31
2017-11-18,17
2017-11-19,0
2017-11-20,30
2017-11-21,29
2017-11-22,15
2017-11-23,15
2017-11-24,0
2017-11-25,0
2017-11-26,17
2017-11-27,29
2017-11-28,14
2017-11-29,30
2017-11-30,30
2017-12-01,31
2017-12-02,0
2017-12-03,34
2017-12-04,37
2017-12-05,44
2017-12-06,15
2017-12-07,30
2017-12-08,55
2017-12-09,17
2017-12-10,25
2017-12-11,15
2017-12-12,44
2017-12-13,44
2017-12-14,30
2017-12-15,0
2017-12-16,0
2017-12-17,0
2017-12-18,45
2017-12-19,45
2017-12-20,31
2017-12-21,48
2017-12-22,67
2017-12-23,0
2017-12-24,0
2017-12-25,0
2017-12-26,17
2017-12-27,32
2017-12-28,40
2017-12-29,25
2017-12-30,0
2017-12-31,37
2018-01-01,18
2018-01-02,61
2018-01-03,89
2018-01-04,15
2018-01-05,61
2018-01-06,17
2018-01-07,33
2018-01-08,15
2018-01-09,14
2018-01-10,44
2018-01-11,29
2018-01-12,30
2018-01-13,0
2018-01-14,0
2018-01-15,14
2018-01-16,58
2018-01-17,14
2018-01-18,14
2018-01-19,23
2018-01-20,33
2018-01-21,16
2018-01-22,14
2018-01-23,29
2018-01-24,14
2018-01-25,43
2018-01-26,38
2018-01-27,17
2018-01-28,16
2018-01-29,36
2018-01-30,14
2018-01-31,29
2018-02-01,14
2018-02-02,37
2018-02-03,0
2018-02-04,16
2018-02-05,57
2018-02-06,14
2018-02-07,28
2018-02-08,51
2018-02-09,15
2018-02-10,0
2018-02-11,16
2018-02-12,36
2018-02-13,22
2018-02-14,51
2018-02-15,44
2018-02-16,15
2018-02-17,16
2018-02-18,16
2018-02-19,14
2018-02-20,21
2018-02-21,21
2018-02-22,14
2018-02-23,15
2018-02-24,0
2018-02-25,0
2018-02-26,21
2018-02-27,14
2018-02-28,42
2018-03-01,14
2018-03-02,44
2018-03-03,16
2018-03-04,0
2018-03-05,14
2018-03-06,42
2018-03-07,0
2018-03-08,29
2018-03-09,37
2018-03-10,33
2018-03-11,0
2018-03-12,35
2018-03-13,28
2018-03-14,21
2018-03-15,100
2018-03-16,30
2018-03-17,16
2018-03-18,16
2018-03-19,42
2018-03-20,21
2018-03-21,28
2018-03-22,43
2018-03-23,59
2018-03-24,17
2018-03-25,0
2018-03-26,29
2018-03-27,29
2018-03-28,22
2018-03-29,15
2018-03-30,16
2018-03-31,0
2018-04-01,0
2018-04-02,23
2018-04-03,50
2018-04-04,57
2018-04-05,15
2018-04-06,23
2018-04-07,17
2018-04-08,0
