date,Cognizant,isPartial
2015-12-26,32,False
2015-12-27,33,False
2015-12-28,61,False
2015-12-29,62,False
2015-12-30,56,False
2015-12-31,54,False
2016-01-01,35,False
2016-01-02,20,False
2016-01-03,24,False
2016-01-04,48,False
2016-01-05,63,False
2016-01-06,60,False
2016-01-07,69,False
2016-01-08,64,False
2016-01-09,35,False
2016-01-10,27,False
2016-01-11,54,False
2016-01-12,66,False
2016-01-13,55,False
2016-01-14,59,False
2016-01-15,48,False
2016-01-16,29,False
2016-01-17,27,False
2016-01-18,59,False
2016-01-19,69,False
2016-01-20,57,False
2016-01-21,64,False
2016-01-22,66,False
2016-01-23,31,False
2016-01-24,31,False
2016-01-25,49,False
2016-01-26,44,False
2016-01-27,71,False
2016-01-28,70,False
2016-01-29,59,False
2016-01-30,36,False
2016-01-31,33,False
2016-02-01,68,False
2016-02-02,67,False
2016-02-03,70,False
2016-02-04,69,False
2016-02-05,71,False
2016-02-06,38,False
2016-02-07,42,False
2016-02-08,83,False
2016-02-09,85,False
2016-02-10,65,False
2016-02-11,57,False
2016-02-12,58,False
2016-02-13,30,False
2016-02-14,33,False
2016-02-15,57,False
2016-02-16,76,False
2016-02-17,57,False
2016-02-18,66,False
2016-02-19,68,False
2016-02-20,43,False
2016-02-21,30,False
2016-02-22,65,False
2016-02-23,63,False
2016-02-24,65,False
2016-02-25,61,False
2016-02-26,65,False
2016-02-27,47,False
2016-02-28,37,False
2016-02-29,58,False
2016-03-01,57,False
2016-03-02,61,False
2016-03-03,63,False
2016-03-04,65,False
2016-03-05,44,False
2016-03-06,35,False
2016-03-07,69,False
2016-03-08,69,False
2016-03-09,52,False
2016-03-10,61,False
2016-03-11,100,False
2016-03-12,49,False
2016-03-13,41,False
2016-03-14,57,False
2016-03-15,60,False
2016-03-16,72,False
2016-03-17,71,False
2016-03-18,65,False
2016-03-19,39,False
2016-03-20,32,False
2016-03-21,64,False
2016-03-22,51,False
2016-03-23,78,False
2016-03-24,61,False
2016-03-25,48,False
2016-03-26,33,False
2016-03-27,25,False
2016-03-28,55,False
2016-03-29,75,False
2016-03-30,69,False
2016-03-31,62,False
2016-04-01,63,False
2016-04-02,36,False
2016-04-03,37,False
2016-04-04,52,False
2016-04-05,65,False
2016-04-06,67,False
2016-04-07,58,False
2016-04-08,54,False
2016-04-09,40,False
2016-04-10,40,False
2016-04-11,68,False
2016-04-12,57,False
2016-04-13,66,False
2016-04-14,52,False
2016-04-15,67,False
2016-04-16,41,False
2016-04-17,32,False
2016-04-18,66,False
2016-04-19,63,False
2016-04-20,73,False
2016-04-21,66,False
2016-04-22,61,False
2016-04-23,40,False
2016-04-24,31,False
2016-04-25,50,False
2016-04-26,64,False
2016-04-27,64,False
2016-04-28,64,False
2016-04-29,74,False
2016-04-30,42,False
2016-05-01,38,False
2016-05-02,77,False
2016-05-03,70,False
2016-05-04,65,False
2016-05-05,74,False
2016-05-06,93,False
2016-05-07,44,False
2016-05-08,24,False
2016-05-09,66,False
2016-05-10,68,False
2016-05-11,75,False
2016-05-12,62,False
2016-05-13,66,False
2016-05-14,40,False
2016-05-15,29,False
2016-05-16,52,False
2016-05-17,68,False
2016-05-18,58,False
2016-05-19,62,False
