date,Cognizant,isPartial
2013-06-29,41,False
2013-06-30,34,False
2013-07-01,55,False
2013-07-02,50,False
2013-07-03,50,False
2013-07-04,48,False
2013-07-05,45,False
2013-07-06,29,False
2013-07-07,40,False
2013-07-08,56,False
2013-07-09,51,False
2013-07-10,47,False
2013-07-11,49,False
2013-07-12,47,False
2013-07-13,33,False
2013-07-14,28,False
2013-07-15,51,False
2013-07-16,53,False
2013-07-17,55,False
2013-07-18,50,False
2013-07-19,47,False
2013-07-20,35,False
2013-07-21,29,False
2013-07-22,43,False
2013-07-23,51,False
2013-07-24,54,False
2013-07-25,49,False
2013-07-26,54,False
2013-07-27,36,False
2013-07-28,31,False
2013-07-29,57,False
2013-07-30,52,False
2013-07-31,60,False
2013-08-01,44,False
2013-08-02,49,False
2013-08-03,33,False
2013-08-04,28,False
2013-08-05,49,False
2013-08-06,70,False
2013-08-07,71,False
2013-08-08,65,False
2013-08-09,43,False
2013-08-10,26,False
2013-08-11,33,False
2013-08-12,57,False
2013-08-13,55,False
2013-08-14,47,False
2013-08-15,44,False
2013-08-16,50,False
2013-08-17,33,False
2013-08-18,31,False
2013-08-19,44,False
2013-08-20,49,False
2013-08-21,47,False
2013-08-22,49,False
2013-08-23,50,False
2013-08-24,33,False
2013-08-25,28,False
2013-08-26,49,False
2013-08-27,49,False
2013-08-28,48,False
2013-08-29,53,False
2013-08-30,54,False
2013-08-31,39,False
2013-09-01,28,False
2013-09-02,42,False
2013-09-03,55,False
2013-09-04,50,False
2013-09-05,50,False
2013-09-06,57,False
2013-09-07,39,False
2013-09-08,26,False
2013-09-09,47,False
2013-09-10,58,False
2013-09-11,69,False
2013-09-12,62,False
2013-09-13,56,False
2013-09-14,42,False
2013-09-15,38,False
2013-09-16,56,False
2013-09-17,56,False
2013-09-18,67,False
2013-09-19,65,False
2013-09-20,54,False
2013-09-21,44,False
2013-09-22,30,False
2013-09-23,56,False
2013-09-24,63,False
2013-09-25,66,False
2013-09-26,55,False
2013-09-27,55,False
2013-09-28,37,False
2013-09-29,34,False
2013-09-30,53,False
2013-10-01,60,False
2013-10-02,53,False
2013-10-03,57,False
2013-10-04,61,False
2013-10-05,33,False
2013-10-06,31,False
2013-10-07,49,False
2013-10-08,56,False
2013-10-09,57,False
2013-10-10,52,False
2013-10-11,49,False
2013-10-12,28,False
2013-10-13,25,False
2013-10-14,43,False
2013-10-15,53,False
2013-10-16,56,False
2013-10-17,58,False
2013-10-18,50,False
2013-10-19,30,False
2013-10-20,27,False
2013-10-21,52,False
2013-10-22,55,False
2013-10-23,57,False
2013-10-24,59,False
2013-10-25,52,False
2013-10-26,40,False
2013-10-27,30,False
2013-10-28,49,False
2013-10-29,52,False
2013-10-30,58,False
2013-10-31,61,False
2013-11-01,43,False
2013-11-02,24,False
2013-11-03,23,False
2013-11-04,46,False
2013-11-05,71,False
2013-11-06,78,False
2013-11-07,79,False
2013-11-08,78,False
2013-11-09,44,False
2013-11-10,32,False
2013-11-11,57,False
2013-11-12,63,False
2013-11-13,68,False
2013-11-14,62,False
2013-11-15,66,False
2013-11-16,34,False
2013-11-17,40,False
2013-11-18,67,False
2013-11-19,67,False
2013-11-20,66,False
2013-11-21,63,False
2013-11-22,64,False
2013-11-23,42,False
2013-11-24,33,False
2013-11-25,62,False
2013-11-26,67,False
2013-11-27,52,False
2013-11-28,59,False
2013-11-29,47,False
2013-11-30,37,False
2013-12-01,34,False
2013-12-02,64,False
2013-12-03,76,False
2013-12-04,73,False
2013-12-05,71,False
2013-12-06,72,False
2013-12-07,40,False
2013-12-08,36,False
2013-12-09,57,False
2013-12-10,57,False
2013-12-11,65,False
2013-12-12,77,False
2013-12-13,58,False
2013-12-14,45,False
2013-12-15,39,False
2013-12-16,47,False
2013-12-17,58,False
2013-12-18,67,False
2013-12-19,59,False
2013-12-20,62,False
2013-12-21,43,False
2013-12-22,39,False
2013-12-23,55,False
2013-12-24,61,False
2013-12-25,41,False
2013-12-26,46,False
2013-12-27,56,False
2013-12-28,29,False
2013-12-29,34,False
2013-12-30,50,False
2013-12-31,46,False
2014-01-01,33,False
2014-01-02,67,False
2014-01-03,48,False
2014-01-04,42,False
2014-01-05,34,False
2014-01-06,61,False
2014-01-07,60,False
2014-01-08,60,False
2014-01-09,59,False
2014-01-10,58,False
2014-01-11,37,False
2014-01-12,35,False
2014-01-13,58,False
2014-01-14,56,False
2014-01-15,65,False
2014-01-16,72,False
2014-01-17,64,False
2014-01-18,47,False
2014-01-19,29,False
2014-01-20,62,False
2014-01-21,61,False
2014-01-22,64,False
2014-01-23,71,False
2014-01-24,67,False
2014-01-25,51,False
2014-01-26,36,False
2014-01-27,70,False
2014-01-28,59,False
2014-01-29,64,False
2014-01-30,62,False
2014-01-31,63,False
2014-02-01,43,False
2014-02-02,41,False
2014-02-03,80,False
2014-02-04,72,False
2014-02-05,100,False
2014-02-06,69,False
2014-02-07,80,False
2014-02-08,55,False
2014-02-09,44,False
2014-02-10,75,False
2014-02-11,84,False
2014-02-12,72,False
2014-02-13,79,False
2014-02-14,80,False
2014-02-15,46,False
2014-02-16,54,False
2014-02-17,66,False
2014-02-18,73,False
2014-02-19,69,False
2014-02-20,74,False
2014-02-21,67,False
2014-02-22,47,False
2014-02-23,40,False
2014-02-24,70,False
2014-02-25,74,False
2014-02-26,75,False
2014-02-27,79,False
2014-02-28,73,False
2014-03-01,53,False
2014-03-02,44,False
2014-03-03,72,False
2014-03-04,83,False
2014-03-05,77,False
2014-03-06,78,False
2014-03-07,71,False
2014-03-08,55,False
2014-03-09,45,False
2014-03-10,82,False
2014-03-11,81,False
2014-03-12,70,False
2014-03-13,80,False
2014-03-14,88,False
2014-03-15,56,False
2014-03-16,48,False
