date,Cognizant,isPartial
2017-10-06,41,False
2017-10-07,30,False
2017-10-08,23,False
2017-10-09,37,False
2017-10-10,38,False
2017-10-11,40,False
2017-10-12,40,False
2017-10-13,36,False
2017-10-14,21,False
2017-10-15,20,False
2017-10-16,41,False
2017-10-17,38,False
2017-10-18,29,False
2017-10-19,35,False
2017-10-20,39,False
2017-10-21,30,False
2017-10-22,22,False
2017-10-23,40,False
2017-10-24,54,False
2017-10-25,47,False
2017-10-26,45,False
2017-10-27,38,False
2017-10-28,21,False
2017-10-29,18,False
2017-10-30,44,False
2017-10-31,43,False
2017-11-01,59,False
2017-11-02,47,False
2017-11-03,39,False
2017-11-04,25,False
2017-11-05,22,False
2017-11-06,47,False
2017-11-07,45,False
2017-11-08,43,False
2017-11-09,40,False
2017-11-10,39,False
2017-11-11,34,False
2017-11-12,28,False
2017-11-13,44,False
2017-11-14,47,False
2017-11-15,46,False
2017-11-16,45,False
2017-11-17,37,False
2017-11-18,29,False
2017-11-19,21,False
2017-11-20,43,False
2017-11-21,47,False
2017-11-22,43,False
2017-11-23,37,False
2017-11-24,29,False
2017-11-25,23,False
2017-11-26,24,False
2017-11-27,38,False
2017-11-28,42,False
2017-11-29,43,False
2017-11-30,43,False
2017-12-01,34,False
2017-12-02,24,False
2017-12-03,19,False
2017-12-04,37,False
2017-12-05,45,False
2017-12-06,51,False
2017-12-07,36,False
2017-12-08,40,False
2017-12-09,33,False
2017-12-10,20,False
2017-12-11,35,False
2017-12-12,41,False
2017-12-13,41,False
2017-12-14,43,False
2017-12-15,38,False
2017-12-16,32,False
2017-12-17,25,False
2017-12-18,38,False
2017-12-19,39,False
2017-12-20,39,False
2017-12-21,33,False
2017-12-22,31,False
2017-12-23,20,False
2017-12-24,15,False
2017-12-25,18,False
2017-12-26,34,False
2017-12-27,34,False
2017-12-28,37,False
2017-12-29,27,False
2017-12-30,22,False
2017-12-31,15,False
2018-01-01,23,False
2018-01-02,43,False
2018-01-03,38,False
2018-01-04,41,False
2018-01-05,53,False
2018-01-06,25,False
2018-01-07,20,False
2018-01-08,37,False
2018-01-09,47,False
2018-01-10,56,False
2018-01-11,47,False
2018-01-12,40,False
2018-01-13,18,False
2018-01-14,23,False
2018-01-15,26,False
2018-01-16,42,False
2018-01-17,44,False
2018-01-18,42,False
2018-01-19,41,False
2018-01-20,27,False
2018-01-21,21,False
2018-01-22,44,False
2018-01-23,38,False
2018-01-24,45,False
2018-01-25,43,False
2018-01-26,30,False
2018-01-27,22,False
2018-01-28,19,False
2018-01-29,45,False
2018-01-30,47,False
2018-01-31,44,False
2018-02-01,50,False
2018-02-02,40,False
2018-02-03,22,False
2018-02-04,22,False
2018-02-05,47,False
2018-02-06,46,False
2018-02-07,47,False
2018-02-08,54,False
2018-02-09,46,False
2018-02-10,33,False
2018-02-11,20,False
2018-02-12,48,False
2018-02-13,42,False
2018-02-14,44,False
2018-02-15,41,False
2018-02-16,43,False
2018-02-17,25,False
2018-02-18,29,False
2018-02-19,30,False
2018-02-20,46,False
2018-02-21,43,False
2018-02-22,52,False
2018-02-23,49,False
2018-02-24,29,False
2018-02-25,23,False
2018-02-26,41,False
2018-02-27,44,False
2018-02-28,44,False
2018-03-01,47,False
2018-03-02,37,False
2018-03-03,26,False
2018-03-04,24,False
2018-03-05,40,False
2018-03-06,43,False
2018-03-07,40,False
2018-03-08,39,False
2018-03-09,44,False
2018-03-10,28,False
2018-03-11,23,False
2018-03-12,49,False
2018-03-13,55,False
2018-03-14,54,False
2018-03-15,47,False
2018-03-16,40,False
2018-03-17,29,False
2018-03-18,27,False
2018-03-19,47,False
2018-03-20,45,False
2018-03-21,43,False
2018-03-22,49,False
2018-03-23,50,False
2018-03-24,37,False
2018-03-25,28,False
2018-03-26,42,False
2018-03-27,82,False
2018-03-28,100,False
2018-03-29,63,False
2018-03-30,39,False
2018-03-31,39,False
2018-04-01,24,False
2018-04-02,46,False
2018-04-03,55,False
2018-04-04,59,False
2018-04-05,50,False
2018-04-06,48,False
