date,BioMarin,isPartial
2013-01-13,8,False
2013-01-14,14,False
2013-01-15,27,False
2013-01-16,14,False
2013-01-17,20,False
2013-01-18,35,False
2013-01-19,8,False
2013-01-20,0,False
2013-01-21,33,False
2013-01-22,7,False
2013-01-23,34,False
2013-01-24,27,False
2013-01-25,21,False
2013-01-26,24,False
2013-01-27,8,False
2013-01-28,33,False
2013-01-29,20,False
2013-01-30,53,False
2013-01-31,27,False
2013-02-01,36,False
2013-02-02,16,False
2013-02-03,8,False
2013-02-04,27,False
2013-02-05,20,False
2013-02-06,13,False
2013-02-07,21,False
2013-02-08,21,False
2013-02-09,16,False
2013-02-10,0,False
2013-02-11,20,False
2013-02-12,0,False
2013-02-13,13,False
2013-02-14,48,False
2013-02-15,14,False
2013-02-16,8,False
2013-02-17,0,False
2013-02-18,33,False
2013-02-19,53,False
