date,BioMarin,isPartial
2012-01-26,24,False
2012-01-27,25,False
2012-01-28,44,False
2012-01-29,28,False
2012-01-30,70,False
2012-01-31,35,False
2012-02-01,24,False
2012-02-02,12,False
2012-02-03,24,False
2012-02-04,0,False
2012-02-05,41,False
2012-02-06,23,False
2012-02-07,58,False
2012-02-08,46,False
2012-02-09,58,False
2012-02-10,36,False
2012-02-11,14,False
2012-02-12,13,False
2012-02-13,12,False
2012-02-14,47,False
2012-02-15,47,False
2012-02-16,59,False
2012-02-17,62,False
2012-02-18,28,False
2012-02-19,0,False
2012-02-20,24,False
2012-02-21,48,False
2012-02-22,23,False
2012-02-23,12,False
2012-02-24,36,False
2012-02-25,14,False
2012-02-26,14,False
2012-02-27,34,False
2012-02-28,23,False
2012-02-29,0,False
2012-03-01,36,False
2012-03-02,25,False
2012-03-03,15,False
2012-03-04,14,False
2012-03-05,35,False
2012-03-06,35,False
2012-03-07,58,False
2012-03-08,59,False
2012-03-09,49,False
2012-03-10,14,False
2012-03-11,14,False
2012-03-12,46,False
2012-03-13,35,False
2012-03-14,23,False
2012-03-15,23,False
2012-03-16,37,False
2012-03-17,14,False
2012-03-18,14,False
2012-03-19,11,False
2012-03-20,23,False
2012-03-21,23,False
2012-03-22,12,False
2012-03-23,37,False
2012-03-24,29,False
2012-03-25,0,False
2012-03-26,23,False
2012-03-27,12,False
2012-03-28,0,False
2012-03-29,24,False
2012-03-30,37,False
2012-03-31,28,False
2012-04-01,28,False
2012-04-02,0,False
2012-04-03,59,False
2012-04-04,12,False
2012-04-05,12,False
2012-04-06,14,False
2012-04-07,15,False
2012-04-08,0,False
2012-04-09,70,False
2012-04-10,24,False
2012-04-11,57,False
2012-04-12,70,False
2012-04-13,12,False
2012-04-14,28,False
2012-04-15,0,False
2012-04-16,23,False
2012-04-17,11,False
2012-04-18,57,False
2012-04-19,35,False
2012-04-20,0,False
2012-04-21,0,False
2012-04-22,27,False
2012-04-23,23,False
2012-04-24,45,False
2012-04-25,34,False
2012-04-26,0,False
2012-04-27,12,False
2012-04-28,14,False
2012-04-29,0,False
2012-04-30,48,False
2012-05-01,38,False
2012-05-02,23,False
2012-05-03,35,False
2012-05-04,36,False
2012-05-05,14,False
2012-05-06,0,False
2012-05-07,57,False
2012-05-08,67,False
2012-05-09,56,False
2012-05-10,12,False
2012-05-11,24,False
2012-05-12,0,False
2012-05-13,42,False
2012-05-14,11,False
2012-05-15,45,False
2012-05-16,34,False
2012-05-17,0,False
2012-05-18,37,False
2012-05-19,14,False
2012-05-20,28,False
2012-05-21,11,False
2012-05-22,11,False
2012-05-23,23,False
2012-05-24,35,False
2012-05-25,48,False
2012-05-26,0,False
2012-05-27,44,False
2012-05-28,24,False
2012-05-29,33,False
2012-05-30,68,False
2012-05-31,34,False
2012-06-01,24,False
2012-06-02,14,False
2012-06-03,0,False
2012-06-04,56,False
2012-06-05,22,False
2012-06-06,34,False
2012-06-07,35,False
2012-06-08,12,False
2012-06-09,0,False
2012-06-10,14,False
2012-06-11,100,False
2012-06-12,89,False
2012-06-13,34,False
2012-06-14,23,False
2012-06-15,48,False
2012-06-16,0,False
2012-06-17,14,False
2012-06-18,45,False
2012-06-19,33,False
2012-06-20,46,False
2012-06-21,34,False
2012-06-22,12,False
2012-06-23,29,False
2012-06-24,0,False
2012-06-25,56,False
2012-06-26,11,False
2012-06-27,57,False
2012-06-28,70,False
2012-06-29,12,False
2012-06-30,14,False
2012-07-01,14,False
2012-07-02,23,False
2012-07-03,23,False
2012-07-04,12,False
2012-07-05,36,False
2012-07-06,24,False
2012-07-07,0,False
2012-07-08,0,False
2012-07-09,57,False
2012-07-10,11,False
2012-07-11,58,False
2012-07-12,35,False
2012-07-13,12,False
2012-07-14,29,False
2012-07-15,43,False
2012-07-16,45,False
2012-07-17,34,False
2012-07-18,23,False
2012-07-19,59,False
2012-07-20,0,False
2012-07-21,14,False
2012-07-22,0,False
2012-07-23,23,False
2012-07-24,12,False
2012-07-25,35,False
2012-07-26,35,False
2012-07-27,36,False
2012-07-28,0,False
2012-07-29,43,False
2012-07-30,23,False
2012-07-31,23,False
2012-08-01,12,False
2012-08-02,82,False
2012-08-03,12,False
2012-08-04,14,False
2012-08-05,0,False
2012-08-06,12,False
2012-08-07,57,False
2012-08-08,46,False
2012-08-09,12,False
2012-08-10,12,False
2012-08-11,14,False
2012-08-12,14,False
2012-08-13,23,False
2012-08-14,69,False
2012-08-15,36,False
2012-08-16,12,False
2012-08-17,25,False
2012-08-18,0,False
2012-08-19,29,False
2012-08-20,48,False
2012-08-21,46,False
2012-08-22,34,False
2012-08-23,23,False
2012-08-24,60,False
2012-08-25,28,False
2012-08-26,0,False
2012-08-27,55,False
2012-08-28,22,False
2012-08-29,34,False
2012-08-30,34,False
2012-08-31,35,False
2012-09-01,14,False
2012-09-02,0,False
2012-09-03,23,False
2012-09-04,33,False
2012-09-05,22,False
2012-09-06,22,False
2012-09-07,36,False
2012-09-08,14,False
2012-09-09,13,False
2012-09-10,22,False
2012-09-11,55,False
2012-09-12,76,False
2012-09-13,33,False
2012-09-14,35,False
2012-09-15,0,False
2012-09-16,13,False
2012-09-17,11,False
2012-09-18,11,False
2012-09-19,33,False
2012-09-20,22,False
2012-09-21,0,False
2012-09-22,13,False
2012-09-23,39,False
2012-09-24,22,False
2012-09-25,11,False
2012-09-26,22,False
2012-09-27,33,False
2012-09-28,11,False
2012-09-29,13,False
2012-09-30,0,False
2012-10-01,0,False
2012-10-02,32,False
2012-10-03,76,False
2012-10-04,54,False
2012-10-05,22,False
2012-10-06,13,False
2012-10-07,13,False
2012-10-08,31,False
2012-10-09,10,False
2012-10-10,32,False
2012-10-11,21,False
2012-10-12,56,False
