date,CSX stock
2010-08-24,21
2010-08-25,21
2010-08-26,32
2010-08-27,44
2010-08-28,54
2010-08-29,53
2010-08-30,51
2010-08-31,20
2010-09-01,21
2010-09-02,0
2010-09-03,65
2010-09-04,27
2010-09-05,27
2010-09-06,21
2010-09-07,20
2010-09-08,20
2010-09-09,21
2010-09-10,22
2010-09-11,0
2010-09-12,0
2010-09-13,40
2010-09-14,59
2010-09-15,20
2010-09-16,31
2010-09-17,22
2010-09-18,26
2010-09-19,25
2010-09-20,0
2010-09-21,20
2010-09-22,30
2010-09-23,40
2010-09-24,31
2010-09-25,25
2010-09-26,24
2010-09-27,19
2010-09-28,29
2010-09-29,39
2010-09-30,20
2010-10-01,42
2010-10-02,51
2010-10-03,25
2010-10-04,39
2010-10-05,29
2010-10-06,30
2010-10-07,21
2010-10-08,0
2010-10-09,25
2010-10-10,25
2010-10-11,30
2010-10-12,40
2010-10-13,59
2010-10-14,49
2010-10-15,0
2010-10-16,0
2010-10-17,36
2010-10-18,29
2010-10-19,28
2010-10-20,29
2010-10-21,20
2010-10-22,20
2010-10-23,24
2010-10-24,24
2010-10-25,38
2010-10-26,38
2010-10-27,29
2010-10-28,20
2010-10-29,21
2010-10-30,49
2010-10-31,0
2010-11-01,39
2010-11-02,19
2010-11-03,18
2010-11-04,65
2010-11-05,20
2010-11-06,48
2010-11-07,23
2010-11-08,18
2010-11-09,19
2010-11-10,0
2010-11-11,39
2010-11-12,20
2010-11-13,0
2010-11-14,0
2010-11-15,19
2010-11-16,19
2010-11-17,19
2010-11-18,38
2010-11-19,40
2010-11-20,0
2010-11-21,23
2010-11-22,0
2010-11-23,37
2010-11-24,19
2010-11-25,40
2010-11-26,21
2010-11-27,24
2010-11-28,0
2010-11-29,18
2010-11-30,27
2010-12-01,28
2010-12-02,37
2010-12-03,30
2010-12-04,24
2010-12-05,0
2010-12-06,18
2010-12-07,0
2010-12-08,0
2010-12-09,19
2010-12-10,20
2010-12-11,48
2010-12-12,0
2010-12-13,55
2010-12-14,56
2010-12-15,19
2010-12-16,0
2010-12-17,31
2010-12-18,0
2010-12-19,0
2010-12-20,19
2010-12-21,0
2010-12-22,20
2010-12-23,43
2010-12-24,38
2010-12-25,59
2010-12-26,0
2010-12-27,21
2010-12-28,21
2010-12-29,41
2010-12-30,43
2010-12-31,25
2011-01-01,27
2011-01-02,0
2011-01-03,19
2011-01-04,18
2011-01-05,0
2011-01-06,28
2011-01-07,19
2011-01-08,23
2011-01-09,44
2011-01-10,54
2011-01-11,18
2011-01-12,89
2011-01-13,36
2011-01-14,18
2011-01-15,44
2011-01-16,22
2011-01-17,26
2011-01-18,18
2011-01-19,53
2011-01-20,18
2011-01-21,37
2011-01-22,43
2011-01-23,0
2011-01-24,17
2011-01-25,52
2011-01-26,44
2011-01-27,70
2011-01-28,18
2011-01-29,21
2011-01-30,21
2011-01-31,41
2011-02-01,58
2011-02-02,42
2011-02-03,17
2011-02-04,27
2011-02-05,42
2011-02-06,0
2011-02-07,17
2011-02-08,17
2011-02-09,17
2011-02-10,52
2011-02-11,18
2011-02-12,22
2011-02-13,21
2011-02-14,17
2011-02-15,50
2011-02-16,59
2011-02-17,52
2011-02-18,27
2011-02-19,21
2011-02-20,21
2011-02-21,17
2011-02-22,17
2011-02-23,17
2011-02-24,17
2011-02-25,36
2011-02-26,21
2011-02-27,21
2011-02-28,17
2011-03-01,42
2011-03-02,34
2011-03-03,60
2011-03-04,36
2011-03-05,43
2011-03-06,21
2011-03-07,52
2011-03-08,44
2011-03-09,17
2011-03-10,34
2011-03-11,35
2011-03-12,22
2011-03-13,21
2011-03-14,18
2011-03-15,51
2011-03-16,33
2011-03-17,60
2011-03-18,27
2011-03-19,21
2011-03-20,0
2011-03-21,17
2011-03-22,51
2011-03-23,34
2011-03-24,52
2011-03-25,18
2011-03-26,0
2011-03-27,0
2011-03-28,50
2011-03-29,42
2011-03-30,34
2011-03-31,34
2011-04-01,18
2011-04-02,22
2011-04-03,42
2011-04-04,33
2011-04-05,25
2011-04-06,60
2011-04-07,52
2011-04-08,45
2011-04-09,0
2011-04-10,21
2011-04-11,33
2011-04-12,100
2011-04-13,34
2011-04-14,35
2011-04-15,36
2011-04-16,0
2011-04-17,22
2011-04-18,17
2011-04-19,26
2011-04-20,18
2011-04-21,38
2011-04-22,31
2011-04-23,23
2011-04-24,71
2011-04-25,37
2011-04-26,17
2011-04-27,17
2011-04-28,34
2011-04-29,45
2011-04-30,44
2011-05-01,0
2011-05-02,34
2011-05-03,50
2011-05-04,43
2011-05-05,52
2011-05-06,54
2011-05-07,22
2011-05-08,22
2011-05-09,33
2011-05-10,33
2011-05-11,17
