date,CSX stock
2012-01-26,69
2012-01-27,35
2012-01-28,21
2012-01-29,20
2012-01-30,17
2012-01-31,67
2012-02-01,17
2012-02-02,50
2012-02-03,52
2012-02-04,0
2012-02-05,0
2012-02-06,100
2012-02-07,100
2012-02-08,33
2012-02-09,67
2012-02-10,17
2012-02-11,60
2012-02-12,39
2012-02-13,16
2012-02-14,50
2012-02-15,33
2012-02-16,17
2012-02-17,35
2012-02-18,20
2012-02-19,0
2012-02-20,17
2012-02-21,51
2012-02-22,49
2012-02-23,50
2012-02-24,52
2012-02-25,60
2012-02-26,20
2012-02-27,16
2012-02-28,49
2012-02-29,33
2012-03-01,35
2012-03-02,55
2012-03-03,0
2012-03-04,20
2012-03-05,34
2012-03-06,16
2012-03-07,16
2012-03-08,17
2012-03-09,52
2012-03-10,20
2012-03-11,59
2012-03-12,16
2012-03-13,50
2012-03-14,49
2012-03-15,50
2012-03-16,52
2012-03-17,20
2012-03-18,20
2012-03-19,16
2012-03-20,49
2012-03-21,49
2012-03-22,34
2012-03-23,35
2012-03-24,40
2012-03-25,0
2012-03-26,17
2012-03-27,82
2012-03-28,50
2012-03-29,66
2012-03-30,89
2012-03-31,60
2012-04-01,0
2012-04-02,0
2012-04-03,0
2012-04-04,17
2012-04-05,18
2012-04-06,19
2012-04-07,63
2012-04-08,0
2012-04-09,40
2012-04-10,68
2012-04-11,33
2012-04-12,33
2012-04-13,18
2012-04-14,20
2012-04-15,0
2012-04-16,81
2012-04-17,33
2012-04-18,49
2012-04-19,16
2012-04-20,34
2012-04-21,20
2012-04-22,19
2012-04-23,16
2012-04-24,49
2012-04-25,49
2012-04-26,83
2012-04-27,51
2012-04-28,40
2012-04-29,40
2012-04-30,68
2012-05-01,18
2012-05-02,49
2012-05-03,0
2012-05-04,52
2012-05-05,0
2012-05-06,0
2012-05-07,16
2012-05-08,97
2012-05-09,16
2012-05-10,33
2012-05-11,17
2012-05-12,0
2012-05-13,0
2012-05-14,0
2012-05-15,48
2012-05-16,65
2012-05-17,51
2012-05-18,0
2012-05-19,41
2012-05-20,0
2012-05-21,16
2012-05-22,82
2012-05-23,16
2012-05-24,33
2012-05-25,35
2012-05-26,83
2012-05-27,0
2012-05-28,0
2012-05-29,31
2012-05-30,32
2012-05-31,81
2012-06-01,51
2012-06-02,20
2012-06-03,0
2012-06-04,32
2012-06-05,16
2012-06-06,16
2012-06-07,66
2012-06-08,34
2012-06-09,60
2012-06-10,0
2012-06-11,0
2012-06-12,0
2012-06-13,65
2012-06-14,33
2012-06-15,34
2012-06-16,20
2012-06-17,20
2012-06-18,80
2012-06-19,48
2012-06-20,65
2012-06-21,32
2012-06-22,17
2012-06-23,21
2012-06-24,40
2012-06-25,32
2012-06-26,48
2012-06-27,49
2012-06-28,17
2012-06-29,0
2012-06-30,0
2012-07-01,20
2012-07-02,49
2012-07-03,33
2012-07-04,17
2012-07-05,0
2012-07-06,35
2012-07-07,0
2012-07-08,0
2012-07-09,16
2012-07-10,0
2012-07-11,33
2012-07-12,33
2012-07-13,17
2012-07-14,0
2012-07-15,40
2012-07-16,49
2012-07-17,32
2012-07-18,0
2012-07-19,34
2012-07-20,0
2012-07-21,0
2012-07-22,21
2012-07-23,50
2012-07-24,66
2012-07-25,17
2012-07-26,17
2012-07-27,70
2012-07-28,20
2012-07-29,0
2012-07-30,16
2012-07-31,65
2012-08-01,66
2012-08-02,84
2012-08-03,70
2012-08-04,21
2012-08-05,0
2012-08-06,17
2012-08-07,33
2012-08-08,0
2012-08-09,17
2012-08-10,52
2012-08-11,0
2012-08-12,0
2012-08-13,16
2012-08-14,50
2012-08-15,34
2012-08-16,0
2012-08-17,35
2012-08-18,0
2012-08-19,0
2012-08-20,0
2012-08-21,33
2012-08-22,33
2012-08-23,50
2012-08-24,68
2012-08-25,40
2012-08-26,20
2012-08-27,0
2012-08-28,16
2012-08-29,16
2012-08-30,49
2012-08-31,17
2012-09-01,20
2012-09-02,0
2012-09-03,0
2012-09-04,16
2012-09-05,16
2012-09-06,32
2012-09-07,17
2012-09-08,0
2012-09-09,0
2012-09-10,0
2012-09-11,47
2012-09-12,0
2012-09-13,31
2012-09-14,16
2012-09-15,0
2012-09-16,19
2012-09-17,47
2012-09-18,15
2012-09-19,63
2012-09-20,16
2012-09-21,66
2012-09-22,19
2012-09-23,0
2012-09-24,15
2012-09-25,46
2012-09-26,15
2012-09-27,63
2012-09-28,33
2012-09-29,19
2012-09-30,0
2012-10-01,93
2012-10-02,0
2012-10-03,16
2012-10-04,46
2012-10-05,16
2012-10-06,0
2012-10-07,0
2012-10-08,30
2012-10-09,15
2012-10-10,30
2012-10-11,0
2012-10-12,16
