date,CSX stock
2011-09-18,0
2011-09-19,38
2011-09-20,25
2011-09-21,76
2011-09-22,90
2011-09-23,27
2011-09-24,0
2011-09-25,15
2011-09-26,25
2011-09-27,63
2011-09-28,64
2011-09-29,26
2011-09-30,14
2011-10-01,0
2011-10-02,16
2011-10-03,26
2011-10-04,0
2011-10-05,25
2011-10-06,25
2011-10-07,40
2011-10-08,31
2011-10-09,0
2011-10-10,38
2011-10-11,12
2011-10-12,24
2011-10-13,38
2011-10-14,26
2011-10-15,31
2011-10-16,0
2011-10-17,25
2011-10-18,25
2011-10-19,25
2011-10-20,50
2011-10-21,54
2011-10-22,15
2011-10-23,15
2011-10-24,24
2011-10-25,61
2011-10-26,25
2011-10-27,25
2011-10-28,40
2011-10-29,15
2011-10-30,15
2011-10-31,39
2011-11-01,13
2011-11-02,50
2011-11-03,37
2011-11-04,13
2011-11-05,0
2011-11-06,30
2011-11-07,37
2011-11-08,12
2011-11-09,37
2011-11-10,62
2011-11-11,39
2011-11-12,0
2011-11-13,0
2011-11-14,60
2011-11-15,37
2011-11-16,12
2011-11-17,24
2011-11-18,26
2011-11-19,30
2011-11-20,15
2011-11-21,24
2011-11-22,48
2011-11-23,0
2011-11-24,26
2011-11-25,13
2011-11-26,0
2011-11-27,0
2011-11-28,24
2011-11-29,36
2011-11-30,36
2011-12-01,25
2011-12-02,51
2011-12-03,15
2011-12-04,14
2011-12-05,12
2011-12-06,36
2011-12-07,24
2011-12-08,12
2011-12-09,64
2011-12-10,29
2011-12-11,14
2011-12-12,24
2011-12-13,12
2011-12-14,12
2011-12-15,37
2011-12-16,26
2011-12-17,15
2011-12-18,15
2011-12-19,12
2011-12-20,12
2011-12-21,13
2011-12-22,39
2011-12-23,28
2011-12-24,17
2011-12-25,18
2011-12-26,0
2011-12-27,13
2011-12-28,13
2011-12-29,13
2011-12-30,14
2011-12-31,0
2012-01-01,0
2012-01-02,0
2012-01-03,0
2012-01-04,0
2012-01-05,24
2012-01-06,12
2012-01-07,14
2012-01-08,14
2012-01-09,70
2012-01-10,46
2012-01-11,35
2012-01-12,46
2012-01-13,0
2012-01-14,14
2012-01-15,0
2012-01-16,23
2012-01-17,34
2012-01-18,11
2012-01-19,46
2012-01-20,0
2012-01-21,27
2012-01-22,13
2012-01-23,23
2012-01-24,11
2012-01-25,57
2012-01-26,11
2012-01-27,60
2012-01-28,0
2012-01-29,14
2012-01-30,11
2012-01-31,0
2012-02-01,56
2012-02-02,23
2012-02-03,12
2012-02-04,0
2012-02-05,0
2012-02-06,22
2012-02-07,11
2012-02-08,33
2012-02-09,22
2012-02-10,47
2012-02-11,13
2012-02-12,0
2012-02-13,22
2012-02-14,23
2012-02-15,23
2012-02-16,69
2012-02-17,12
2012-02-18,27
2012-02-19,0
2012-02-20,23
2012-02-21,46
2012-02-22,45
2012-02-23,23
2012-02-24,0
2012-02-25,14
2012-02-26,13
2012-02-27,11
2012-02-28,33
2012-02-29,45
2012-03-01,24
2012-03-02,37
2012-03-03,43
2012-03-04,14
2012-03-05,69
2012-03-06,100
2012-03-07,33
2012-03-08,23
2012-03-09,35
2012-03-10,14
2012-03-11,13
2012-03-12,55
2012-03-13,33
2012-03-14,34
2012-03-15,34
2012-03-16,47
2012-03-17,27
2012-03-18,27
2012-03-19,34
2012-03-20,11
2012-03-21,33
2012-03-22,45
2012-03-23,24
2012-03-24,0
2012-03-25,41
2012-03-26,66
2012-03-27,22
2012-03-28,11
2012-03-29,45
2012-03-30,48
2012-03-31,0
2012-04-01,14
2012-04-02,11
2012-04-03,23
2012-04-04,35
2012-04-05,23
2012-04-06,39
2012-04-07,14
2012-04-08,29
2012-04-09,0
2012-04-10,12
2012-04-11,11
2012-04-12,34
2012-04-13,59
2012-04-14,13
2012-04-15,0
2012-04-16,33
2012-04-17,33
2012-04-18,33
2012-04-19,22
2012-04-20,82
2012-04-21,53
2012-04-22,0
2012-04-23,44
2012-04-24,33
2012-04-25,67
2012-04-26,33
2012-04-27,12
2012-04-28,0
2012-04-29,0
2012-04-30,35
2012-05-01,49
2012-05-02,22
2012-05-03,34
2012-05-04,70
2012-05-05,0
2012-05-06,0
2012-05-07,0
2012-05-08,32
2012-05-09,0
2012-05-10,44
2012-05-11,12
2012-05-12,0
2012-05-13,27
2012-05-14,11
2012-05-15,0
2012-05-16,22
2012-05-17,23
2012-05-18,24
2012-05-19,0
2012-05-20,0
2012-05-21,11
2012-05-22,33
2012-05-23,33
2012-05-24,22
2012-05-25,35
2012-05-26,14
2012-05-27,14
2012-05-28,0
2012-05-29,11
2012-05-30,11
2012-05-31,43
2012-06-01,34
2012-06-02,0
2012-06-03,26
2012-06-04,11
