date,CSX stock
2017-05-29,5
2017-05-30,24
2017-05-31,25
2017-06-01,19
2017-06-02,34
2017-06-03,4
2017-06-04,6
2017-06-05,22
2017-06-06,35
2017-06-07,25
2017-06-08,21
2017-06-09,22
2017-06-10,12
2017-06-11,5
2017-06-12,20
2017-06-13,36
2017-06-14,25
2017-06-15,26
2017-06-16,23
2017-06-17,4
2017-06-18,5
2017-06-19,22
2017-06-20,20
2017-06-21,20
2017-06-22,19
2017-06-23,23
2017-06-24,9
2017-06-25,3
2017-06-26,20
2017-06-27,22
2017-06-28,23
2017-06-29,21
2017-06-30,22
2017-07-01,5
2017-07-02,5
2017-07-03,20
2017-07-04,8
2017-07-05,15
2017-07-06,23
2017-07-07,28
2017-07-08,5
2017-07-09,1
2017-07-10,27
2017-07-11,10
2017-07-12,32
2017-07-13,31
2017-07-14,24
2017-07-15,9
2017-07-16,8
2017-07-17,29
2017-07-18,38
2017-07-19,48
2017-07-20,40
2017-07-21,40
2017-07-22,8
2017-07-23,3
2017-07-24,28
2017-07-25,44
2017-07-26,29
2017-07-27,38
2017-07-28,30
2017-07-29,13
2017-07-30,5
2017-07-31,32
2017-08-01,39
2017-08-02,34
2017-08-03,34
2017-08-04,24
2017-08-05,13
2017-08-06,9
2017-08-07,32
2017-08-08,33
2017-08-09,34
2017-08-10,33
2017-08-11,27
2017-08-12,8
2017-08-13,4
2017-08-14,20
2017-08-15,19
2017-08-16,26
2017-08-17,26
2017-08-18,24
2017-08-19,11
2017-08-20,6
2017-08-21,18
2017-08-22,32
2017-08-23,37
2017-08-24,27
2017-08-25,24
2017-08-26,11
2017-08-27,5
2017-08-28,15
2017-08-29,10
2017-08-30,27
2017-08-31,20
2017-09-01,24
2017-09-02,4
2017-09-03,9
2017-09-04,0
2017-09-05,22
2017-09-06,24
2017-09-07,23
2017-09-08,20
2017-09-09,9
2017-09-10,6
2017-09-11,17
2017-09-12,24
2017-09-13,18
2017-09-14,22
2017-09-15,25
2017-09-16,11
2017-09-17,4
2017-09-18,16
2017-09-19,18
2017-09-20,25
2017-09-21,19
2017-09-22,10
2017-09-23,9
2017-09-24,4
2017-09-25,16
2017-09-26,28
2017-09-27,30
2017-09-28,23
2017-09-29,18
2017-09-30,5
2017-10-01,9
2017-10-02,18
2017-10-03,17
2017-10-04,13
2017-10-05,17
2017-10-06,24
2017-10-07,7
2017-10-08,4
2017-10-09,15
2017-10-10,12
2017-10-11,11
2017-10-12,26
2017-10-13,13
2017-10-14,11
2017-10-15,7
2017-10-16,16
2017-10-17,25
2017-10-18,27
2017-10-19,15
2017-10-20,22
2017-10-21,1
2017-10-22,1
2017-10-23,20
2017-10-24,14
2017-10-25,27
2017-10-26,28
2017-10-27,26
2017-10-28,10
2017-10-29,4
2017-10-30,19
2017-10-31,20
2017-11-01,19
2017-11-02,19
2017-11-03,22
2017-11-04,6
2017-11-05,7
2017-11-06,21
2017-11-07,22
2017-11-08,12
2017-11-09,18
2017-11-10,18
2017-11-11,9
2017-11-12,5
2017-11-13,9
2017-11-14,19
2017-11-15,19
2017-11-16,20
2017-11-17,12
2017-11-18,5
2017-11-19,3
2017-11-20,24
2017-11-21,19
2017-11-22,14
2017-11-23,3
2017-11-24,11
2017-11-25,9
2017-11-26,1
2017-11-27,9
2017-11-28,27
2017-11-29,21
2017-11-30,39
2017-12-01,27
2017-12-02,11
2017-12-03,3
2017-12-04,29
2017-12-05,33
2017-12-06,12
2017-12-07,24
2017-12-08,25
2017-12-09,8
2017-12-10,1
2017-12-11,16
2017-12-12,18
2017-12-13,23
2017-12-14,19
2017-12-15,81
2017-12-16,47
2017-12-17,52
2017-12-18,100
2017-12-19,63
2017-12-20,34
2017-12-21,43
2017-12-22,49
2017-12-23,7
2017-12-24,7
2017-12-25,1
2017-12-26,16
2017-12-27,27
2017-12-28,28
2017-12-29,22
2017-12-30,4
2017-12-31,8
2018-01-01,6
2018-01-02,10
2018-01-03,26
2018-01-04,27
2018-01-05,35
2018-01-06,10
2018-01-07,2
2018-01-08,21
2018-01-09,29
2018-01-10,30
2018-01-11,21
2018-01-12,41
2018-01-13,9
2018-01-14,7
2018-01-15,17
2018-01-16,36
2018-01-17,34
2018-01-18,28
2018-01-19,26
2018-01-20,7
2018-01-21,3
2018-01-22,19
2018-01-23,15
2018-01-24,22
2018-01-25,21
2018-01-26,20
2018-01-27,6
2018-01-28,6
2018-01-29,19
2018-01-30,30
2018-01-31,22
2018-02-01,25
2018-02-02,32
2018-02-03,7
2018-02-04,6
2018-02-05,33
2018-02-06,46
2018-02-07,30
2018-02-08,21
2018-02-09,29
2018-02-10,2
2018-02-11,5
2018-02-12,24
2018-02-13,22
