date,ADP stock
2013-11-06,29
2013-11-07,30
2013-11-08,15
2013-11-09,17
2013-11-10,34
2013-11-11,29
2013-11-12,0
2013-11-13,43
2013-11-14,0
2013-11-15,15
2013-11-16,35
2013-11-17,0
2013-11-18,14
2013-11-19,100
2013-11-20,58
2013-11-21,73
2013-11-22,30
2013-11-23,0
2013-11-24,17
2013-11-25,14
2013-11-26,0
2013-11-27,86
2013-11-28,0
2013-11-29,15
2013-11-30,0
2013-12-01,16
2013-12-02,42
2013-12-03,43
2013-12-04,28
2013-12-05,43
2013-12-06,45
2013-12-07,34
2013-12-08,0
2013-12-09,42
2013-12-10,14
2013-12-11,14
2013-12-12,30
2013-12-13,31
2013-12-14,0
2013-12-15,17
2013-12-16,29
2013-12-17,30
2013-12-18,30
2013-12-19,30
2013-12-20,48
2013-12-21,18
2013-12-22,18
2013-12-23,49
2013-12-24,54
2013-12-25,39
2013-12-26,17
2013-12-27,0
2013-12-28,53
2013-12-29,17
2013-12-30,62
2013-12-31,35
2014-01-01,0
2014-01-02,45
2014-01-03,76
2014-01-04,0
2014-01-05,0
2014-01-06,29
2014-01-07,70
2014-01-08,28
2014-01-09,14
2014-01-10,0
2014-01-11,33
2014-01-12,16
2014-01-13,14
2014-01-14,42
2014-01-15,42
2014-01-16,42
2014-01-17,29
2014-01-18,50
2014-01-19,16
2014-01-20,28
2014-01-21,14
2014-01-22,55
2014-01-23,56
2014-01-24,29
2014-01-25,64
2014-01-26,16
2014-01-27,41
2014-01-28,41
2014-01-29,55
2014-01-30,70
2014-01-31,44
2014-02-01,33
2014-02-02,0
2014-02-03,82
2014-02-04,41
2014-02-05,82
2014-02-06,37
2014-02-07,78
2014-02-08,16
2014-02-09,16
2014-02-10,27
2014-02-11,81
2014-02-12,41
2014-02-13,27
2014-02-14,14
2014-02-15,16
2014-02-16,32
2014-02-17,42
2014-02-18,54
2014-02-19,14
2014-02-20,14
2014-02-21,14
2014-02-22,16
2014-02-23,16
2014-02-24,0
2014-02-25,27
2014-02-26,27
2014-02-27,14
2014-02-28,29
2014-03-01,33
2014-03-02,0
2014-03-03,54
2014-03-04,14
2014-03-05,28
2014-03-06,70
2014-03-07,29
2014-03-08,0
2014-03-09,48
2014-03-10,0
2014-03-11,0
2014-03-12,41
2014-03-13,28
2014-03-14,44
2014-03-15,16
2014-03-16,0
2014-03-17,28
2014-03-18,41
2014-03-19,41
2014-03-20,0
2014-03-21,43
2014-03-22,32
2014-03-23,0
2014-03-24,81
2014-03-25,13
2014-03-26,27
2014-03-27,14
2014-03-28,72
2014-03-29,16
2014-03-30,16
2014-03-31,27
2014-04-01,41
2014-04-02,0
2014-04-03,41
2014-04-04,72
2014-04-05,16
2014-04-06,0
2014-04-07,13
2014-04-08,41
2014-04-09,55
2014-04-10,28
2014-04-11,59
2014-04-12,17
2014-04-13,0
2014-04-14,14
2014-04-15,55
2014-04-16,56
2014-04-17,44
2014-04-18,31
2014-04-19,17
2014-04-20,17
2014-04-21,15
2014-04-22,41
2014-04-23,41
2014-04-24,42
2014-04-25,59
2014-04-26,0
2014-04-27,16
2014-04-28,41
2014-04-29,27
2014-04-30,56
2014-05-01,45
2014-05-02,15
2014-05-03,33
2014-05-04,0
2014-05-05,0
2014-05-06,41
2014-05-07,14
2014-05-08,41
2014-05-09,14
2014-05-10,16
2014-05-11,16
2014-05-12,27
2014-05-13,13
2014-05-14,69
2014-05-15,0
2014-05-16,28
2014-05-17,33
2014-05-18,0
2014-05-19,14
2014-05-20,14
2014-05-21,60
2014-05-22,15
2014-05-23,0
2014-05-24,0
2014-05-25,0
2014-05-26,0
2014-05-27,58
2014-05-28,15
2014-05-29,31
2014-05-30,32
2014-05-31,19
2014-06-01,0
2014-06-02,30
2014-06-03,30
2014-06-04,15
2014-06-05,0
2014-06-06,16
2014-06-07,19
2014-06-08,19
2014-06-09,31
2014-06-10,31
2014-06-11,30
2014-06-12,0
2014-06-13,16
2014-06-14,37
2014-06-15,0
2014-06-16,45
2014-06-17,15
2014-06-18,31
2014-06-19,47
2014-06-20,16
2014-06-21,0
2014-06-22,0
2014-06-23,15
2014-06-24,76
2014-06-25,15
2014-06-26,0
2014-06-27,49
2014-06-28,19
2014-06-29,19
2014-06-30,46
2014-07-01,15
2014-07-02,0
2014-07-03,32
2014-07-04,17
2014-07-05,0
2014-07-06,0
2014-07-07,0
2014-07-08,76
2014-07-09,15
2014-07-10,31
2014-07-11,0
2014-07-12,37
2014-07-13,0
2014-07-14,15
2014-07-15,0
2014-07-16,32
2014-07-17,16
2014-07-18,49
2014-07-19,0
2014-07-20,0
2014-07-21,0
2014-07-22,78
2014-07-23,16
2014-07-24,16
