date,ADP stock
2014-07-24,22
2014-07-25,0
2014-07-26,13
2014-07-27,0
2014-07-28,22
2014-07-29,21
2014-07-30,22
2014-07-31,44
2014-08-01,33
2014-08-02,0
2014-08-03,0
2014-08-04,42
2014-08-05,32
2014-08-06,11
2014-08-07,77
2014-08-08,11
2014-08-09,26
2014-08-10,0
2014-08-11,21
2014-08-12,10
2014-08-13,10
2014-08-14,33
2014-08-15,58
2014-08-16,13
2014-08-17,25
2014-08-18,0
2014-08-19,10
2014-08-20,21
2014-08-21,42
2014-08-22,11
2014-08-23,13
2014-08-24,12
2014-08-25,0
2014-08-26,31
2014-08-27,20
2014-08-28,21
2014-08-29,66
2014-08-30,0
2014-08-31,0
2014-09-01,10
2014-09-02,20
2014-09-03,10
2014-09-04,20
2014-09-05,21
2014-09-06,24
2014-09-07,0
2014-09-08,20
2014-09-09,10
2014-09-10,0
2014-09-11,0
2014-09-12,0
2014-09-13,24
2014-09-14,0
2014-09-15,0
2014-09-16,20
2014-09-17,30
2014-09-18,40
2014-09-19,10
2014-09-20,12
2014-09-21,24
2014-09-22,20
2014-09-23,20
2014-09-24,10
2014-09-25,31
2014-09-26,31
2014-09-27,12
2014-09-28,0
2014-09-29,30
2014-09-30,30
2014-10-01,100
2014-10-02,61
2014-10-03,32
2014-10-04,0
2014-10-05,12
2014-10-06,10
2014-10-07,49
2014-10-08,0
2014-10-09,30
2014-10-10,31
2014-10-11,12
2014-10-12,0
2014-10-13,10
2014-10-14,19
2014-10-15,20
2014-10-16,10
2014-10-17,41
2014-10-18,12
2014-10-19,23
2014-10-20,20
2014-10-21,29
2014-10-22,10
2014-10-23,39
2014-10-24,31
2014-10-25,12
2014-10-26,11
2014-10-27,19
2014-10-28,19
2014-10-29,39
2014-10-30,79
2014-10-31,31
2014-11-01,0
2014-11-02,34
2014-11-03,29
2014-11-04,29
2014-11-05,38
2014-11-06,38
2014-11-07,30
2014-11-08,0
2014-11-09,23
2014-11-10,19
2014-11-11,0
2014-11-12,67
2014-11-13,39
2014-11-14,0
2014-11-15,34
2014-11-16,0
2014-11-17,19
2014-11-18,52
2014-11-19,20
2014-11-20,29
2014-11-21,20
2014-11-22,0
2014-11-23,11
2014-11-24,9
2014-11-25,28
2014-11-26,48
2014-11-27,30
2014-11-28,10
2014-11-29,11
2014-11-30,11
2014-12-01,38
2014-12-02,9
2014-12-03,19
2014-12-04,48
2014-12-05,20
2014-12-06,11
2014-12-07,22
2014-12-08,19
2014-12-09,9
2014-12-10,38
2014-12-11,0
2014-12-12,20
2014-12-13,0
2014-12-14,11
2014-12-15,10
2014-12-16,48
2014-12-17,10
2014-12-18,30
2014-12-19,32
2014-12-20,0
2014-12-21,0
2014-12-22,0
2014-12-23,21
2014-12-24,24
2014-12-25,13
2014-12-26,23
2014-12-27,11
2014-12-28,0
2014-12-29,10
2014-12-30,0
2014-12-31,12
2015-01-01,24
2015-01-02,0
2015-01-03,0
2015-01-04,11
2015-01-05,29
2015-01-06,38
2015-01-07,19
2015-01-08,0
2015-01-09,19
2015-01-10,11
2015-01-11,11
2015-01-12,9
2015-01-13,9
2015-01-14,28
2015-01-15,9
2015-01-16,19
2015-01-17,0
2015-01-18,21
2015-01-19,9
2015-01-20,18
2015-01-21,9
2015-01-22,28
2015-01-23,38
2015-01-24,0
2015-01-25,0
2015-01-26,9
2015-01-27,18
2015-01-28,36
2015-01-29,9
2015-01-30,9
2015-01-31,21
2015-02-01,10
2015-02-02,9
2015-02-03,9
2015-02-04,45
2015-02-05,36
2015-02-06,19
2015-02-07,21
2015-02-08,11
2015-02-09,18
2015-02-10,44
2015-02-11,36
2015-02-12,37
2015-02-13,58
2015-02-14,11
2015-02-15,0
2015-02-16,9
2015-02-17,28
2015-02-18,74
2015-02-19,28
2015-02-20,10
2015-02-21,0
2015-02-22,42
2015-02-23,36
2015-02-24,9
2015-02-25,18
2015-02-26,9
2015-02-27,19
2015-02-28,10
2015-03-01,0
2015-03-02,18
2015-03-03,9
2015-03-04,36
2015-03-05,9
2015-03-06,19
2015-03-07,43
2015-03-08,0
2015-03-09,45
2015-03-10,27
2015-03-11,0
2015-03-12,9
2015-03-13,46
2015-03-14,11
2015-03-15,10
2015-03-16,0
2015-03-17,0
2015-03-18,18
2015-03-19,27
2015-03-20,9
2015-03-21,0
2015-03-22,0
2015-03-23,45
2015-03-24,27
2015-03-25,0
2015-03-26,31
2015-03-27,28
2015-03-28,11
2015-03-29,11
2015-03-30,0
2015-03-31,18
2015-04-01,46
2015-04-02,48
2015-04-03,10
2015-04-04,11
2015-04-05,0
2015-04-06,10
2015-04-07,18
2015-04-08,9
2015-04-09,0
2015-04-10,10
