date,FAST stock
2010-08-24,24
2010-08-25,60
2010-08-26,49
2010-08-27,25
2010-08-28,15
2010-08-29,15
2010-08-30,12
2010-08-31,0
2010-09-01,58
2010-09-02,59
2010-09-03,37
2010-09-04,0
2010-09-05,0
2010-09-06,24
2010-09-07,34
2010-09-08,35
2010-09-09,12
2010-09-10,37
2010-09-11,45
2010-09-12,72
2010-09-13,34
2010-09-14,34
2010-09-15,34
2010-09-16,0
2010-09-17,12
2010-09-18,30
2010-09-19,87
2010-09-20,69
2010-09-21,35
2010-09-22,23
2010-09-23,23
2010-09-24,12
2010-09-25,29
2010-09-26,14
2010-09-27,33
2010-09-28,44
2010-09-29,45
2010-09-30,11
2010-10-01,48
2010-10-02,14
2010-10-03,0
2010-10-04,0
2010-10-05,67
2010-10-06,34
2010-10-07,59
2010-10-08,48
2010-10-09,43
2010-10-10,100
2010-10-11,57
2010-10-12,91
2010-10-13,22
2010-10-14,45
2010-10-15,12
2010-10-16,0
2010-10-17,0
2010-10-18,65
2010-10-19,11
2010-10-20,11
2010-10-21,56
2010-10-22,12
2010-10-23,56
2010-10-24,0
2010-10-25,43
2010-10-26,32
2010-10-27,32
2010-10-28,33
2010-10-29,23
2010-10-30,0
2010-10-31,42
2010-11-01,45
2010-11-02,11
2010-11-03,32
2010-11-04,64
2010-11-05,69
2010-11-06,41
2010-11-07,26
2010-11-08,21
2010-11-09,43
2010-11-10,22
2010-11-11,33
2010-11-12,23
2010-11-13,14
2010-11-14,0
2010-11-15,22
2010-11-16,65
2010-11-17,21
2010-11-18,43
2010-11-19,34
2010-11-20,27
2010-11-21,27
2010-11-22,42
2010-11-23,43
2010-11-24,54
2010-11-25,35
2010-11-26,23
2010-11-27,14
2010-11-28,26
2010-11-29,21
2010-11-30,42
2010-12-01,63
2010-12-02,32
2010-12-03,34
2010-12-04,27
2010-12-05,52
2010-12-06,0
2010-12-07,64
2010-12-08,22
2010-12-09,33
2010-12-10,34
2010-12-11,55
2010-12-12,27
2010-12-13,11
2010-12-14,11
2010-12-15,22
2010-12-16,33
2010-12-17,35
2010-12-18,69
2010-12-19,0
2010-12-20,22
2010-12-21,11
2010-12-22,23
2010-12-23,24
2010-12-24,15
2010-12-25,34
2010-12-26,0
2010-12-27,48
2010-12-28,24
2010-12-29,23
2010-12-30,37
2010-12-31,29
2011-01-01,0
2011-01-02,14
2011-01-03,22
2011-01-04,42
2011-01-05,53
2011-01-06,54
2011-01-07,44
2011-01-08,52
2011-01-09,13
2011-01-10,10
2011-01-11,30
2011-01-12,31
2011-01-13,41
2011-01-14,42
2011-01-15,62
2011-01-16,12
2011-01-17,30
2011-01-18,61
2011-01-19,20
2011-01-20,10
2011-01-21,10
2011-01-22,25
2011-01-23,37
2011-01-24,0
2011-01-25,20
2011-01-26,71
2011-01-27,40
2011-01-28,32
2011-01-29,24
2011-01-30,47
2011-01-31,19
2011-02-01,19
2011-02-02,39
2011-02-03,79
2011-02-04,21
2011-02-05,24
2011-02-06,12
2011-02-07,0
2011-02-08,29
2011-02-09,68
2011-02-10,20
2011-02-11,21
2011-02-12,12
2011-02-13,12
2011-02-14,20
2011-02-15,76
2011-02-16,39
2011-02-17,30
2011-02-18,42
2011-02-19,48
2011-02-20,12
2011-02-21,49
2011-02-22,39
2011-02-23,20
2011-02-24,30
2011-02-25,31
2011-02-26,36
2011-02-27,47
2011-02-28,10
2011-03-01,19
2011-03-02,49
2011-03-03,20
2011-03-04,52
2011-03-05,37
2011-03-06,36
2011-03-07,20
2011-03-08,40
2011-03-09,19
2011-03-10,20
2011-03-11,59
2011-03-12,25
2011-03-13,24
2011-03-14,41
2011-03-15,39
2011-03-16,10
2011-03-17,30
2011-03-18,10
2011-03-19,24
2011-03-20,48
2011-03-21,39
2011-03-22,58
2011-03-23,29
2011-03-24,30
2011-03-25,10
2011-03-26,48
2011-03-27,12
2011-03-28,47
2011-03-29,10
2011-03-30,88
2011-03-31,59
2011-04-01,20
2011-04-02,12
2011-04-03,12
2011-04-04,38
2011-04-05,77
2011-04-06,20
2011-04-07,10
2011-04-08,51
2011-04-09,25
2011-04-10,37
2011-04-11,0
2011-04-12,38
2011-04-13,48
2011-04-14,10
2011-04-15,0
2011-04-16,37
2011-04-17,25
2011-04-18,29
2011-04-19,30
2011-04-20,0
2011-04-21,22
2011-04-22,36
2011-04-23,0
2011-04-24,40
2011-04-25,32
2011-04-26,19
2011-04-27,10
2011-04-28,19
2011-04-29,31
2011-04-30,50
2011-05-01,12
2011-05-02,29
2011-05-03,29
2011-05-04,59
2011-05-05,10
2011-05-06,10
2011-05-07,75
2011-05-08,12
2011-05-09,19
2011-05-10,57
2011-05-11,67
