date,FAST stock
2016-09-11,11
2016-09-12,24
2016-09-13,48
2016-09-14,24
2016-09-15,68
2016-09-16,35
2016-09-17,11
2016-09-18,16
2016-09-19,56
2016-09-20,19
2016-09-21,38
2016-09-22,39
2016-09-23,40
2016-09-24,16
2016-09-25,5
2016-09-26,28
2016-09-27,47
2016-09-28,24
2016-09-29,10
2016-09-30,20
2016-10-01,33
2016-10-02,5
2016-10-03,42
2016-10-04,9
2016-10-05,33
2016-10-06,53
2016-10-07,34
2016-10-08,22
2016-10-09,5
2016-10-10,52
2016-10-11,28
2016-10-12,48
2016-10-13,33
2016-10-14,39
2016-10-15,44
2016-10-16,32
2016-10-17,41
2016-10-18,32
2016-10-19,56
2016-10-20,37
2016-10-21,39
2016-10-22,16
2016-10-23,0
2016-10-24,41
2016-10-25,23
2016-10-26,14
2016-10-27,33
2016-10-28,44
2016-10-29,17
2016-10-30,5
2016-10-31,34
2016-11-01,19
2016-11-02,24
2016-11-03,5
2016-11-04,34
2016-11-05,5
2016-11-06,37
2016-11-07,27
2016-11-08,32
2016-11-09,42
2016-11-10,52
2016-11-11,44
2016-11-12,27
2016-11-13,16
2016-11-14,32
2016-11-15,51
2016-11-16,32
2016-11-17,28
2016-11-18,29
2016-11-19,31
2016-11-20,26
2016-11-21,41
2016-11-22,41
2016-11-23,32
2016-11-24,24
2016-11-25,24
2016-11-26,26
2016-11-27,25
2016-11-28,22
2016-11-29,31
2016-11-30,31
2016-12-01,22
2016-12-02,23
2016-12-03,40
2016-12-04,34
2016-12-05,25
2016-12-06,21
2016-12-07,40
2016-12-08,32
2016-12-09,32
2016-12-10,15
2016-12-11,30
2016-12-12,44
2016-12-13,44
2016-12-14,71
2016-12-15,27
2016-12-16,10
2016-12-17,32
2016-12-18,26
2016-12-19,18
2016-12-20,33
2016-12-21,19
2016-12-22,43
2016-12-23,5
2016-12-24,17
2016-12-25,23
2016-12-26,10
2016-12-27,52
2016-12-28,14
2016-12-29,49
2016-12-30,20
2016-12-31,22
2017-01-01,45
2017-01-02,33
2017-01-03,32
2017-01-04,59
2017-01-05,41
2017-01-06,28
2017-01-07,25
2017-01-08,25
2017-01-09,53
2017-01-10,43
2017-01-11,35
2017-01-12,31
2017-01-13,36
2017-01-14,5
2017-01-15,34
2017-01-16,48
2017-01-17,43
2017-01-18,65
2017-01-19,43
2017-01-20,50
2017-01-21,49
2017-01-22,44
2017-01-23,43
2017-01-24,56
2017-01-25,56
2017-01-26,9
2017-01-27,36
2017-01-28,41
2017-01-29,5
2017-01-30,34
2017-01-31,61
2017-02-01,29
2017-02-02,65
2017-02-03,45
2017-02-04,45
2017-02-05,43
2017-02-06,50
2017-02-07,30
2017-02-08,30
2017-02-09,30
2017-02-10,45
2017-02-11,15
2017-02-12,10
2017-02-13,21
2017-02-14,55
2017-02-15,61
2017-02-16,34
2017-02-17,64
2017-02-18,20
2017-02-19,34
2017-02-20,30
2017-02-21,60
2017-02-22,42
2017-02-23,31
2017-02-24,71
2017-02-25,15
2017-02-26,33
2017-02-27,42
2017-02-28,50
2017-03-01,53
2017-03-02,57
2017-03-03,69
2017-03-04,19
2017-03-05,48
2017-03-06,56
2017-03-07,48
2017-03-08,42
2017-03-09,46
2017-03-10,57
2017-03-11,44
2017-03-12,28
2017-03-13,55
2017-03-14,34
2017-03-15,38
2017-03-16,30
2017-03-17,40
2017-03-18,24
2017-03-19,38
2017-03-20,47
2017-03-21,55
2017-03-22,51
2017-03-23,56
2017-03-24,35
2017-03-25,35
2017-03-26,10
2017-03-27,51
2017-03-28,21
2017-03-29,56
2017-03-30,26
2017-03-31,41
2017-04-01,35
2017-04-02,20
2017-04-03,34
2017-04-04,34
2017-04-05,46
2017-04-06,39
2017-04-07,62
2017-04-08,20
2017-04-09,25
2017-04-10,51
2017-04-11,65
2017-04-12,100
2017-04-13,64
2017-04-14,34
2017-04-15,30
2017-04-16,31
2017-04-17,44
2017-04-18,25
2017-04-19,38
2017-04-20,43
2017-04-21,49
2017-04-22,30
2017-04-23,48
2017-04-24,56
2017-04-25,89
2017-04-26,25
2017-04-27,43
2017-04-28,40
2017-04-29,55
2017-04-30,35
2017-05-01,32
2017-05-02,38
2017-05-03,55
2017-05-04,47
2017-05-05,22
2017-05-06,39
2017-05-07,48
2017-05-08,38
2017-05-09,59
2017-05-10,42
2017-05-11,35
2017-05-12,62
2017-05-13,20
2017-05-14,50
2017-05-15,31
2017-05-16,27
2017-05-17,87
2017-05-18,41
2017-05-19,52
2017-05-20,43
2017-05-21,26
2017-05-22,32
2017-05-23,44
2017-05-24,41
2017-05-25,19
2017-05-26,39
2017-05-27,44
2017-05-28,16
2017-05-29,47
