date,FAST stock
2011-05-11,60
2011-05-12,34
2011-05-13,28
2011-05-14,42
2011-05-15,16
2011-05-16,26
2011-05-17,47
2011-05-18,40
2011-05-19,20
2011-05-20,64
2011-05-21,35
2011-05-22,17
2011-05-23,66
2011-05-24,80
2011-05-25,60
2011-05-26,33
2011-05-27,35
2011-05-28,34
2011-05-29,52
2011-05-30,36
2011-05-31,33
2011-06-01,47
2011-06-02,56
2011-06-03,43
2011-06-04,26
2011-06-05,34
2011-06-06,53
2011-06-07,53
2011-06-08,20
2011-06-09,33
2011-06-10,57
2011-06-11,34
2011-06-12,43
2011-06-13,61
2011-06-14,59
2011-06-15,46
2011-06-16,40
2011-06-17,35
2011-06-18,43
2011-06-19,68
2011-06-20,65
2011-06-21,46
2011-06-22,27
2011-06-23,14
2011-06-24,50
2011-06-25,0
2011-06-26,52
2011-06-27,27
2011-06-28,53
2011-06-29,33
2011-06-30,61
2011-07-01,50
2011-07-02,0
2011-07-03,44
2011-07-04,49
2011-07-05,41
2011-07-06,40
2011-07-07,48
2011-07-08,29
2011-07-09,26
2011-07-10,53
2011-07-11,40
2011-07-12,67
2011-07-13,27
2011-07-14,62
2011-07-15,44
2011-07-16,26
2011-07-17,26
2011-07-18,74
2011-07-19,47
2011-07-20,41
2011-07-21,55
2011-07-22,43
2011-07-23,75
2011-07-24,34
2011-07-25,33
2011-07-26,46
2011-07-27,47
2011-07-28,47
2011-07-29,43
2011-07-30,60
2011-07-31,34
2011-08-01,47
2011-08-02,61
2011-08-03,94
2011-08-04,81
2011-08-05,56
2011-08-06,51
2011-08-07,33
2011-08-08,39
2011-08-09,39
2011-08-10,33
2011-08-11,46
2011-08-12,70
2011-08-13,68
2011-08-14,50
2011-08-15,62
2011-08-16,67
2011-08-17,41
2011-08-18,66
2011-08-19,28
2011-08-20,100
2011-08-21,49
2011-08-22,45
2011-08-23,32
2011-08-24,13
2011-08-25,64
2011-08-26,20
2011-08-27,32
2011-08-28,47
2011-08-29,45
2011-08-30,38
2011-08-31,26
2011-09-01,33
2011-09-02,46
2011-09-03,31
2011-09-04,77
2011-09-05,44
2011-09-06,43
2011-09-07,38
2011-09-08,63
2011-09-09,58
2011-09-10,31
2011-09-11,30
2011-09-12,43
2011-09-13,36
2011-09-14,31
2011-09-15,44
2011-09-16,59
2011-09-17,30
2011-09-18,82
2011-09-19,73
2011-09-20,48
2011-09-21,43
2011-09-22,49
2011-09-23,71
2011-09-24,0
2011-09-25,60
2011-09-26,60
2011-09-27,78
2011-09-28,55
2011-09-29,68
2011-09-30,26
2011-10-01,31
2011-10-02,53
2011-10-03,55
2011-10-04,30
2011-10-05,96
2011-10-06,24
2011-10-07,44
2011-10-08,29
2011-10-09,44
2011-10-10,48
2011-10-11,51
2011-10-12,64
2011-10-13,42
2011-10-14,38
2011-10-15,29
2011-10-16,65
2011-10-17,41
2011-10-18,47
2011-10-19,53
2011-10-20,42
2011-10-21,38
2011-10-22,30
2011-10-23,14
2011-10-24,52
2011-10-25,76
2011-10-26,30
2011-10-27,42
2011-10-28,38
2011-10-29,44
2011-10-30,43
2011-10-31,43
2011-11-01,56
2011-11-02,30
2011-11-03,59
2011-11-04,49
2011-11-05,14
2011-11-06,14
2011-11-07,35
2011-11-08,47
2011-11-09,59
2011-11-10,65
2011-11-11,56
2011-11-12,14
2011-11-13,35
2011-11-14,52
2011-11-15,29
2011-11-16,53
2011-11-17,53
2011-11-18,43
2011-11-19,36
2011-11-20,21
2011-11-21,57
2011-11-22,40
2011-11-23,24
2011-11-24,25
2011-11-25,13
2011-11-26,36
2011-11-27,35
2011-11-28,51
2011-11-29,51
2011-11-30,29
2011-12-01,35
2011-12-02,31
2011-12-03,28
2011-12-04,48
2011-12-05,23
2011-12-06,40
2011-12-07,46
2011-12-08,47
2011-12-09,43
2011-12-10,28
2011-12-11,55
2011-12-12,51
2011-12-13,23
2011-12-14,40
2011-12-15,29
2011-12-16,31
2011-12-17,14
2011-12-18,35
2011-12-19,35
2011-12-20,47
2011-12-21,55
2011-12-22,50
2011-12-23,40
2011-12-24,24
2011-12-25,50
2011-12-26,55
2011-12-27,43
2011-12-28,43
2011-12-29,50
2011-12-30,40
2011-12-31,0
2012-01-01,32
2012-01-02,61
2012-01-03,58
2012-01-04,57
2012-01-05,40
2012-01-06,18
2012-01-07,47
2012-01-08,26
2012-01-09,28
2012-01-10,44
2012-01-11,66
2012-01-12,56
2012-01-13,40
2012-01-14,33
2012-01-15,46
2012-01-16,27
2012-01-17,70
2012-01-18,38
2012-01-19,44
2012-01-20,11
2012-01-21,26
2012-01-22,33
2012-01-23,16
2012-01-24,60
2012-01-25,60
2012-01-26,39
