date,FAST stock
2012-01-26,12
2012-01-27,17
2012-01-28,10
2012-01-29,10
2012-01-30,28
2012-01-31,24
2012-02-01,16
2012-02-02,16
2012-02-03,29
2012-02-04,10
2012-02-05,29
2012-02-06,8
2012-02-07,12
2012-02-08,12
2012-02-09,28
2012-02-10,12
2012-02-11,10
2012-02-12,14
2012-02-13,8
2012-02-14,20
2012-02-15,16
2012-02-16,8
2012-02-17,21
2012-02-18,15
2012-02-19,15
2012-02-20,17
2012-02-21,0
2012-02-22,12
2012-02-23,12
2012-02-24,25
2012-02-25,19
2012-02-26,0
2012-02-27,27
2012-02-28,16
2012-02-29,8
2012-03-01,21
2012-03-02,22
2012-03-03,5
2012-03-04,39
2012-03-05,25
2012-03-06,24
2012-03-07,16
2012-03-08,29
2012-03-09,34
2012-03-10,14
2012-03-11,14
2012-03-12,31
2012-03-13,8
2012-03-14,16
2012-03-15,32
2012-03-16,17
2012-03-17,19
2012-03-18,24
2012-03-19,20
2012-03-20,24
2012-03-21,24
2012-03-22,8
2012-03-23,8
2012-03-24,20
2012-03-25,10
2012-03-26,8
2012-03-27,20
2012-03-28,20
2012-03-29,20
2012-03-30,4
2012-03-31,19
2012-04-01,19
2012-04-02,52
2012-04-03,24
2012-04-04,41
2012-04-05,21
2012-04-06,42
2012-04-07,30
2012-04-08,26
2012-04-09,47
2012-04-10,88
2012-04-11,70
2012-04-12,24
2012-04-13,34
2012-04-14,38
2012-04-15,19
2012-04-16,24
2012-04-17,31
2012-04-18,47
2012-04-19,32
2012-04-20,30
2012-04-21,28
2012-04-22,56
2012-04-23,62
2012-04-24,47
2012-04-25,32
2012-04-26,52
2012-04-27,37
2012-04-28,44
2012-04-29,19
2012-04-30,16
2012-05-01,13
2012-05-02,39
2012-05-03,28
2012-05-04,25
2012-05-05,29
2012-05-06,5
2012-05-07,27
2012-05-08,19
2012-05-09,19
2012-05-10,12
2012-05-11,37
2012-05-12,10
2012-05-13,10
2012-05-14,8
2012-05-15,8
2012-05-16,24
2012-05-17,37
2012-05-18,42
2012-05-19,34
2012-05-20,19
2012-05-21,19
2012-05-22,16
2012-05-23,27
2012-05-24,20
2012-05-25,29
2012-05-26,25
2012-05-27,5
2012-05-28,25
2012-05-29,8
2012-05-30,19
2012-05-31,70
2012-06-01,70
2012-06-02,68
2012-06-03,57
2012-06-04,100
2012-06-05,62
2012-06-06,46
2012-06-07,28
2012-06-08,33
2012-06-09,14
2012-06-10,14
2012-06-11,8
2012-06-12,38
2012-06-13,62
2012-06-14,35
2012-06-15,29
2012-06-16,10
2012-06-17,24
2012-06-18,50
2012-06-19,35
2012-06-20,43
2012-06-21,35
2012-06-22,75
2012-06-23,20
2012-06-24,24
2012-06-25,31
2012-06-26,54
2012-06-27,43
2012-06-28,20
2012-06-29,33
2012-06-30,15
2012-07-01,24
2012-07-02,20
2012-07-03,23
2012-07-04,16
2012-07-05,20
2012-07-06,8
2012-07-07,15
2012-07-08,19
2012-07-09,27
2012-07-10,19
2012-07-11,28
2012-07-12,24
2012-07-13,17
2012-07-14,5
2012-07-15,10
2012-07-16,8
2012-07-17,8
2012-07-18,12
2012-07-19,28
2012-07-20,17
2012-07-21,25
2012-07-22,15
2012-07-23,4
2012-07-24,16
2012-07-25,20
2012-07-26,32
2012-07-27,25
2012-07-28,10
2012-07-29,19
2012-07-30,4
2012-07-31,16
2012-08-01,20
2012-08-02,20
2012-08-03,4
2012-08-04,10
2012-08-05,10
2012-08-06,12
2012-08-07,23
2012-08-08,24
2012-08-09,8
2012-08-10,17
2012-08-11,20
2012-08-12,49
2012-08-13,36
2012-08-14,16
2012-08-15,33
2012-08-16,16
2012-08-17,17
2012-08-18,25
2012-08-19,15
2012-08-20,25
2012-08-21,32
2012-08-22,4
2012-08-23,20
2012-08-24,29
2012-08-25,10
2012-08-26,9
2012-08-27,31
2012-08-28,4
2012-08-29,19
2012-08-30,31
2012-08-31,12
2012-09-01,5
2012-09-02,14
2012-09-03,20
2012-09-04,23
2012-09-05,15
2012-09-06,19
2012-09-07,12
2012-09-08,14
2012-09-09,14
2012-09-10,4
2012-09-11,19
2012-09-12,33
2012-09-13,11
2012-09-14,24
2012-09-15,5
2012-09-16,41
2012-09-17,11
2012-09-18,29
2012-09-19,22
2012-09-20,26
2012-09-21,4
2012-09-22,42
2012-09-23,4
2012-09-24,4
2012-09-25,26
2012-09-26,26
2012-09-27,23
2012-09-28,4
2012-09-29,18
2012-09-30,13
2012-10-01,19
2012-10-02,18
2012-10-03,27
2012-10-04,11
2012-10-05,19
2012-10-06,9
2012-10-07,9
2012-10-08,11
2012-10-09,32
2012-10-10,18
2012-10-11,22
2012-10-12,19
