date,FAST stock
2013-11-06,12
2013-11-07,71
2013-11-08,55
2013-11-09,42
2013-11-10,47
2013-11-11,52
2013-11-12,69
2013-11-13,58
2013-11-14,29
2013-11-15,67
2013-11-16,28
2013-11-17,100
2013-11-18,52
2013-11-19,74
2013-11-20,40
2013-11-21,58
2013-11-22,29
2013-11-23,27
2013-11-24,40
2013-11-25,40
2013-11-26,28
2013-11-27,23
2013-11-28,30
2013-11-29,49
2013-11-30,27
2013-12-01,70
2013-12-02,55
2013-12-03,28
2013-12-04,34
2013-12-05,57
2013-12-06,77
2013-12-07,55
2013-12-08,47
2013-12-09,34
2013-12-10,62
2013-12-11,23
2013-12-12,18
2013-12-13,37
2013-12-14,14
2013-12-15,34
2013-12-16,29
2013-12-17,53
2013-12-18,59
2013-12-19,30
2013-12-20,57
2013-12-21,50
2013-12-22,36
2013-12-23,39
2013-12-24,64
2013-12-25,46
2013-12-26,33
2013-12-27,51
2013-12-28,21
2013-12-29,7
2013-12-30,31
2013-12-31,21
2014-01-01,37
2014-01-02,59
2014-01-03,30
2014-01-04,26
2014-01-05,39
2014-01-06,40
2014-01-07,22
2014-01-08,67
2014-01-09,45
2014-01-10,35
2014-01-11,26
2014-01-12,59
2014-01-13,39
2014-01-14,39
2014-01-15,33
2014-01-16,51
2014-01-17,35
2014-01-18,33
2014-01-19,64
2014-01-20,27
2014-01-21,71
2014-01-22,55
2014-01-23,55
2014-01-24,39
2014-01-25,45
2014-01-26,38
2014-01-27,27
2014-01-28,38
2014-01-29,66
2014-01-30,67
2014-01-31,23
2014-02-01,39
2014-02-02,63
2014-02-03,27
2014-02-04,49
2014-02-05,38
2014-02-06,38
2014-02-07,37
2014-02-08,58
2014-02-09,44
2014-02-10,59
2014-02-11,43
2014-02-12,54
2014-02-13,49
2014-02-14,34
2014-02-15,52
2014-02-16,44
2014-02-17,44
2014-02-18,32
2014-02-19,38
2014-02-20,22
2014-02-21,34
2014-02-22,19
2014-02-23,32
2014-02-24,11
2014-02-25,54
2014-02-26,32
2014-02-27,22
2014-02-28,34
2014-03-01,26
2014-03-02,38
2014-03-03,39
2014-03-04,66
2014-03-05,82
2014-03-06,11
2014-03-07,46
2014-03-08,26
2014-03-09,32
2014-03-10,61
2014-03-11,59
2014-03-12,77
2014-03-13,38
2014-03-14,63
2014-03-15,26
2014-03-16,25
2014-03-17,22
2014-03-18,70
2014-03-19,22
2014-03-20,27
2014-03-21,6
2014-03-22,39
2014-03-23,56
2014-03-24,26
2014-03-25,42
2014-03-26,65
2014-03-27,49
2014-03-28,57
2014-03-29,19
2014-03-30,76
2014-03-31,54
2014-04-01,54
2014-04-02,38
2014-04-03,60
2014-04-04,46
2014-04-05,32
2014-04-06,51
2014-04-07,43
2014-04-08,48
2014-04-09,22
2014-04-10,28
2014-04-11,64
2014-04-12,13
2014-04-13,33
2014-04-14,33
2014-04-15,55
2014-04-16,28
2014-04-17,23
2014-04-18,76
2014-04-19,27
2014-04-20,35
2014-04-21,41
2014-04-22,27
2014-04-23,38
2014-04-24,33
2014-04-25,23
2014-04-26,33
2014-04-27,44
2014-04-28,43
2014-04-29,49
2014-04-30,44
2014-05-01,18
2014-05-02,35
2014-05-03,26
2014-05-04,13
2014-05-05,44
2014-05-06,37
2014-05-07,22
2014-05-08,55
2014-05-09,29
2014-05-10,19
2014-05-11,45
2014-05-12,32
2014-05-13,37
2014-05-14,49
2014-05-15,44
2014-05-16,39
2014-05-17,59
2014-05-18,39
2014-05-19,65
2014-05-20,43
2014-05-21,30
2014-05-22,24
2014-05-23,31
2014-05-24,44
2014-05-25,37
2014-05-26,18
2014-05-27,41
2014-05-28,54
2014-05-29,31
2014-05-30,38
2014-05-31,51
2014-06-01,29
2014-06-02,18
2014-06-03,53
2014-06-04,59
2014-06-05,6
2014-06-06,44
2014-06-07,46
2014-06-08,22
2014-06-09,30
2014-06-10,37
2014-06-11,41
2014-06-12,43
2014-06-13,62
2014-06-14,22
2014-06-15,29
2014-06-16,30
2014-06-17,36
2014-06-18,43
2014-06-19,37
2014-06-20,38
2014-06-21,45
2014-06-22,29
2014-06-23,36
2014-06-24,30
2014-06-25,42
2014-06-26,43
2014-06-27,39
2014-06-28,7
2014-06-29,22
2014-06-30,61
2014-07-01,43
2014-07-02,31
2014-07-03,25
2014-07-04,40
2014-07-05,15
2014-07-06,52
2014-07-07,30
2014-07-08,30
2014-07-09,31
2014-07-10,37
2014-07-11,71
2014-07-12,7
2014-07-13,29
2014-07-14,43
2014-07-15,30
2014-07-16,25
2014-07-17,31
2014-07-18,26
2014-07-19,30
2014-07-20,22
2014-07-21,42
2014-07-22,36
2014-07-23,38
2014-07-24,43
