date,FAST stock
2011-01-01,15
2011-01-02,26
2011-01-03,21
2011-01-04,40
2011-01-05,40
2011-01-06,62
2011-01-07,52
2011-01-08,37
2011-01-09,12
2011-01-10,10
2011-01-11,19
2011-01-12,29
2011-01-13,29
2011-01-14,50
2011-01-15,48
2011-01-16,35
2011-01-17,9
2011-01-18,47
2011-01-19,19
2011-01-20,9
2011-01-21,10
2011-01-22,12
2011-01-23,12
2011-01-24,9
2011-01-25,19
2011-01-26,47
2011-01-27,57
2011-01-28,10
2011-01-29,35
2011-01-30,33
2011-01-31,27
2011-02-01,9
2011-02-02,18
2011-02-03,38
2011-02-04,19
2011-02-05,11
2011-02-06,0
2011-02-07,0
2011-02-08,46
2011-02-09,18
2011-02-10,0
2011-02-11,30
2011-02-12,12
2011-02-13,11
2011-02-14,28
2011-02-15,45
2011-02-16,37
2011-02-17,37
2011-02-18,19
2011-02-19,23
2011-02-20,34
2011-02-21,27
2011-02-22,27
2011-02-23,28
2011-02-24,37
2011-02-25,29
2011-02-26,57
2011-02-27,33
2011-02-28,36
2011-03-01,0
2011-03-02,37
2011-03-03,19
2011-03-04,29
2011-03-05,35
2011-03-06,34
2011-03-07,47
2011-03-08,66
2011-03-09,27
2011-03-10,18
2011-03-11,46
2011-03-12,12
2011-03-13,11
2011-03-14,38
2011-03-15,36
2011-03-16,18
2011-03-17,65
2011-03-18,19
2011-03-19,11
2011-03-20,34
2011-03-21,46
2011-03-22,36
2011-03-23,18
2011-03-24,19
2011-03-25,10
2011-03-26,0
2011-03-27,11
2011-03-28,18
2011-03-29,18
2011-03-30,100
2011-03-31,55
2011-04-01,0
2011-04-02,0
2011-04-03,34
2011-04-04,45
2011-04-05,63
2011-04-06,19
2011-04-07,37
2011-04-08,59
2011-04-09,35
2011-04-10,23
2011-04-11,36
2011-04-12,27
2011-04-13,18
2011-04-14,28
2011-04-15,29
2011-04-16,35
2011-04-17,35
2011-04-18,19
2011-04-19,19
2011-04-20,19
2011-04-21,40
2011-04-22,22
2011-04-23,0
2011-04-24,64
2011-04-25,40
2011-04-26,36
2011-04-27,18
2011-04-28,55
2011-04-29,10
2011-04-30,12
2011-05-01,46
2011-05-02,27
2011-05-03,36
2011-05-04,0
2011-05-05,28
2011-05-06,10
2011-05-07,47
2011-05-08,35
2011-05-09,36
2011-05-10,54
2011-05-11,27
2011-05-12,27
2011-05-13,19
2011-05-14,23
2011-05-15,22
2011-05-16,18
2011-05-17,36
2011-05-18,36
2011-05-19,0
2011-05-20,38
2011-05-21,35
2011-05-22,22
2011-05-23,44
2011-05-24,63
2011-05-25,27
2011-05-26,55
2011-05-27,29
2011-05-28,0
2011-05-29,35
2011-05-30,29
2011-05-31,36
2011-06-01,9
2011-06-02,19
2011-06-03,29
2011-06-04,59
2011-06-05,11
2011-06-06,27
2011-06-07,36
2011-06-08,54
2011-06-09,18
2011-06-10,19
2011-06-11,12
2011-06-12,46
2011-06-13,37
2011-06-14,44
2011-06-15,36
2011-06-16,45
2011-06-17,48
2011-06-18,11
2011-06-19,58
2011-06-20,61
2011-06-21,27
2011-06-22,9
2011-06-23,19
2011-06-24,39
2011-06-25,23
2011-06-26,59
2011-06-27,54
2011-06-28,54
2011-06-29,36
2011-06-30,37
2011-07-01,38
2011-07-02,12
2011-07-03,35
2011-07-04,29
2011-07-05,18
2011-07-06,0
2011-07-07,28
2011-07-08,48
2011-07-09,24
2011-07-10,35
2011-07-11,36
2011-07-12,45
2011-07-13,18
2011-07-14,28
2011-07-15,20
2011-07-16,59
2011-07-17,24
2011-07-18,54
2011-07-19,18
2011-07-20,37
2011-07-21,18
2011-07-22,48
2011-07-23,57
2011-07-24,11
2011-07-25,53
2011-07-26,36
2011-07-27,27
2011-07-28,9
2011-07-29,58
2011-07-30,23
2011-07-31,0
2011-08-01,27
2011-08-02,18
2011-08-03,46
2011-08-04,37
2011-08-05,29
2011-08-06,11
2011-08-07,33
2011-08-08,52
2011-08-09,26
2011-08-10,9
2011-08-11,18
2011-08-12,38
2011-08-13,69
2011-08-14,79
2011-08-15,9
2011-08-16,62
2011-08-17,18
2011-08-18,35
2011-08-19,37
2011-08-20,11
2011-08-21,33
2011-08-22,26
2011-08-23,9
2011-08-24,17
2011-08-25,9
2011-08-26,18
2011-08-27,33
2011-08-28,21
2011-08-29,9
2011-08-30,9
2011-08-31,26
2011-09-01,9
2011-09-02,9
2011-09-03,11
2011-09-04,52
2011-09-05,26
2011-09-06,75
2011-09-07,17
2011-09-08,25
2011-09-09,26
2011-09-10,31
2011-09-11,51
2011-09-12,66
2011-09-13,33
2011-09-14,17
2011-09-15,42
2011-09-16,35
2011-09-17,21
2011-09-18,50
