date,Citrix Systems,isPartial
2014-12-01,74,False
2014-12-02,15,False
2014-12-03,46,False
2014-12-04,15,False
2014-12-05,16,False
2014-12-06,0,False
2014-12-07,18,False
2014-12-08,31,False
2014-12-09,30,False
2014-12-10,0,False
2014-12-11,15,False
2014-12-12,16,False
2014-12-13,0,False
2014-12-14,0,False
2014-12-15,15,False
2014-12-16,31,False
2014-12-17,32,False
2014-12-18,32,False
2014-12-19,34,False
2014-12-20,0,False
2014-12-21,19,False
2014-12-22,33,False
2014-12-23,17,False
2014-12-24,19,False
2014-12-25,0,False
2014-12-26,0,False
2014-12-27,0,False
2014-12-28,0,False
2014-12-29,16,False
2014-12-30,17,False
2014-12-31,0,False
2015-01-01,0,False
2015-01-02,50,False
2015-01-03,0,False
2015-01-04,0,False
2015-01-05,46,False
2015-01-06,31,False
2015-01-07,30,False
2015-01-08,61,False
2015-01-09,0,False
2015-01-10,0,False
2015-01-11,0,False
2015-01-12,15,False
2015-01-13,29,False
2015-01-14,44,False
2015-01-15,15,False
2015-01-16,30,False
2015-01-17,17,False
2015-01-18,34,False
2015-01-19,58,False
2015-01-20,29,False
2015-01-21,0,False
2015-01-22,74,False
2015-01-23,45,False
2015-01-24,0,False
2015-01-25,17,False
2015-01-26,15,False
2015-01-27,58,False
2015-01-28,58,False
2015-01-29,73,False
2015-01-30,30,False
2015-01-31,34,False
2015-02-01,0,False
2015-02-02,72,False
2015-02-03,29,False
2015-02-04,43,False
2015-02-05,29,False
2015-02-06,30,False
2015-02-07,17,False
2015-02-08,17,False
2015-02-09,44,False
2015-02-10,57,False
2015-02-11,29,False
2015-02-12,0,False
2015-02-13,15,False
2015-02-14,0,False
2015-02-15,0,False
2015-02-16,15,False
2015-02-17,30,False
2015-02-18,30,False
2015-02-19,44,False
2015-02-20,15,False
2015-02-21,17,False
2015-02-22,0,False
2015-02-23,43,False
2015-02-24,29,False
2015-02-25,0,False
2015-02-26,58,False
2015-02-27,75,False
2015-02-28,17,False
2015-03-01,17,False
2015-03-02,28,False
2015-03-03,29,False
2015-03-04,43,False
2015-03-05,29,False
2015-03-06,46,False
2015-03-07,51,False
2015-03-08,0,False
2015-03-09,43,False
2015-03-10,29,False
2015-03-11,0,False
2015-03-12,15,False
2015-03-13,90,False
2015-03-14,17,False
2015-03-15,33,False
2015-03-16,29,False
2015-03-17,14,False
2015-03-18,14,False
2015-03-19,14,False
2015-03-20,30,False
2015-03-21,0,False
2015-03-22,0,False
2015-03-23,29,False
2015-03-24,29,False
2015-03-25,0,False
2015-03-26,50,False
2015-03-27,15,False
2015-03-28,18,False
2015-03-29,17,False
2015-03-30,14,False
2015-03-31,29,False
2015-04-01,15,False
2015-04-02,31,False
2015-04-03,16,False
2015-04-04,0,False
2015-04-05,0,False
2015-04-06,15,False
2015-04-07,29,False
2015-04-08,0,False
2015-04-09,0,False
2015-04-10,60,False
2015-04-11,0,False
2015-04-12,17,False
2015-04-13,29,False
2015-04-14,43,False
2015-04-15,14,False
2015-04-16,29,False
2015-04-17,15,False
2015-04-18,34,False
2015-04-19,17,False
2015-04-20,14,False
2015-04-21,29,False
2015-04-22,0,False
2015-04-23,59,False
2015-04-24,30,False
2015-04-25,0,False
2015-04-26,17,False
2015-04-27,14,False
2015-04-28,56,False
2015-04-29,44,False
2015-04-30,0,False
2015-05-01,16,False
2015-05-02,17,False
2015-05-03,0,False
2015-05-04,14,False
2015-05-05,58,False
2015-05-06,43,False
2015-05-07,15,False
2015-05-08,31,False
2015-05-09,18,False
2015-05-10,0,False
2015-05-11,43,False
2015-05-12,29,False
2015-05-13,44,False
2015-05-14,29,False
2015-05-15,15,False
2015-05-16,68,False
2015-05-17,0,False
2015-05-18,43,False
2015-05-19,56,False
2015-05-20,43,False
2015-05-21,0,False
2015-05-22,0,False
2015-05-23,52,False
2015-05-24,0,False
2015-05-25,15,False
2015-05-26,14,False
2015-05-27,42,False
2015-05-28,86,False
2015-05-29,15,False
2015-05-30,17,False
2015-05-31,0,False
2015-06-01,43,False
2015-06-02,71,False
2015-06-03,28,False
2015-06-04,30,False
2015-06-05,30,False
2015-06-06,0,False
2015-06-07,0,False
2015-06-08,42,False
2015-06-09,71,False
2015-06-10,72,False
2015-06-11,30,False
2015-06-12,61,False
2015-06-13,17,False
2015-06-14,17,False
2015-06-15,56,False
2015-06-16,0,False
2015-06-17,0,False
2015-06-18,44,False
2015-06-19,31,False
2015-06-20,0,False
2015-06-21,0,False
2015-06-22,14,False
2015-06-23,29,False
2015-06-24,58,False
2015-06-25,14,False
2015-06-26,0,False
2015-06-27,17,False
2015-06-28,0,False
2015-06-29,58,False
2015-06-30,14,False
2015-07-01,15,False
2015-07-02,0,False
2015-07-03,0,False
2015-07-04,0,False
2015-07-05,0,False
2015-07-06,72,False
2015-07-07,43,False
2015-07-08,0,False
2015-07-09,29,False
2015-07-10,30,False
2015-07-11,0,False
2015-07-12,0,False
2015-07-13,0,False
2015-07-14,43,False
2015-07-15,29,False
2015-07-16,15,False
2015-07-17,15,False
2015-07-18,0,False
2015-07-19,0,False
2015-07-20,15,False
2015-07-21,29,False
2015-07-22,29,False
2015-07-23,15,False
2015-07-24,15,False
2015-07-25,0,False
2015-07-26,0,False
2015-07-27,85,False
2015-07-28,28,False
2015-07-29,100,False
2015-07-30,14,False
2015-07-31,15,False
2015-08-01,0,False
2015-08-02,0,False
2015-08-03,14,False
2015-08-04,14,False
2015-08-05,15,False
2015-08-06,44,False
2015-08-07,30,False
2015-08-08,0,False
2015-08-09,17,False
2015-08-10,14,False
2015-08-11,0,False
2015-08-12,29,False
2015-08-13,15,False
2015-08-14,60,False
2015-08-15,0,False
2015-08-16,0,False
2015-08-17,57,False
2015-08-18,0,False
