date,Marriott,isPartial
2011-09-18,71,False
2011-09-19,97,False
2011-09-20,96,False
2011-09-21,94,False
2011-09-22,92,False
2011-09-23,92,False
2011-09-24,74,False
2011-09-25,74,False
2011-09-26,91,False
2011-09-27,93,False
2011-09-28,91,False
2011-09-29,91,False
2011-09-30,92,False
2011-10-01,79,False
2011-10-02,73,False
2011-10-03,95,False
2011-10-04,91,False
2011-10-05,93,False
2011-10-06,89,False
2011-10-07,90,False
2011-10-08,73,False
2011-10-09,71,False
2011-10-10,91,False
2011-10-11,95,False
2011-10-12,87,False
2011-10-13,88,False
2011-10-14,88,False
2011-10-15,74,False
2011-10-16,66,False
2011-10-17,91,False
2011-10-18,92,False
2011-10-19,89,False
2011-10-20,85,False
2011-10-21,88,False
2011-10-22,71,False
2011-10-23,66,False
2011-10-24,86,False
2011-10-25,84,False
2011-10-26,84,False
2011-10-27,83,False
2011-10-28,80,False
2011-10-29,73,False
2011-10-30,70,False
2011-10-31,85,False
2011-11-01,90,False
2011-11-02,90,False
2011-11-03,84,False
2011-11-04,86,False
2011-11-05,70,False
2011-11-06,66,False
2011-11-07,88,False
2011-11-08,90,False
2011-11-09,87,False
2011-11-10,84,False
2011-11-11,84,False
2011-11-12,69,False
2011-11-13,65,False
2011-11-14,84,False
2011-11-15,88,False
2011-11-16,81,False
2011-11-17,80,False
2011-11-18,79,False
2011-11-19,66,False
2011-11-20,62,False
2011-11-21,74,False
2011-11-22,73,False
2011-11-23,67,False
2011-11-24,52,False
2011-11-25,56,False
2011-11-26,61,False
2011-11-27,61,False
2011-11-28,78,False
2011-11-29,79,False
2011-11-30,76,False
2011-12-01,74,False
2011-12-02,82,False
2011-12-03,64,False
2011-12-04,63,False
2011-12-05,80,False
2011-12-06,81,False
2011-12-07,79,False
2011-12-08,74,False
2011-12-09,78,False
2011-12-10,60,False
2011-12-11,56,False
2011-12-12,73,False
2011-12-13,73,False
2011-12-14,72,False
2011-12-15,71,False
2011-12-16,69,False
2011-12-17,62,False
2011-12-18,56,False
2011-12-19,69,False
2011-12-20,67,False
2011-12-21,69,False
2011-12-22,68,False
2011-12-23,58,False
2011-12-24,50,False
2011-12-25,49,False
2011-12-26,66,False
2011-12-27,80,False
2011-12-28,87,False
2011-12-29,87,False
2011-12-30,86,False
2011-12-31,88,False
2012-01-01,71,False
2012-01-02,70,False
2012-01-03,91,False
2012-01-04,90,False
2012-01-05,92,False
2012-01-06,89,False
2012-01-07,80,False
2012-01-08,77,False
2012-01-09,94,False
2012-01-10,100,False
2012-01-11,91,False
2012-01-12,88,False
2012-01-13,90,False
2012-01-14,78,False
2012-01-15,74,False
2012-01-16,85,False
2012-01-17,92,False
2012-01-18,90,False
2012-01-19,83,False
2012-01-20,89,False
2012-01-21,75,False
2012-01-22,69,False
2012-01-23,89,False
2012-01-24,92,False
2012-01-25,87,False
2012-01-26,83,False
2012-01-27,83,False
2012-01-28,71,False
2012-01-29,70,False
2012-01-30,90,False
2012-01-31,91,False
2012-02-01,85,False
2012-02-02,86,False
2012-02-03,83,False
2012-02-04,71,False
2012-02-05,67,False
2012-02-06,86,False
2012-02-07,92,False
2012-02-08,89,False
2012-02-09,92,False
2012-02-10,93,False
2012-02-11,81,False
2012-02-12,70,False
2012-02-13,86,False
2012-02-14,85,False
2012-02-15,87,False
2012-02-16,93,False
2012-02-17,98,False
2012-02-18,81,False
2012-02-19,75,False
2012-02-20,88,False
2012-02-21,96,False
2012-02-22,91,False
2012-02-23,91,False
2012-02-24,91,False
2012-02-25,77,False
2012-02-26,72,False
2012-02-27,91,False
2012-02-28,94,False
2012-02-29,93,False
2012-03-01,89,False
2012-03-02,90,False
2012-03-03,79,False
2012-03-04,79,False
2012-03-05,100,False
2012-03-06,93,False
2012-03-07,90,False
2012-03-08,92,False
2012-03-09,94,False
2012-03-10,80,False
2012-03-11,75,False
2012-03-12,93,False
2012-03-13,95,False
2012-03-14,92,False
2012-03-15,87,False
2012-03-16,92,False
2012-03-17,76,False
2012-03-18,75,False
2012-03-19,93,False
2012-03-20,93,False
2012-03-21,93,False
2012-03-22,90,False
2012-03-23,90,False
2012-03-24,75,False
2012-03-25,77,False
2012-03-26,91,False
2012-03-27,94,False
2012-03-28,94,False
2012-03-29,88,False
2012-03-30,85,False
2012-03-31,81,False
2012-04-01,76,False
2012-04-02,86,False
2012-04-03,90,False
2012-04-04,89,False
2012-04-05,88,False
2012-04-06,84,False
2012-04-07,68,False
2012-04-08,66,False
2012-04-09,87,False
2012-04-10,90,False
2012-04-11,93,False
2012-04-12,90,False
2012-04-13,92,False
2012-04-14,78,False
2012-04-15,73,False
2012-04-16,93,False
2012-04-17,94,False
2012-04-18,92,False
2012-04-19,89,False
2012-04-20,92,False
2012-04-21,77,False
2012-04-22,77,False
2012-04-23,97,False
2012-04-24,94,False
2012-04-25,93,False
2012-04-26,89,False
2012-04-27,94,False
2012-04-28,79,False
2012-04-29,74,False
2012-04-30,94,False
2012-05-01,97,False
2012-05-02,95,False
2012-05-03,90,False
2012-05-04,93,False
2012-05-05,77,False
2012-05-06,73,False
2012-05-07,97,False
2012-05-08,95,False
2012-05-09,95,False
2012-05-10,89,False
2012-05-11,91,False
2012-05-12,77,False
2012-05-13,71,False
2012-05-14,96,False
2012-05-15,94,False
2012-05-16,96,False
2012-05-17,94,False
2012-05-18,96,False
2012-05-19,81,False
2012-05-20,76,False
2012-05-21,96,False
2012-05-22,98,False
2012-05-23,95,False
2012-05-24,91,False
2012-05-25,91,False
2012-05-26,82,False
2012-05-27,73,False
2012-05-28,74,False
2012-05-29,90,False
2012-05-30,94,False
2012-05-31,93,False
2012-06-01,94,False
2012-06-02,81,False
2012-06-03,78,False
2012-06-04,97,False
