date,HAS stock
2011-01-01,9
2011-01-02,31
2011-01-03,38
2011-01-04,30
2011-01-05,37
2011-01-06,19
2011-01-07,51
2011-01-08,7
2011-01-09,43
2011-01-10,29
2011-01-11,58
2011-01-12,29
2011-01-13,24
2011-01-14,61
2011-01-15,43
2011-01-16,36
2011-01-17,52
2011-01-18,34
2011-01-19,58
2011-01-20,57
2011-01-21,42
2011-01-22,28
2011-01-23,78
2011-01-24,57
2011-01-25,28
2011-01-26,40
2011-01-27,23
2011-01-28,36
2011-01-29,70
2011-01-30,47
2011-01-31,38
2011-02-01,44
2011-02-02,71
2011-02-03,52
2011-02-04,65
2011-02-05,48
2011-02-06,40
2011-02-07,44
2011-02-08,56
2011-02-09,39
2011-02-10,40
2011-02-11,48
2011-02-12,49
2011-02-13,41
2011-02-14,56
2011-02-15,38
2011-02-16,72
2011-02-17,63
2011-02-18,65
2011-02-19,62
2011-02-20,69
2011-02-21,61
2011-02-22,44
2011-02-23,73
2011-02-24,62
2011-02-25,59
2011-02-26,28
2011-02-27,40
2011-02-28,44
2011-03-01,27
2011-03-02,84
2011-03-03,56
2011-03-04,65
2011-03-05,21
2011-03-06,42
2011-03-07,23
2011-03-08,51
2011-03-09,28
2011-03-10,67
2011-03-11,56
2011-03-12,14
2011-03-13,35
2011-03-14,64
2011-03-15,61
2011-03-16,44
2011-03-17,51
2011-03-18,35
2011-03-19,14
2011-03-20,27
2011-03-21,100
2011-03-22,61
2011-03-23,94
2011-03-24,57
2011-03-25,47
2011-03-26,69
2011-03-27,62
2011-03-28,33
2011-03-29,65
2011-03-30,66
2011-03-31,56
2011-04-01,53
2011-04-02,43
2011-04-03,62
2011-04-04,66
2011-04-05,66
2011-04-06,96
2011-04-07,79
2011-04-08,59
2011-04-09,64
2011-04-10,63
2011-04-11,55
2011-04-12,77
2011-04-13,78
2011-04-14,51
2011-04-15,53
2011-04-16,36
2011-04-17,43
2011-04-18,56
2011-04-19,63
2011-04-20,58
2011-04-21,55
2011-04-22,54
2011-04-23,61
2011-04-24,39
2011-04-25,31
2011-04-26,44
2011-04-27,60
2011-04-28,56
2011-04-29,59
2011-04-30,50
2011-05-01,70
2011-05-02,66
2011-05-03,55
2011-05-04,67
2011-05-05,68
2011-05-06,53
2011-05-07,50
2011-05-08,43
2011-05-09,60
2011-05-10,38
2011-05-11,60
2011-05-12,49
2011-05-13,59
2011-05-14,21
2011-05-15,61
2011-05-16,80
2011-05-17,27
2011-05-18,71
2011-05-19,51
2011-05-20,35
2011-05-21,14
2011-05-22,27
2011-05-23,53
2011-05-24,44
2011-05-25,38
2011-05-26,67
2011-05-27,23
2011-05-28,78
2011-05-29,57
2011-05-30,53
2011-05-31,71
2011-06-01,39
2011-06-02,76
2011-06-03,35
2011-06-04,36
2011-06-05,35
2011-06-06,38
2011-06-07,33
2011-06-08,66
2011-06-09,44
2011-06-10,29
2011-06-11,28
2011-06-12,42
2011-06-13,39
2011-06-14,54
2011-06-15,66
2011-06-16,22
2011-06-17,35
2011-06-18,42
2011-06-19,36
2011-06-20,21
2011-06-21,32
2011-06-22,38
2011-06-23,46
2011-06-24,41
2011-06-25,21
2011-06-26,43
2011-06-27,66
2011-06-28,33
2011-06-29,93
2011-06-30,22
2011-07-01,29
2011-07-02,7
2011-07-03,7
2011-07-04,41
2011-07-05,28
2011-07-06,28
2011-07-07,67
2011-07-08,24
2011-07-09,36
2011-07-10,36
2011-07-11,39
2011-07-12,39
2011-07-13,56
2011-07-14,34
2011-07-15,36
2011-07-16,36
2011-07-17,22
2011-07-18,60
2011-07-19,33
2011-07-20,45
2011-07-21,56
2011-07-22,18
2011-07-23,34
2011-07-24,63
2011-07-25,54
2011-07-26,38
2011-07-27,33
2011-07-28,28
2011-07-29,23
2011-07-30,85
2011-07-31,36
2011-08-01,17
2011-08-02,50
2011-08-03,44
2011-08-04,56
2011-08-05,64
2011-08-06,41
2011-08-07,13
2011-08-08,69
2011-08-09,74
2011-08-10,65
2011-08-11,60
2011-08-12,35
2011-08-13,35
2011-08-14,34
2011-08-15,40
2011-08-16,54
2011-08-17,28
2011-08-18,32
2011-08-19,67
2011-08-20,41
2011-08-21,67
2011-08-22,42
2011-08-23,57
2011-08-24,53
2011-08-25,47
2011-08-26,78
2011-08-27,13
2011-08-28,26
2011-08-29,48
2011-08-30,37
2011-08-31,43
2011-09-01,48
2011-09-02,38
2011-09-03,45
2011-09-04,32
2011-09-05,26
2011-09-06,56
2011-09-07,57
2011-09-08,41
2011-09-09,48
2011-09-10,57
2011-09-11,37
2011-09-12,50
2011-09-13,50
2011-09-14,30
2011-09-15,30
2011-09-16,32
2011-09-17,19
2011-09-18,18
