date,HAS stock
2016-05-04,44
2016-05-05,38
2016-05-06,38
2016-05-07,20
2016-05-08,26
2016-05-09,41
2016-05-10,38
2016-05-11,40
2016-05-12,29
2016-05-13,19
2016-05-14,22
2016-05-15,24
2016-05-16,25
2016-05-17,25
2016-05-18,26
2016-05-19,28
2016-05-20,22
2016-05-21,19
2016-05-22,23
2016-05-23,20
2016-05-24,33
2016-05-25,32
2016-05-26,23
2016-05-27,11
2016-05-28,9
2016-05-29,19
2016-05-30,16
2016-05-31,31
2016-06-01,24
2016-06-02,27
2016-06-03,23
2016-06-04,18
2016-06-05,21
2016-06-06,24
2016-06-07,31
2016-06-08,23
2016-06-09,26
2016-06-10,21
2016-06-11,14
2016-06-12,25
2016-06-13,23
2016-06-14,23
2016-06-15,31
2016-06-16,23
2016-06-17,22
2016-06-18,19
2016-06-19,16
2016-06-20,29
2016-06-21,30
2016-06-22,18
2016-06-23,20
2016-06-24,57
2016-06-25,19
2016-06-26,27
2016-06-27,30
2016-06-28,42
2016-06-29,26
2016-06-30,30
2016-07-01,29
2016-07-02,26
2016-07-03,26
2016-07-04,15
2016-07-05,22
2016-07-06,20
2016-07-07,22
2016-07-08,22
2016-07-09,20
2016-07-10,22
2016-07-11,30
2016-07-12,26
2016-07-13,27
2016-07-14,27
2016-07-15,24
2016-07-16,16
2016-07-17,25
2016-07-18,33
2016-07-19,31
2016-07-20,23
2016-07-21,24
2016-07-22,22
2016-07-23,19
2016-07-24,24
2016-07-25,37
2016-07-26,23
2016-07-27,24
2016-07-28,24
2016-07-29,18
2016-07-30,15
2016-07-31,24
2016-08-01,23
2016-08-02,14
2016-08-03,28
2016-08-04,15
2016-08-05,19
2016-08-06,17
2016-08-07,16
2016-08-08,20
2016-08-09,21
2016-08-10,24
2016-08-11,22
2016-08-12,18
2016-08-13,14
2016-08-14,21
2016-08-15,20
2016-08-16,13
2016-08-17,24
2016-08-18,13
2016-08-19,18
2016-08-20,18
2016-08-21,16
2016-08-22,22
2016-08-23,18
2016-08-24,18
2016-08-25,18
2016-08-26,18
2016-08-27,7
2016-08-28,22
2016-08-29,16
2016-08-30,26
2016-08-31,24
2016-09-01,18
2016-09-02,28
2016-09-03,21
2016-09-04,20
2016-09-05,21
2016-09-06,27
2016-09-07,25
2016-09-08,32
2016-09-09,23
2016-09-10,21
2016-09-11,26
2016-09-12,40
2016-09-13,35
2016-09-14,21
2016-09-15,32
2016-09-16,32
2016-09-17,22
2016-09-18,32
2016-09-19,41
2016-09-20,37
2016-09-21,32
2016-09-22,41
2016-09-23,24
2016-09-24,27
2016-09-25,28
2016-09-26,26
2016-09-27,32
2016-09-28,32
2016-09-29,38
2016-09-30,36
2016-10-01,23
2016-10-02,28
2016-10-03,22
2016-10-04,33
2016-10-05,32
2016-10-06,21
2016-10-07,21
2016-10-08,13
2016-10-09,24
2016-10-10,33
2016-10-11,35
2016-10-12,31
2016-10-13,34
2016-10-14,26
2016-10-15,25
2016-10-16,22
2016-10-17,31
2016-10-18,37
2016-10-19,32
2016-10-20,36
2016-10-21,36
2016-10-22,32
2016-10-23,32
2016-10-24,44
2016-10-25,40
2016-10-26,36
2016-10-27,40
2016-10-28,43
2016-10-29,26
2016-10-30,25
2016-10-31,38
2016-11-01,38
2016-11-02,41
2016-11-03,32
2016-11-04,34
2016-11-05,23
2016-11-06,39
2016-11-07,39
2016-11-08,38
2016-11-09,100
2016-11-10,57
2016-11-11,45
2016-11-12,28
2016-11-13,36
2016-11-14,65
2016-11-15,63
2016-11-16,43
2016-11-17,64
2016-11-18,55
2016-11-19,36
2016-11-20,40
2016-11-21,49
2016-11-22,51
2016-11-23,33
2016-11-24,29
2016-11-25,35
2016-11-26,36
2016-11-27,40
2016-11-28,61
2016-11-29,45
2016-11-30,49
2016-12-01,56
2016-12-02,52
2016-12-03,41
2016-12-04,41
2016-12-05,71
2016-12-06,54
2016-12-07,73
2016-12-08,58
2016-12-09,54
2016-12-10,36
2016-12-11,48
2016-12-12,50
2016-12-13,56
2016-12-14,49
2016-12-15,51
2016-12-16,27
2016-12-17,21
2016-12-18,26
2016-12-19,27
2016-12-20,42
2016-12-21,24
2016-12-22,27
2016-12-23,23
2016-12-24,13
2016-12-25,12
2016-12-26,18
2016-12-27,25
2016-12-28,22
2016-12-29,23
2016-12-30,21
2016-12-31,16
2017-01-01,15
2017-01-02,18
2017-01-03,24
2017-01-04,25
2017-01-05,22
2017-01-06,26
2017-01-07,20
2017-01-08,20
2017-01-09,24
2017-01-10,28
2017-01-11,36
2017-01-12,32
2017-01-13,26
2017-01-14,20
2017-01-15,19
2017-01-16,28
2017-01-17,23
2017-01-18,26
2017-01-19,33
