date,HAS stock
2015-04-10,52
2015-04-11,47
2015-04-12,53
2015-04-13,84
2015-04-14,57
2015-04-15,54
2015-04-16,62
2015-04-17,48
2015-04-18,53
2015-04-19,22
2015-04-20,72
2015-04-21,84
2015-04-22,52
2015-04-23,62
2015-04-24,45
2015-04-25,30
2015-04-26,63
2015-04-27,82
2015-04-28,72
2015-04-29,79
2015-04-30,70
2015-05-01,79
2015-05-02,46
2015-05-03,33
2015-05-04,54
2015-05-05,50
2015-05-06,78
2015-05-07,53
2015-05-08,49
2015-05-09,49
2015-05-10,40
2015-05-11,35
2015-05-12,48
2015-05-13,39
2015-05-14,40
2015-05-15,49
2015-05-16,35
2015-05-17,35
2015-05-18,55
2015-05-19,35
2015-05-20,57
2015-05-21,66
2015-05-22,33
2015-05-23,37
2015-05-24,34
2015-05-25,23
2015-05-26,38
2015-05-27,34
2015-05-28,44
2015-05-29,31
2015-05-30,24
2015-05-31,26
2015-06-01,40
2015-06-02,35
2015-06-03,35
2015-06-04,33
2015-06-05,36
2015-06-06,38
2015-06-07,43
2015-06-08,65
2015-06-09,56
2015-06-10,32
2015-06-11,45
2015-06-12,45
2015-06-13,34
2015-06-14,51
2015-06-15,37
2015-06-16,36
2015-06-17,42
2015-06-18,34
2015-06-19,37
2015-06-20,47
2015-06-21,32
2015-06-22,41
2015-06-23,52
2015-06-24,48
2015-06-25,51
2015-06-26,49
2015-06-27,41
2015-06-28,29
2015-06-29,66
2015-06-30,33
2015-07-01,26
2015-07-02,38
2015-07-03,40
2015-07-04,39
2015-07-05,32
2015-07-06,47
2015-07-07,42
2015-07-08,85
2015-07-09,72
2015-07-10,33
2015-07-11,41
2015-07-12,34
2015-07-13,39
2015-07-14,34
2015-07-15,28
2015-07-16,49
2015-07-17,44
2015-07-18,38
2015-07-19,29
2015-07-20,43
2015-07-21,45
2015-07-22,36
2015-07-23,38
2015-07-24,43
2015-07-25,40
2015-07-26,31
2015-07-27,33
2015-07-28,37
2015-07-29,41
2015-07-30,32
2015-07-31,41
2015-08-01,20
2015-08-02,40
2015-08-03,62
2015-08-04,37
2015-08-05,39
2015-08-06,53
2015-08-07,35
2015-08-08,27
2015-08-09,38
2015-08-10,39
2015-08-11,37
2015-08-12,41
2015-08-13,34
2015-08-14,31
2015-08-15,31
2015-08-16,26
2015-08-17,59
2015-08-18,33
2015-08-19,39
2015-08-20,39
2015-08-21,50
2015-08-22,44
2015-08-23,43
2015-08-24,100
2015-08-25,73
2015-08-26,56
2015-08-27,55
2015-08-28,44
2015-08-29,32
2015-08-30,34
2015-08-31,32
2015-09-01,44
2015-09-02,50
2015-09-03,36
2015-09-04,56
2015-09-05,21
2015-09-06,34
2015-09-07,37
2015-09-08,48
2015-09-09,56
2015-09-10,59
2015-09-11,44
2015-09-12,41
2015-09-13,63
2015-09-14,49
2015-09-15,53
2015-09-16,60
2015-09-17,33
2015-09-18,46
2015-09-19,31
2015-09-20,57
2015-09-21,78
2015-09-22,63
2015-09-23,57
2015-09-24,47
2015-09-25,63
2015-09-26,29
2015-09-27,61
2015-09-28,75
2015-09-29,60
2015-09-30,60
2015-10-01,51
2015-10-02,50
2015-10-03,45
2015-10-04,60
2015-10-05,55
2015-10-06,48
2015-10-07,51
2015-10-08,64
2015-10-09,62
2015-10-10,43
2015-10-11,51
2015-10-12,56
2015-10-13,55
2015-10-14,68
2015-10-15,66
2015-10-16,60
2015-10-17,51
2015-10-18,30
2015-10-19,60
2015-10-20,65
2015-10-21,56
2015-10-22,67
2015-10-23,55
2015-10-24,51
2015-10-25,61
2015-10-26,62
2015-10-27,77
2015-10-28,65
2015-10-29,47
2015-10-30,51
2015-10-31,31
2015-11-01,43
2015-11-02,57
2015-11-03,74
2015-11-04,61
2015-11-05,65
2015-11-06,65
2015-11-07,32
2015-11-08,64
2015-11-09,61
2015-11-10,68
2015-11-11,56
2015-11-12,60
2015-11-13,73
2015-11-14,44
2015-11-15,56
2015-11-16,49
2015-11-17,62
2015-11-18,77
2015-11-19,67
2015-11-20,65
2015-11-21,60
2015-11-22,48
2015-11-23,60
2015-11-24,59
2015-11-25,46
2015-11-26,38
2015-11-27,37
2015-11-28,42
2015-11-29,49
2015-11-30,66
2015-12-01,71
2015-12-02,56
2015-12-03,80
2015-12-04,65
2015-12-05,53
2015-12-06,69
2015-12-07,75
2015-12-08,90
2015-12-09,81
2015-12-10,75
2015-12-11,96
2015-12-12,67
2015-12-13,82
2015-12-14,63
2015-12-15,77
2015-12-16,61
2015-12-17,91
2015-12-18,58
2015-12-19,34
2015-12-20,59
2015-12-21,51
2015-12-22,32
2015-12-23,68
2015-12-24,61
2015-12-25,31
2015-12-26,41
