date,HAS stock
2013-11-06,41
2013-11-07,55
2013-11-08,51
2013-11-09,34
2013-11-10,52
2013-11-11,41
2013-11-12,50
2013-11-13,57
2013-11-14,65
2013-11-15,75
2013-11-16,54
2013-11-17,54
2013-11-18,76
2013-11-19,100
2013-11-20,48
2013-11-21,69
2013-11-22,57
2013-11-23,54
2013-11-24,58
2013-11-25,86
2013-11-26,78
2013-11-27,56
2013-11-28,45
2013-11-29,64
2013-11-30,51
2013-12-01,56
2013-12-02,97
2013-12-03,62
2013-12-04,89
2013-12-05,72
2013-12-06,93
2013-12-07,53
2013-12-08,87
2013-12-09,66
2013-12-10,78
2013-12-11,63
2013-12-12,86
2013-12-13,85
2013-12-14,47
2013-12-15,42
2013-12-16,68
2013-12-17,51
2013-12-18,51
2013-12-19,45
2013-12-20,58
2013-12-21,35
2013-12-22,35
2013-12-23,44
2013-12-24,55
2013-12-25,30
2013-12-26,48
2013-12-27,39
2013-12-28,34
2013-12-29,36
2013-12-30,32
2013-12-31,23
2014-01-01,38
2014-01-02,25
2014-01-03,21
2014-01-04,47
2014-01-05,25
2014-01-06,18
2014-01-07,27
2014-01-08,22
2014-01-09,16
2014-01-10,39
2014-01-11,25
2014-01-12,38
2014-01-13,43
2014-01-14,43
2014-01-15,30
2014-01-16,38
2014-01-17,34
2014-01-18,17
2014-01-19,39
2014-01-20,39
2014-01-21,36
2014-01-22,43
2014-01-23,34
2014-01-24,46
2014-01-25,27
2014-01-26,56
2014-01-27,30
2014-01-28,51
2014-01-29,28
2014-01-30,49
2014-01-31,33
2014-02-01,25
2014-02-02,33
2014-02-03,58
2014-02-04,35
2014-02-05,39
2014-02-06,44
2014-02-07,38
2014-02-08,31
2014-02-09,28
2014-02-10,49
2014-02-11,57
2014-02-12,38
2014-02-13,44
2014-02-14,35
2014-02-15,38
2014-02-16,41
2014-02-17,39
2014-02-18,60
2014-02-19,44
2014-02-20,57
2014-02-21,37
2014-02-22,27
2014-02-23,56
2014-02-24,35
2014-02-25,56
2014-02-26,45
2014-02-27,53
2014-02-28,69
2014-03-01,52
2014-03-02,35
2014-03-03,70
2014-03-04,46
2014-03-05,57
2014-03-06,48
2014-03-07,56
2014-03-08,46
2014-03-09,46
2014-03-10,45
2014-03-11,40
2014-03-12,43
2014-03-13,34
2014-03-14,34
2014-03-15,41
2014-03-16,58
2014-03-17,33
2014-03-18,58
2014-03-19,25
2014-03-20,57
2014-03-21,52
2014-03-22,37
2014-03-23,46
2014-03-24,50
2014-03-25,46
2014-03-26,49
2014-03-27,43
2014-03-28,55
2014-03-29,23
2014-03-30,49
2014-03-31,44
2014-04-01,40
2014-04-02,41
2014-04-03,40
2014-04-04,46
2014-04-05,40
2014-04-06,43
2014-04-07,56
2014-04-08,59
2014-04-09,35
2014-04-10,48
2014-04-11,39
2014-04-12,36
2014-04-13,40
2014-04-14,57
2014-04-15,48
2014-04-16,46
2014-04-17,41
2014-04-18,33
2014-04-19,46
2014-04-20,27
2014-04-21,61
2014-04-22,54
2014-04-23,55
2014-04-24,48
2014-04-25,41
2014-04-26,34
2014-04-27,31
2014-04-28,70
2014-04-29,63
2014-04-30,44
2014-05-01,50
2014-05-02,52
2014-05-03,44
2014-05-04,41
2014-05-05,41
2014-05-06,33
2014-05-07,46
2014-05-08,43
2014-05-09,36
2014-05-10,27
2014-05-11,27
2014-05-12,36
2014-05-13,50
2014-05-14,37
2014-05-15,53
2014-05-16,22
2014-05-17,36
2014-05-18,19
2014-05-19,35
2014-05-20,24
2014-05-21,46
2014-05-22,33
2014-05-23,26
2014-05-24,40
2014-05-25,21
2014-05-26,32
2014-05-27,46
2014-05-28,29
2014-05-29,42
2014-05-30,27
2014-05-31,28
2014-06-01,31
2014-06-02,35
2014-06-03,36
2014-06-04,23
2014-06-05,33
2014-06-06,16
2014-06-07,27
2014-06-08,27
2014-06-09,49
2014-06-10,32
2014-06-11,29
2014-06-12,22
2014-06-13,20
2014-06-14,33
2014-06-15,24
2014-06-16,41
2014-06-17,31
2014-06-18,36
2014-06-19,30
2014-06-20,27
2014-06-21,20
2014-06-22,45
2014-06-23,41
2014-06-24,52
2014-06-25,23
2014-06-26,20
2014-06-27,21
2014-06-28,24
2014-06-29,31
2014-06-30,24
2014-07-01,37
2014-07-02,40
2014-07-03,45
2014-07-04,24
2014-07-05,27
2014-07-06,22
2014-07-07,30
2014-07-08,39
2014-07-09,38
2014-07-10,28
2014-07-11,31
2014-07-12,26
2014-07-13,28
2014-07-14,24
2014-07-15,29
2014-07-16,34
2014-07-17,38
2014-07-18,33
2014-07-19,27
2014-07-20,24
2014-07-21,31
2014-07-22,41
2014-07-23,37
2014-07-24,36
