date,Align Technology,isPartial
2014-03-16,0,False
2014-03-17,0,False
2014-03-18,93,False
2014-03-19,48,False
2014-03-20,32,False
2014-03-21,0,False
2014-03-22,0,False
2014-03-23,18,False
2014-03-24,16,False
2014-03-25,31,False
2014-03-26,31,False
2014-03-27,32,False
2014-03-28,33,False
2014-03-29,19,False
2014-03-30,0,False
2014-03-31,47,False
2014-04-01,16,False
2014-04-02,32,False
2014-04-03,16,False
2014-04-04,33,False
2014-04-05,19,False
2014-04-06,0,False
2014-04-07,78,False
2014-04-08,47,False
2014-04-09,0,False
2014-04-10,16,False
2014-04-11,51,False
2014-04-12,0,False
2014-04-13,0,False
2014-04-14,48,False
2014-04-15,48,False
2014-04-16,32,False
2014-04-17,17,False
2014-04-18,0,False
2014-04-19,20,False
2014-04-20,0,False
2014-04-21,85,False
2014-04-22,47,False
2014-04-23,64,False
2014-04-24,16,False
2014-04-25,33,False
2014-04-26,19,False
2014-04-27,0,False
2014-04-28,47,False
2014-04-29,63,False
2014-04-30,32,False
2014-05-01,0,False
2014-05-02,17,False
2014-05-03,38,False
2014-05-04,0,False
2014-05-05,16,False
2014-05-06,47,False
2014-05-07,32,False
2014-05-08,16,False
2014-05-09,33,False
2014-05-10,37,False
2014-05-11,0,False
2014-05-12,62,False
2014-05-13,31,False
2014-05-14,16,False
2014-05-15,0,False
2014-05-16,16,False
2014-05-17,0,False
2014-05-18,0,False
2014-05-19,47,False
2014-05-20,32,False
2014-05-21,69,False
2014-05-22,35,False
2014-05-23,0,False
2014-05-24,0,False
2014-05-25,0,False
2014-05-26,35,False
2014-05-27,17,False
2014-05-28,35,False
2014-05-29,0,False
2014-05-30,74,False
2014-05-31,0,False
2014-06-01,0,False
2014-06-02,0,False
2014-06-03,51,False
2014-06-04,34,False
2014-06-05,36,False
2014-06-06,75,False
2014-06-07,22,False
2014-06-08,0,False
2014-06-09,0,False
2014-06-10,0,False
2014-06-11,35,False
2014-06-12,35,False
2014-06-13,18,False
2014-06-14,0,False
2014-06-15,21,False
2014-06-16,0,False
2014-06-17,17,False
2014-06-18,35,False
2014-06-19,36,False
2014-06-20,76,False
2014-06-21,0,False
2014-06-22,0,False
2014-06-23,70,False
2014-06-24,0,False
2014-06-25,35,False
2014-06-26,71,False
2014-06-27,19,False
2014-06-28,0,False
2014-06-29,65,False
2014-06-30,36,False
2014-07-01,35,False
2014-07-02,54,False
2014-07-03,37,False
2014-07-04,0,False
2014-07-05,22,False
2014-07-06,0,False
2014-07-07,0,False
2014-07-08,0,False
2014-07-09,18,False
2014-07-10,18,False
2014-07-11,37,False
2014-07-12,0,False
2014-07-13,0,False
2014-07-14,53,False
2014-07-15,18,False
2014-07-16,55,False
2014-07-17,18,False
2014-07-18,0,False
2014-07-19,0,False
2014-07-20,0,False
2014-07-21,18,False
