date,Align Technology,isPartial
2013-06-29,41,False
2013-06-30,0,False
2013-07-01,0,False
2013-07-02,0,False
2013-07-03,17,False
2013-07-04,53,False
2013-07-05,0,False
2013-07-06,0,False
2013-07-07,0,False
2013-07-08,34,False
2013-07-09,100,False
2013-07-10,34,False
2013-07-11,34,False
2013-07-12,18,False
2013-07-13,0,False
2013-07-14,0,False
2013-07-15,33,False
2013-07-16,34,False
2013-07-17,17,False
2013-07-18,69,False
2013-07-19,18,False
2013-07-20,42,False
2013-07-21,0,False
2013-07-22,50,False
2013-07-23,17,False
2013-07-24,68,False
2013-07-25,35,False
2013-07-26,17,False
2013-07-27,21,False
2013-07-28,20,False
2013-07-29,50,False
2013-07-30,33,False
2013-07-31,34,False
2013-08-01,34,False
2013-08-02,36,False
2013-08-03,0,False
2013-08-04,0,False
2013-08-05,34,False
2013-08-06,33,False
2013-08-07,0,False
2013-08-08,0,False
2013-08-09,18,False
2013-08-10,0,False
2013-08-11,20,False
2013-08-12,0,False
2013-08-13,17,False
2013-08-14,17,False
2013-08-15,53,False
2013-08-16,18,False
2013-08-17,0,False
2013-08-18,0,False
2013-08-19,17,False
2013-08-20,16,False
2013-08-21,17,False
2013-08-22,17,False
2013-08-23,17,False
2013-08-24,0,False
2013-08-25,0,False
2013-08-26,32,False
2013-08-27,63,False
2013-08-28,0,False
2013-08-29,81,False
2013-08-30,0,False
2013-08-31,0,False
2013-09-01,19,False
2013-09-02,33,False
2013-09-03,16,False
2013-09-04,0,False
2013-09-05,16,False
2013-09-06,17,False
2013-09-07,0,False
2013-09-08,19,False
2013-09-09,63,False
2013-09-10,31,False
2013-09-11,63,False
2013-09-12,0,False
2013-09-13,33,False
2013-09-14,19,False
2013-09-15,0,False
2013-09-16,31,False
2013-09-17,16,False
2013-09-18,16,False
2013-09-19,16,False
2013-09-20,33,False
2013-09-21,0,False
2013-09-22,0,False
2013-09-23,31,False
2013-09-24,31,False
2013-09-25,0,False
2013-09-26,16,False
2013-09-27,50,False
2013-09-28,0,False
2013-09-29,37,False
2013-09-30,62,False
2013-10-01,0,False
2013-10-02,47,False
2013-10-03,32,False
2013-10-04,33,False
2013-10-05,0,False
2013-10-06,0,False
2013-10-07,0,False
2013-10-08,0,False
2013-10-09,0,False
2013-10-10,47,False
2013-10-11,0,False
2013-10-12,0,False
2013-10-13,19,False
2013-10-14,16,False
2013-10-15,48,False
2013-10-16,32,False
2013-10-17,32,False
2013-10-18,50,False
2013-10-19,0,False
2013-10-20,0,False
2013-10-21,15,False
2013-10-22,62,False
2013-10-23,31,False
2013-10-24,16,False
2013-10-25,16,False
2013-10-26,19,False
2013-10-27,0,False
2013-10-28,61,False
2013-10-29,16,False
2013-10-30,16,False
2013-10-31,16,False
2013-11-01,17,False
2013-11-02,0,False
2013-11-03,54,False
2013-11-04,0,False
2013-11-05,31,False
2013-11-06,15,False
2013-11-07,15,False
2013-11-08,33,False
2013-11-09,36,False
2013-11-10,18,False
2013-11-11,46,False
2013-11-12,0,False
2013-11-13,61,False
2013-11-14,46,False
2013-11-15,32,False
2013-11-16,37,False
2013-11-17,0,False
2013-11-18,30,False
2013-11-19,61,False
2013-11-20,92,False
2013-11-21,15,False
2013-11-22,32,False
2013-11-23,0,False
2013-11-24,0,False
2013-11-25,45,False
2013-11-26,46,False
2013-11-27,30,False
2013-11-28,49,False
2013-11-29,17,False
2013-11-30,36,False
2013-12-01,0,False
2013-12-02,15,False
2013-12-03,15,False
2013-12-04,75,False
2013-12-05,46,False
2013-12-06,0,False
2013-12-07,0,False
2013-12-08,36,False
2013-12-09,90,False
2013-12-10,76,False
2013-12-11,30,False
2013-12-12,31,False
2013-12-13,32,False
2013-12-14,0,False
2013-12-15,0,False
2013-12-16,15,False
2013-12-17,31,False
2013-12-18,16,False
2013-12-19,16,False
2013-12-20,34,False
2013-12-21,0,False
2013-12-22,19,False
2013-12-23,34,False
2013-12-24,19,False
2013-12-25,0,False
2013-12-26,18,False
2013-12-27,34,False
2013-12-28,0,False
2013-12-29,0,False
2013-12-30,17,False
2013-12-31,18,False
2014-01-01,19,False
2014-01-02,0,False
2014-01-03,48,False
2014-01-04,0,False
2014-01-05,18,False
2014-01-06,30,False
2014-01-07,74,False
2014-01-08,0,False
2014-01-09,30,False
2014-01-10,47,False
2014-01-11,18,False
2014-01-12,17,False
2014-01-13,15,False
2014-01-14,29,False
2014-01-15,44,False
2014-01-16,0,False
2014-01-17,31,False
2014-01-18,17,False
2014-01-19,0,False
2014-01-20,44,False
2014-01-21,29,False
2014-01-22,14,False
2014-01-23,44,False
2014-01-24,0,False
2014-01-25,34,False
2014-01-26,34,False
2014-01-27,14,False
2014-01-28,0,False
2014-01-29,43,False
2014-01-30,30,False
2014-01-31,61,False
2014-02-01,17,False
2014-02-02,50,False
2014-02-03,29,False
2014-02-04,15,False
2014-02-05,0,False
2014-02-06,80,False
2014-02-07,17,False
2014-02-08,17,False
2014-02-09,17,False
2014-02-10,28,False
2014-02-11,14,False
2014-02-12,29,False
2014-02-13,29,False
2014-02-14,30,False
2014-02-15,0,False
2014-02-16,17,False
2014-02-17,29,False
2014-02-18,14,False
2014-02-19,44,False
2014-02-20,15,False
2014-02-21,15,False
2014-02-22,34,False
2014-02-23,34,False
2014-02-24,28,False
2014-02-25,43,False
2014-02-26,14,False
2014-02-27,59,False
2014-02-28,61,False
2014-03-01,0,False
2014-03-02,0,False
2014-03-03,0,False
2014-03-04,29,False
2014-03-05,29,False
2014-03-06,29,False
2014-03-07,0,False
2014-03-08,17,False
2014-03-09,51,False
2014-03-10,44,False
2014-03-11,43,False
2014-03-12,43,False
2014-03-13,59,False
2014-03-14,0,False
2014-03-15,34,False
2014-03-16,17,False
