date,COST stock
2015-12-26,26
2015-12-27,26
2015-12-28,52
2015-12-29,39
2015-12-30,43
2015-12-31,39
2016-01-01,20
2016-01-02,20
2016-01-03,37
2016-01-04,57
2016-01-05,57
2016-01-06,39
2016-01-07,64
2016-01-08,55
2016-01-09,39
2016-01-10,43
2016-01-11,64
2016-01-12,68
2016-01-13,61
2016-01-14,61
2016-01-15,56
2016-01-16,45
2016-01-17,37
2016-01-18,44
2016-01-19,65
2016-01-20,72
2016-01-21,70
2016-01-22,65
2016-01-23,34
2016-01-24,31
2016-01-25,63
2016-01-26,66
2016-01-27,63
2016-01-28,54
2016-01-29,66
2016-01-30,47
2016-01-31,36
2016-02-01,59
2016-02-02,65
2016-02-03,56
2016-02-04,63
2016-02-05,66
2016-02-06,42
2016-02-07,43
2016-02-08,66
2016-02-09,76
2016-02-10,65
2016-02-11,72
2016-02-12,61
2016-02-13,37
2016-02-14,41
2016-02-15,62
2016-02-16,76
2016-02-17,73
2016-02-18,78
2016-02-19,53
2016-02-20,40
2016-02-21,58
2016-02-22,75
2016-02-23,68
2016-02-24,79
2016-02-25,86
2016-02-26,58
2016-02-27,59
2016-02-28,45
2016-02-29,82
2016-03-01,97
2016-03-02,63
2016-03-03,85
2016-03-04,59
2016-03-05,47
2016-03-06,47
2016-03-07,85
2016-03-08,77
2016-03-09,75
2016-03-10,85
2016-03-11,52
2016-03-12,39
2016-03-13,47
2016-03-14,68
2016-03-15,68
2016-03-16,63
2016-03-17,67
2016-03-18,55
2016-03-19,43
2016-03-20,60
2016-03-21,83
2016-03-22,71
2016-03-23,80
2016-03-24,67
2016-03-25,40
2016-03-26,53
2016-03-27,46
2016-03-28,76
2016-03-29,68
2016-03-30,75
2016-03-31,72
2016-04-01,82
2016-04-02,51
2016-04-03,62
2016-04-04,81
2016-04-05,75
2016-04-06,78
2016-04-07,79
2016-04-08,72
2016-04-09,49
2016-04-10,54
2016-04-11,100
2016-04-12,88
2016-04-13,82
2016-04-14,75
2016-04-15,66
2016-04-16,50
2016-04-17,62
2016-04-18,91
2016-04-19,85
2016-04-20,74
2016-04-21,69
2016-04-22,65
2016-04-23,51
2016-04-24,57
2016-04-25,73
2016-04-26,73
2016-04-27,79
2016-04-28,84
2016-04-29,73
2016-04-30,43
2016-05-01,69
2016-05-02,94
2016-05-03,72
2016-05-04,94
2016-05-05,89
2016-05-06,65
2016-05-07,49
2016-05-08,42
2016-05-09,65
2016-05-10,70
2016-05-11,66
2016-05-12,65
2016-05-13,56
2016-05-14,30
2016-05-15,41
2016-05-16,66
2016-05-17,57
2016-05-18,68
2016-05-19,58
2016-05-20,60
2016-05-21,32
2016-05-22,49
2016-05-23,54
2016-05-24,65
2016-05-25,59
2016-05-26,79
2016-05-27,56
2016-05-28,32
2016-05-29,36
2016-05-30,57
2016-05-31,44
2016-06-01,55
2016-06-02,58
2016-06-03,48
2016-06-04,32
2016-06-05,50
2016-06-06,55
2016-06-07,48
2016-06-08,53
2016-06-09,45
2016-06-10,37
2016-06-11,34
2016-06-12,37
2016-06-13,52
2016-06-14,57
2016-06-15,59
2016-06-16,49
2016-06-17,46
2016-06-18,33
2016-06-19,37
2016-06-20,45
2016-06-21,63
2016-06-22,47
2016-06-23,62
2016-06-24,81
2016-06-25,49
2016-06-26,43
2016-06-27,58
2016-06-28,43
2016-06-29,54
2016-06-30,51
2016-07-01,44
2016-07-02,37
2016-07-03,34
2016-07-04,34
2016-07-05,46
2016-07-06,38
2016-07-07,56
2016-07-08,44
2016-07-09,41
2016-07-10,27
2016-07-11,60
2016-07-12,61
2016-07-13,51
2016-07-14,57
2016-07-15,49
2016-07-16,35
2016-07-17,47
2016-07-18,67
2016-07-19,51
2016-07-20,48
2016-07-21,60
2016-07-22,52
2016-07-23,37
2016-07-24,38
2016-07-25,52
2016-07-26,50
2016-07-27,54
2016-07-28,61
2016-07-29,58
2016-07-30,39
2016-07-31,48
2016-08-01,53
2016-08-02,48
2016-08-03,52
2016-08-04,50
2016-08-05,43
2016-08-06,26
2016-08-07,34
2016-08-08,55
2016-08-09,49
2016-08-10,45
2016-08-11,37
2016-08-12,38
2016-08-13,19
2016-08-14,25
2016-08-15,53
2016-08-16,33
2016-08-17,42
2016-08-18,35
2016-08-19,37
2016-08-20,23
2016-08-21,34
2016-08-22,45
2016-08-23,43
2016-08-24,40
2016-08-25,39
2016-08-26,36
2016-08-27,46
2016-08-28,32
2016-08-29,47
2016-08-30,49
2016-08-31,40
2016-09-01,68
2016-09-02,48
2016-09-03,36
2016-09-04,29
2016-09-05,45
2016-09-06,38
2016-09-07,65
2016-09-08,60
2016-09-09,59
2016-09-10,32
2016-09-11,34
