date,COST stock
2016-09-11,30
2016-09-12,37
2016-09-13,25
2016-09-14,49
2016-09-15,33
2016-09-16,36
2016-09-17,19
2016-09-18,37
2016-09-19,38
2016-09-20,34
2016-09-21,41
2016-09-22,27
2016-09-23,36
2016-09-24,19
2016-09-25,22
2016-09-26,47
2016-09-27,40
2016-09-28,33
2016-09-29,49
2016-09-30,46
2016-10-01,22
2016-10-02,29
2016-10-03,37
2016-10-04,44
2016-10-05,37
2016-10-06,50
2016-10-07,32
2016-10-08,24
2016-10-09,24
2016-10-10,39
2016-10-11,44
2016-10-12,51
2016-10-13,34
2016-10-14,33
2016-10-15,32
2016-10-16,27
2016-10-17,38
2016-10-18,40
2016-10-19,34
2016-10-20,57
2016-10-21,39
2016-10-22,18
2016-10-23,29
2016-10-24,46
2016-10-25,48
2016-10-26,55
2016-10-27,34
2016-10-28,34
2016-10-29,25
2016-10-30,37
2016-10-31,35
2016-11-01,43
2016-11-02,53
2016-11-03,38
2016-11-04,39
2016-11-05,27
2016-11-06,25
2016-11-07,35
2016-11-08,35
2016-11-09,51
2016-11-10,54
2016-11-11,25
2016-11-12,30
2016-11-13,17
2016-11-14,52
2016-11-15,67
2016-11-16,54
2016-11-17,51
2016-11-18,56
2016-11-19,45
2016-11-20,37
2016-11-21,36
2016-11-22,53
2016-11-23,41
2016-11-24,33
2016-11-25,31
2016-11-26,32
2016-11-27,36
2016-11-28,52
2016-11-29,69
2016-11-30,68
2016-12-01,49
2016-12-02,44
2016-12-03,34
2016-12-04,58
2016-12-05,64
2016-12-06,58
2016-12-07,79
2016-12-08,100
2016-12-09,51
2016-12-10,29
2016-12-11,35
2016-12-12,65
2016-12-13,66
2016-12-14,72
2016-12-15,51
2016-12-16,41
2016-12-17,27
2016-12-18,25
2016-12-19,43
2016-12-20,40
2016-12-21,37
2016-12-22,48
2016-12-23,23
2016-12-24,15
2016-12-25,9
2016-12-26,19
2016-12-27,28
2016-12-28,36
2016-12-29,34
2016-12-30,18
2016-12-31,26
2017-01-01,33
2017-01-02,25
2017-01-03,33
2017-01-04,49
2017-01-05,39
2017-01-06,44
2017-01-07,17
2017-01-08,29
2017-01-09,40
2017-01-10,29
2017-01-11,47
2017-01-12,40
2017-01-13,41
2017-01-14,24
2017-01-15,18
2017-01-16,42
2017-01-17,42
2017-01-18,49
2017-01-19,50
2017-01-20,42
2017-01-21,26
2017-01-22,26
2017-01-23,49
2017-01-24,51
2017-01-25,49
2017-01-26,50
2017-01-27,41
2017-01-28,15
2017-01-29,29
2017-01-30,58
2017-01-31,53
2017-02-01,46
2017-02-02,46
2017-02-03,55
2017-02-04,29
2017-02-05,39
2017-02-06,51
2017-02-07,52
2017-02-08,53
2017-02-09,51
2017-02-10,47
2017-02-11,30
2017-02-12,43
2017-02-13,60
2017-02-14,56
2017-02-15,47
2017-02-16,52
2017-02-17,48
2017-02-18,49
2017-02-19,47
2017-02-20,51
2017-02-21,53
2017-02-22,77
2017-02-23,72
2017-02-24,56
2017-02-25,32
2017-02-26,51
2017-02-27,64
2017-02-28,81
2017-03-01,55
2017-03-02,86
2017-03-03,76
2017-03-04,45
2017-03-05,60
2017-03-06,60
2017-03-07,80
2017-03-08,68
2017-03-09,51
2017-03-10,61
2017-03-11,37
2017-03-12,51
2017-03-13,51
2017-03-14,43
2017-03-15,60
2017-03-16,51
2017-03-17,54
2017-03-18,30
2017-03-19,32
2017-03-20,47
2017-03-21,59
2017-03-22,61
2017-03-23,60
2017-03-24,40
2017-03-25,34
2017-03-26,44
2017-03-27,58
2017-03-28,57
2017-03-29,88
2017-03-30,51
2017-03-31,53
2017-04-01,37
2017-04-02,52
2017-04-03,65
2017-04-04,58
2017-04-05,77
2017-04-06,54
2017-04-07,84
2017-04-08,56
2017-04-09,55
2017-04-10,69
2017-04-11,82
2017-04-12,87
2017-04-13,65
2017-04-14,65
2017-04-15,46
2017-04-16,48
2017-04-17,64
2017-04-18,57
2017-04-19,59
2017-04-20,71
2017-04-21,61
2017-04-22,49
2017-04-23,43
2017-04-24,63
2017-04-25,69
2017-04-26,78
2017-04-27,66
2017-04-28,55
2017-04-29,49
2017-04-30,42
2017-05-01,71
2017-05-02,78
2017-05-03,61
2017-05-04,77
2017-05-05,49
2017-05-06,43
2017-05-07,53
2017-05-08,69
2017-05-09,54
2017-05-10,70
2017-05-11,51
2017-05-12,54
2017-05-13,45
2017-05-14,35
2017-05-15,59
2017-05-16,56
2017-05-17,34
2017-05-18,42
2017-05-19,42
2017-05-20,31
2017-05-21,37
2017-05-22,36
2017-05-23,47
2017-05-24,52
2017-05-25,38
2017-05-26,50
2017-05-27,29
2017-05-28,29
2017-05-29,38
