date,COST stock
2013-06-29,46
2013-06-30,43
2013-07-01,48
2013-07-02,43
2013-07-03,36
2013-07-04,35
2013-07-05,41
2013-07-06,32
2013-07-07,25
2013-07-08,58
2013-07-09,66
2013-07-10,59
2013-07-11,28
2013-07-12,33
2013-07-13,28
2013-07-14,37
2013-07-15,56
2013-07-16,53
2013-07-17,44
2013-07-18,44
2013-07-19,32
2013-07-20,25
2013-07-21,41
2013-07-22,35
2013-07-23,50
2013-07-24,56
2013-07-25,44
2013-07-26,61
2013-07-27,32
2013-07-28,22
2013-07-29,55
2013-07-30,45
2013-07-31,38
2013-08-01,47
2013-08-02,46
2013-08-03,31
2013-08-04,56
2013-08-05,71
2013-08-06,66
2013-08-07,46
2013-08-08,44
2013-08-09,33
2013-08-10,31
2013-08-11,31
2013-08-12,35
2013-08-13,28
2013-08-14,54
2013-08-15,40
2013-08-16,43
2013-08-17,37
2013-08-18,33
2013-08-19,45
2013-08-20,43
2013-08-21,40
2013-08-22,46
2013-08-23,45
2013-08-24,24
2013-08-25,42
2013-08-26,32
2013-08-27,36
2013-08-28,42
2013-08-29,55
2013-08-30,44
2013-08-31,21
2013-09-01,35
2013-09-02,32
2013-09-03,53
2013-09-04,36
2013-09-05,56
2013-09-06,38
2013-09-07,35
2013-09-08,34
2013-09-09,51
2013-09-10,54
2013-09-11,57
2013-09-12,36
2013-09-13,27
2013-09-14,37
2013-09-15,28
2013-09-16,48
2013-09-17,68
2013-09-18,53
2013-09-19,53
2013-09-20,56
2013-09-21,45
2013-09-22,25
2013-09-23,58
2013-09-24,68
2013-09-25,46
2013-09-26,49
2013-09-27,53
2013-09-28,49
2013-09-29,68
2013-09-30,47
2013-10-01,61
2013-10-02,43
2013-10-03,78
2013-10-04,42
2013-10-05,36
2013-10-06,30
2013-10-07,61
2013-10-08,52
2013-10-09,62
2013-10-10,44
2013-10-11,45
2013-10-12,26
2013-10-13,45
2013-10-14,53
2013-10-15,45
2013-10-16,70
2013-10-17,54
2013-10-18,40
2013-10-19,54
2013-10-20,39
2013-10-21,51
2013-10-22,60
2013-10-23,47
2013-10-24,61
2013-10-25,44
2013-10-26,45
2013-10-27,49
2013-10-28,60
2013-10-29,51
2013-10-30,65
2013-10-31,85
2013-11-01,36
2013-11-02,43
2013-11-03,22
2013-11-04,59
2013-11-05,74
2013-11-06,55
2013-11-07,80
2013-11-08,71
2013-11-09,67
2013-11-10,46
2013-11-11,37
2013-11-12,64
2013-11-13,68
2013-11-14,78
2013-11-15,57
2013-11-16,58
2013-11-17,40
2013-11-18,69
2013-11-19,89
2013-11-20,76
2013-11-21,70
2013-11-22,45
2013-11-23,57
2013-11-24,35
2013-11-25,66
2013-11-26,76
2013-11-27,67
2013-11-28,29
2013-11-29,35
2013-11-30,30
2013-12-01,31
2013-12-02,60
2013-12-03,77
2013-12-04,43
2013-12-05,99
2013-12-06,76
2013-12-07,52
2013-12-08,43
2013-12-09,80
2013-12-10,53
2013-12-11,64
2013-12-12,68
2013-12-13,79
2013-12-14,39
2013-12-15,49
2013-12-16,56
2013-12-17,26
2013-12-18,40
2013-12-19,56
2013-12-20,38
2013-12-21,34
2013-12-22,38
2013-12-23,48
2013-12-24,49
2013-12-25,34
2013-12-26,40
2013-12-27,51
2013-12-28,45
2013-12-29,53
2013-12-30,66
2013-12-31,65
2014-01-01,30
2014-01-02,40
2014-01-03,46
2014-01-04,32
2014-01-05,37
2014-01-06,55
2014-01-07,61
2014-01-08,47
2014-01-09,59
2014-01-10,47
2014-01-11,42
2014-01-12,36
2014-01-13,51
2014-01-14,60
2014-01-15,69
2014-01-16,56
2014-01-17,70
2014-01-18,53
2014-01-19,52
2014-01-20,44
2014-01-21,44
2014-01-22,53
2014-01-23,57
2014-01-24,60
2014-01-25,41
2014-01-26,70
2014-01-27,69
2014-01-28,44
2014-01-29,40
2014-01-30,61
2014-01-31,70
2014-02-01,67
2014-02-02,53
2014-02-03,85
2014-02-04,48
2014-02-05,77
2014-02-06,81
2014-02-07,77
2014-02-08,41
2014-02-09,68
2014-02-10,65
2014-02-11,63
2014-02-12,55
2014-02-13,63
2014-02-14,48
2014-02-15,44
2014-02-16,90
2014-02-17,86
2014-02-18,100
2014-02-19,51
2014-02-20,70
2014-02-21,72
2014-02-22,41
2014-02-23,74
2014-02-24,95
2014-02-25,75
2014-02-26,61
2014-02-27,62
2014-02-28,81
2014-03-01,54
2014-03-02,61
2014-03-03,55
2014-03-04,67
2014-03-05,65
2014-03-06,88
2014-03-07,53
2014-03-08,47
2014-03-09,50
2014-03-10,56
2014-03-11,63
2014-03-12,81
2014-03-13,67
2014-03-14,58
2014-03-15,62
2014-03-16,23
