date,COST stock
2012-01-26,27
2012-01-27,38
2012-01-28,26
2012-01-29,27
2012-01-30,41
2012-01-31,43
2012-02-01,43
2012-02-02,100
2012-02-03,54
2012-02-04,46
2012-02-05,29
2012-02-06,24
2012-02-07,31
2012-02-08,45
2012-02-09,28
2012-02-10,20
2012-02-11,33
2012-02-12,38
2012-02-13,39
2012-02-14,24
2012-02-15,37
2012-02-16,25
2012-02-17,24
2012-02-18,33
2012-02-19,44
2012-02-20,25
2012-02-21,21
2012-02-22,38
2012-02-23,30
2012-02-24,32
2012-02-25,27
2012-02-26,31
2012-02-27,24
2012-02-28,30
2012-02-29,31
2012-03-01,40
2012-03-02,38
2012-03-03,33
2012-03-04,36
2012-03-05,34
2012-03-06,39
2012-03-07,40
2012-03-08,35
2012-03-09,43
2012-03-10,23
2012-03-11,35
2012-03-12,37
2012-03-13,38
2012-03-14,34
2012-03-15,45
2012-03-16,35
2012-03-17,32
2012-03-18,33
2012-03-19,34
2012-03-20,34
2012-03-21,33
2012-03-22,25
2012-03-23,28
2012-03-24,23
2012-03-25,38
2012-03-26,28
2012-03-27,38
2012-03-28,38
2012-03-29,33
2012-03-30,37
2012-03-31,29
2012-04-01,21
2012-04-02,33
2012-04-03,33
2012-04-04,57
2012-04-05,39
2012-04-06,36
2012-04-07,35
2012-04-08,36
2012-04-09,33
2012-04-10,43
2012-04-11,33
2012-04-12,41
2012-04-13,27
2012-04-14,31
2012-04-15,39
2012-04-16,53
2012-04-17,42
2012-04-18,24
2012-04-19,34
2012-04-20,28
2012-04-21,23
2012-04-22,20
2012-04-23,27
2012-04-24,35
2012-04-25,25
2012-04-26,24
2012-04-27,18
2012-04-28,23
2012-04-29,36
2012-04-30,37
2012-05-01,34
2012-05-02,37
2012-05-03,24
2012-05-04,29
2012-05-05,33
2012-05-06,22
2012-05-07,40
2012-05-08,35
2012-05-09,41
2012-05-10,35
2012-05-11,5
2012-05-12,23
2012-05-13,27
2012-05-14,44
2012-05-15,28
2012-05-16,36
2012-05-17,33
2012-05-18,64
2012-05-19,30
2012-05-20,19
2012-05-21,37
2012-05-22,34
2012-05-23,31
2012-05-24,33
2012-05-25,20
2012-05-26,24
2012-05-27,20
2012-05-28,14
2012-05-29,20
2012-05-30,27
2012-05-31,17
2012-06-01,12
2012-06-02,21
2012-06-03,12
2012-06-04,23
2012-06-05,35
2012-06-06,15
2012-06-07,26
2012-06-08,25
2012-06-09,21
2012-06-10,23
2012-06-11,31
2012-06-12,33
2012-06-13,25
2012-06-14,19
2012-06-15,25
2012-06-16,27
2012-06-17,17
2012-06-18,38
2012-06-19,27
2012-06-20,22
2012-06-21,30
2012-06-22,9
2012-06-23,30
2012-06-24,23
2012-06-25,20
2012-06-26,28
2012-06-27,22
2012-06-28,28
2012-06-29,25
2012-06-30,13
2012-07-01,25
2012-07-02,29
2012-07-03,24
2012-07-04,19
2012-07-05,18
2012-07-06,25
2012-07-07,26
2012-07-08,4
2012-07-09,23
2012-07-10,20
2012-07-11,17
2012-07-12,28
2012-07-13,27
2012-07-14,23
2012-07-15,27
2012-07-16,27
2012-07-17,39
2012-07-18,24
2012-07-19,23
2012-07-20,18
2012-07-21,24
2012-07-22,17
2012-07-23,38
2012-07-24,31
2012-07-25,16
2012-07-26,21
2012-07-27,22
2012-07-28,15
2012-07-29,17
2012-07-30,17
2012-07-31,24
2012-08-01,19
2012-08-02,21
2012-08-03,16
2012-08-04,17
2012-08-05,19
2012-08-06,21
2012-08-07,24
2012-08-08,21
2012-08-09,31
2012-08-10,20
2012-08-11,23
2012-08-12,17
2012-08-13,27
2012-08-14,12
2012-08-15,18
2012-08-16,30
2012-08-17,20
2012-08-18,19
2012-08-19,9
2012-08-20,28
2012-08-21,31
2012-08-22,27
2012-08-23,26
2012-08-24,34
2012-08-25,23
2012-08-26,16
2012-08-27,33
2012-08-28,17
2012-08-29,18
2012-08-30,26
2012-08-31,30
2012-09-01,18
2012-09-02,14
2012-09-03,19
2012-09-04,28
2012-09-05,25
2012-09-06,22
2012-09-07,32
2012-09-08,12
2012-09-09,18
2012-09-10,18
2012-09-11,26
2012-09-12,33
2012-09-13,44
2012-09-14,33
2012-09-15,24
2012-09-16,18
2012-09-17,34
2012-09-18,35
2012-09-19,20
2012-09-20,18
2012-09-21,24
2012-09-22,14
2012-09-23,15
2012-09-24,26
2012-09-25,22
2012-09-26,23
2012-09-27,33
2012-09-28,22
2012-09-29,16
2012-09-30,21
2012-10-01,36
2012-10-02,26
2012-10-03,28
2012-10-04,32
2012-10-05,32
2012-10-06,25
2012-10-07,15
2012-10-08,22
2012-10-09,34
2012-10-10,36
2012-10-11,16
2012-10-12,13
