date,COST stock
2010-08-24,33
2010-08-25,43
2010-08-26,29
2010-08-27,20
2010-08-28,6
2010-08-29,18
2010-08-30,18
2010-08-31,14
2010-09-01,33
2010-09-02,33
2010-09-03,25
2010-09-04,43
2010-09-05,30
2010-09-06,44
2010-09-07,18
2010-09-08,51
2010-09-09,42
2010-09-10,30
2010-09-11,30
2010-09-12,40
2010-09-13,32
2010-09-14,54
2010-09-15,32
2010-09-16,46
2010-09-17,44
2010-09-18,24
2010-09-19,40
2010-09-20,18
2010-09-21,27
2010-09-22,36
2010-09-23,36
2010-09-24,29
2010-09-25,40
2010-09-26,49
2010-09-27,31
2010-09-28,57
2010-09-29,27
2010-09-30,40
2010-10-01,43
2010-10-02,40
2010-10-03,34
2010-10-04,31
2010-10-05,49
2010-10-06,44
2010-10-07,52
2010-10-08,29
2010-10-09,17
2010-10-10,40
2010-10-11,50
2010-10-12,41
2010-10-13,62
2010-10-14,45
2010-10-15,28
2010-10-16,33
2010-10-17,27
2010-10-18,52
2010-10-19,52
2010-10-20,39
2010-10-21,53
2010-10-22,46
2010-10-23,11
2010-10-24,27
2010-10-25,43
2010-10-26,82
2010-10-27,43
2010-10-28,35
2010-10-29,23
2010-10-30,62
2010-10-31,45
2010-11-01,18
2010-11-02,64
2010-11-03,63
2010-11-04,89
2010-11-05,41
2010-11-06,22
2010-11-07,11
2010-11-08,29
2010-11-09,47
2010-11-10,34
2010-11-11,44
2010-11-12,41
2010-11-13,38
2010-11-14,53
2010-11-15,61
2010-11-16,43
2010-11-17,42
2010-11-18,51
2010-11-19,64
2010-11-20,38
2010-11-21,69
2010-11-22,54
2010-11-23,56
2010-11-24,47
2010-11-25,18
2010-11-26,33
2010-11-27,44
2010-11-28,37
2010-11-29,45
2010-11-30,46
2010-12-01,75
2010-12-02,51
2010-12-03,45
2010-12-04,32
2010-12-05,10
2010-12-06,34
2010-12-07,34
2010-12-08,78
2010-12-09,43
2010-12-10,68
2010-12-11,60
2010-12-12,53
2010-12-13,42
2010-12-14,46
2010-12-15,78
2010-12-16,44
2010-12-17,51
2010-12-18,11
2010-12-19,16
2010-12-20,44
2010-12-21,49
2010-12-22,32
2010-12-23,48
2010-12-24,29
2010-12-25,13
2010-12-26,24
2010-12-27,24
2010-12-28,42
2010-12-29,51
2010-12-30,48
2010-12-31,57
2011-01-01,25
2011-01-02,16
2011-01-03,44
2011-01-04,33
2011-01-05,46
2011-01-06,47
2011-01-07,48
2011-01-08,21
2011-01-09,40
2011-01-10,70
2011-01-11,72
2011-01-12,53
2011-01-13,49
2011-01-14,34
2011-01-15,40
2011-01-16,49
2011-01-17,56
2011-01-18,48
2011-01-19,44
2011-01-20,72
2011-01-21,45
2011-01-22,44
2011-01-23,44
2011-01-24,51
2011-01-25,39
2011-01-26,64
2011-01-27,56
2011-01-28,55
2011-01-29,39
2011-01-30,56
2011-01-31,67
2011-02-01,45
2011-02-02,38
2011-02-03,47
2011-02-04,45
2011-02-05,72
2011-02-06,28
2011-02-07,57
2011-02-08,66
2011-02-09,74
2011-02-10,52
2011-02-11,63
2011-02-12,59
2011-02-13,48
2011-02-14,63
2011-02-15,42
2011-02-16,46
2011-02-17,67
2011-02-18,50
2011-02-19,29
2011-02-20,62
2011-02-21,62
2011-02-22,54
2011-02-23,63
2011-02-24,59
2011-02-25,69
2011-02-26,43
2011-02-27,47
2011-02-28,80
2011-03-01,84
2011-03-02,43
2011-03-03,63
2011-03-04,70
2011-03-05,64
2011-03-06,53
2011-03-07,39
2011-03-08,68
2011-03-09,42
2011-03-10,78
2011-03-11,63
2011-03-12,15
2011-03-13,63
2011-03-14,73
2011-03-15,50
2011-03-16,57
2011-03-17,51
2011-03-18,29
2011-03-19,48
2011-03-20,38
2011-03-21,81
2011-03-22,73
2011-03-23,42
2011-03-24,51
2011-03-25,58
2011-03-26,53
2011-03-27,38
2011-03-28,53
2011-03-29,61
2011-03-30,70
2011-03-31,66
2011-04-01,56
2011-04-02,50
2011-04-03,82
2011-04-04,49
2011-04-05,73
2011-04-06,43
2011-04-07,43
2011-04-08,37
2011-04-09,54
2011-04-10,39
2011-04-11,65
2011-04-12,80
2011-04-13,77
2011-04-14,51
2011-04-15,82
2011-04-16,54
2011-04-17,25
2011-04-18,77
2011-04-19,56
2011-04-20,65
2011-04-21,82
2011-04-22,57
2011-04-23,21
2011-04-24,16
2011-04-25,51
2011-04-26,73
2011-04-27,100
2011-04-28,46
2011-04-29,49
2011-04-30,25
2011-05-01,15
2011-05-02,31
2011-05-03,49
2011-05-04,39
2011-05-05,43
2011-05-06,33
2011-05-07,35
2011-05-08,29
2011-05-09,49
2011-05-10,38
2011-05-11,57
