date,FISV stock
2018-02-13,19
2018-02-14,0
2018-02-15,20
2018-02-16,0
2018-02-17,22
2018-02-18,0
2018-02-19,0
2018-02-20,38
2018-02-21,19
2018-02-22,38
2018-02-23,100
2018-02-24,0
2018-02-25,0
2018-02-26,0
2018-02-27,19
2018-02-28,57
2018-03-01,19
2018-03-02,40
2018-03-03,0
2018-03-04,0
2018-03-05,19
2018-03-06,57
2018-03-07,38
2018-03-08,19
2018-03-09,20
2018-03-10,0
2018-03-11,0
2018-03-12,19
2018-03-13,38
2018-03-14,0
2018-03-15,39
2018-03-16,0
2018-03-17,0
2018-03-18,0
2018-03-19,19
2018-03-20,76
2018-03-21,38
2018-03-22,19
2018-03-23,40
2018-03-24,0
2018-03-25,0
2018-03-26,0
2018-03-27,39
2018-03-28,0
2018-03-29,0
2018-03-30,0
2018-03-31,45
2018-04-01,0
2018-04-02,20
2018-04-03,38
2018-04-04,19
2018-04-05,0
2018-04-06,0
2018-04-07,0
2018-04-08,0
2018-04-09,19
