date,FISV stock
2017-01-19,0
2017-01-20,26
2017-01-21,0
2017-01-22,0
2017-01-23,0
2017-01-24,0
2017-01-25,25
2017-01-26,26
2017-01-27,27
2017-01-28,30
2017-01-29,0
2017-01-30,0
2017-01-31,26
2017-02-01,49
2017-02-02,0
2017-02-03,0
2017-02-04,29
2017-02-05,0
2017-02-06,50
2017-02-07,0
2017-02-08,26
2017-02-09,52
2017-02-10,0
2017-02-11,0
2017-02-12,29
2017-02-13,0
2017-02-14,25
2017-02-15,26
2017-02-16,25
2017-02-17,0
2017-02-18,0
2017-02-19,0
2017-02-20,0
2017-02-21,0
2017-02-22,50
2017-02-23,25
2017-02-24,26
2017-02-25,0
2017-02-26,0
2017-02-27,0
2017-02-28,50
2017-03-01,0
2017-03-02,48
2017-03-03,26
2017-03-04,28
2017-03-05,0
2017-03-06,48
2017-03-07,0
2017-03-08,50
2017-03-09,0
2017-03-10,0
2017-03-11,0
2017-03-12,0
2017-03-13,0
2017-03-14,25
2017-03-15,0
2017-03-16,25
2017-03-17,0
2017-03-18,0
2017-03-19,0
2017-03-20,0
2017-03-21,25
2017-03-22,0
2017-03-23,25
2017-03-24,26
2017-03-25,0
2017-03-26,0
2017-03-27,25
2017-03-28,25
2017-03-29,0
2017-03-30,0
2017-03-31,26
2017-04-01,0
2017-04-02,0
2017-04-03,50
2017-04-04,50
2017-04-05,0
2017-04-06,0
2017-04-07,26
2017-04-08,0
2017-04-09,0
2017-04-10,25
2017-04-11,25
2017-04-12,52
2017-04-13,0
2017-04-14,0
2017-04-15,0
2017-04-16,0
2017-04-17,0
2017-04-18,0
2017-04-19,25
2017-04-20,51
2017-04-21,0
2017-04-22,29
2017-04-23,0
2017-04-24,50
2017-04-25,0
2017-04-26,50
2017-04-27,75
2017-04-28,0
2017-04-29,0
2017-04-30,30
2017-05-01,27
2017-05-02,0
2017-05-03,50
2017-05-04,0
2017-05-05,0
2017-05-06,30
2017-05-07,0
2017-05-08,25
2017-05-09,0
2017-05-10,0
2017-05-11,0
2017-05-12,27
2017-05-13,0
2017-05-14,0
2017-05-15,0
2017-05-16,27
2017-05-17,0
2017-05-18,0
2017-05-19,56
2017-05-20,0
2017-05-21,0
2017-05-22,0
2017-05-23,26
2017-05-24,27
2017-05-25,0
2017-05-26,0
2017-05-27,0
2017-05-28,0
2017-05-29,0
2017-05-30,27
2017-05-31,0
2017-06-01,54
2017-06-02,29
2017-06-03,0
2017-06-04,0
2017-06-05,27
2017-06-06,0
2017-06-07,26
2017-06-08,0
2017-06-09,0
2017-06-10,0
2017-06-11,0
2017-06-12,0
2017-06-13,0
2017-06-14,80
2017-06-15,0
2017-06-16,0
2017-06-17,0
2017-06-18,0
2017-06-19,27
2017-06-20,0
2017-06-21,0
2017-06-22,26
2017-06-23,27
2017-06-24,0
2017-06-25,0
2017-06-26,82
2017-06-27,0
2017-06-28,28
2017-06-29,28
2017-06-30,29
2017-07-01,64
2017-07-02,0
2017-07-03,0
2017-07-04,28
2017-07-05,56
2017-07-06,0
2017-07-07,0
2017-07-08,0
2017-07-09,0
2017-07-10,27
2017-07-11,27
2017-07-12,0
2017-07-13,0
2017-07-14,28
2017-07-15,0
2017-07-16,0
2017-07-17,0
2017-07-18,27
2017-07-19,0
2017-07-20,27
2017-07-21,28
2017-07-22,0
2017-07-23,0
2017-07-24,53
2017-07-25,0
2017-07-26,53
2017-07-27,0
2017-07-28,0
2017-07-29,0
2017-07-30,31
2017-07-31,0
2017-08-01,52
2017-08-02,100
2017-08-03,27
2017-08-04,0
2017-08-05,0
2017-08-06,0
2017-08-07,26
2017-08-08,0
2017-08-09,0
2017-08-10,0
2017-08-11,0
2017-08-12,31
2017-08-13,0
2017-08-14,0
2017-08-15,0
2017-08-16,26
2017-08-17,26
2017-08-18,27
2017-08-19,0
2017-08-20,0
2017-08-21,26
2017-08-22,0
2017-08-23,0
2017-08-24,27
2017-08-25,0
2017-08-26,0
2017-08-27,0
2017-08-28,0
2017-08-29,0
2017-08-30,0
2017-08-31,26
2017-09-01,0
2017-09-02,0
2017-09-03,0
2017-09-04,0
2017-09-05,25
2017-09-06,26
2017-09-07,26
2017-09-08,27
2017-09-09,0
2017-09-10,0
2017-09-11,0
2017-09-12,0
2017-09-13,0
2017-09-14,0
2017-09-15,27
2017-09-16,0
2017-09-17,0
2017-09-18,0
2017-09-19,25
2017-09-20,51
2017-09-21,0
2017-09-22,0
2017-09-23,0
2017-09-24,0
2017-09-25,0
2017-09-26,0
2017-09-27,25
2017-09-28,26
2017-09-29,0
2017-09-30,0
2017-10-01,0
2017-10-02,0
2017-10-03,26
2017-10-04,0
2017-10-05,52
2017-10-06,26
