date,Symantec,isPartial
2010-08-24,87,False
2010-08-25,89,False
2010-08-26,79,False
2010-08-27,74,False
2010-08-28,60,False
2010-08-29,53,False
2010-08-30,84,False
2010-08-31,73,False
2010-09-01,80,False
2010-09-02,77,False
2010-09-03,80,False
2010-09-04,55,False
2010-09-05,49,False
2010-09-06,64,False
2010-09-07,88,False
2010-09-08,89,False
2010-09-09,100,False
2010-09-10,94,False
2010-09-11,52,False
2010-09-12,47,False
2010-09-13,81,False
2010-09-14,91,False
2010-09-15,79,False
2010-09-16,86,False
2010-09-17,80,False
2010-09-18,49,False
2010-09-19,43,False
2010-09-20,77,False
2010-09-21,87,False
2010-09-22,75,False
2010-09-23,79,False
2010-09-24,79,False
2010-09-25,55,False
2010-09-26,54,False
2010-09-27,96,False
2010-09-28,82,False
2010-09-29,85,False
2010-09-30,73,False
2010-10-01,76,False
2010-10-02,54,False
2010-10-03,48,False
2010-10-04,91,False
2010-10-05,75,False
2010-10-06,80,False
2010-10-07,90,False
2010-10-08,75,False
2010-10-09,54,False
2010-10-10,39,False
2010-10-11,75,False
2010-10-12,83,False
2010-10-13,77,False
2010-10-14,82,False
2010-10-15,81,False
2010-10-16,41,False
2010-10-17,43,False
2010-10-18,76,False
2010-10-19,94,False
2010-10-20,87,False
2010-10-21,86,False
2010-10-22,76,False
2010-10-23,50,False
2010-10-24,41,False
2010-10-25,77,False
2010-10-26,80,False
2010-10-27,83,False
2010-10-28,76,False
2010-10-29,79,False
2010-10-30,60,False
2010-10-31,40,False
2010-11-01,78,False
2010-11-02,83,False
2010-11-03,81,False
2010-11-04,80,False
2010-11-05,81,False
2010-11-06,44,False
2010-11-07,42,False
2010-11-08,75,False
2010-11-09,88,False
2010-11-10,79,False
2010-11-11,73,False
2010-11-12,78,False
2010-11-13,46,False
2010-11-14,44,False
2010-11-15,77,False
2010-11-16,77,False
2010-11-17,75,False
2010-11-18,82,False
2010-11-19,80,False
2010-11-20,49,False
2010-11-21,38,False
2010-11-22,70,False
2010-11-23,76,False
2010-11-24,73,False
2010-11-25,68,False
2010-11-26,59,False
2010-11-27,43,False
2010-11-28,48,False
2010-11-29,70,False
2010-11-30,73,False
2010-12-01,71,False
2010-12-02,75,False
2010-12-03,73,False
2010-12-04,43,False
2010-12-05,47,False
2010-12-06,75,False
2010-12-07,82,False
2010-12-08,73,False
2010-12-09,80,False
2010-12-10,73,False
2010-12-11,52,False
2010-12-12,45,False
2010-12-13,71,False
2010-12-14,79,False
2010-12-15,67,False
2010-12-16,76,False
2010-12-17,62,False
2010-12-18,39,False
2010-12-19,39,False
2010-12-20,72,False
2010-12-21,76,False
2010-12-22,69,False
2010-12-23,60,False
2010-12-24,57,False
2010-12-25,45,False
2010-12-26,42,False
2010-12-27,60,False
2010-12-28,72,False
2010-12-29,69,False
2010-12-30,65,False
2010-12-31,44,False
2011-01-01,45,False
2011-01-02,36,False
2011-01-03,61,False
2011-01-04,71,False
2011-01-05,69,False
2011-01-06,74,False
2011-01-07,63,False
2011-01-08,43,False
2011-01-09,46,False
2011-01-10,69,False
2011-01-11,70,False
2011-01-12,71,False
2011-01-13,67,False
2011-01-14,76,False
2011-01-15,44,False
2011-01-16,37,False
2011-01-17,63,False
2011-01-18,78,False
2011-01-19,76,False
2011-01-20,67,False
2011-01-21,69,False
2011-01-22,44,False
2011-01-23,45,False
2011-01-24,73,False
2011-01-25,74,False
2011-01-26,67,False
2011-01-27,73,False
2011-01-28,72,False
2011-01-29,46,False
2011-01-30,42,False
2011-01-31,66,False
2011-02-01,68,False
2011-02-02,69,False
2011-02-03,67,False
2011-02-04,64,False
