date,Symantec,isPartial
2014-12-01,71,False
2014-12-02,76,False
2014-12-03,78,False
2014-12-04,75,False
2014-12-05,65,False
2014-12-06,29,False
2014-12-07,28,False
2014-12-08,66,False
2014-12-09,67,False
2014-12-10,72,False
2014-12-11,73,False
2014-12-12,68,False
2014-12-13,29,False
2014-12-14,30,False
2014-12-15,72,False
2014-12-16,71,False
2014-12-17,74,False
2014-12-18,70,False
2014-12-19,65,False
2014-12-20,27,False
2014-12-21,27,False
2014-12-22,59,False
2014-12-23,59,False
2014-12-24,50,False
2014-12-25,34,False
2014-12-26,38,False
2014-12-27,26,False
2014-12-28,26,False
2014-12-29,51,False
2014-12-30,55,False
2014-12-31,45,False
2015-01-01,28,False
2015-01-02,44,False
2015-01-03,25,False
2015-01-04,27,False
2015-01-05,68,False
2015-01-06,64,False
2015-01-07,67,False
2015-01-08,69,False
2015-01-09,61,False
2015-01-10,29,False
2015-01-11,25,False
2015-01-12,67,False
2015-01-13,83,False
2015-01-14,78,False
2015-01-15,71,False
2015-01-16,67,False
2015-01-17,32,False
2015-01-18,30,False
2015-01-19,64,False
2015-01-20,75,False
2015-01-21,77,False
2015-01-22,74,False
2015-01-23,76,False
2015-01-24,31,False
2015-01-25,31,False
2015-01-26,72,False
2015-01-27,83,False
2015-01-28,85,False
2015-01-29,73,False
2015-01-30,71,False
2015-01-31,33,False
2015-02-01,28,False
2015-02-02,73,False
2015-02-03,82,False
2015-02-04,87,False
2015-02-05,100,False
2015-02-06,92,False
2015-02-07,43,False
2015-02-08,41,False
2015-02-09,81,False
2015-02-10,84,False
2015-02-11,82,False
2015-02-12,77,False
2015-02-13,71,False
2015-02-14,36,False
2015-02-15,29,False
2015-02-16,76,False
2015-02-17,82,False
2015-02-18,77,False
2015-02-19,70,False
2015-02-20,70,False
2015-02-21,48,False
2015-02-22,37,False
2015-02-23,77,False
2015-02-24,75,False
2015-02-25,73,False
2015-02-26,77,False
2015-02-27,66,False
2015-02-28,29,False
2015-03-01,32,False
2015-03-02,70,False
2015-03-03,75,False
2015-03-04,80,False
2015-03-05,70,False
2015-03-06,68,False
2015-03-07,31,False
2015-03-08,29,False
2015-03-09,74,False
2015-03-10,75,False
2015-03-11,69,False
2015-03-12,77,False
2015-03-13,70,False
2015-03-14,30,False
2015-03-15,30,False
2015-03-16,69,False
2015-03-17,81,False
2015-03-18,69,False
2015-03-19,70,False
2015-03-20,60,False
2015-03-21,26,False
2015-03-22,28,False
2015-03-23,69,False
2015-03-24,72,False
2015-03-25,77,False
2015-03-26,68,False
2015-03-27,62,False
2015-03-28,29,False
2015-03-29,30,False
2015-03-30,65,False
2015-03-31,72,False
2015-04-01,74,False
2015-04-02,68,False
2015-04-03,55,False
2015-04-04,27,False
2015-04-05,22,False
2015-04-06,53,False
2015-04-07,68,False
2015-04-08,67,False
2015-04-09,77,False
2015-04-10,68,False
2015-04-11,33,False
2015-04-12,26,False
2015-04-13,74,False
2015-04-14,74,False
2015-04-15,71,False
2015-04-16,70,False
2015-04-17,67,False
2015-04-18,26,False
2015-04-19,26,False
2015-04-20,71,False
2015-04-21,67,False
2015-04-22,69,False
2015-04-23,68,False
2015-04-24,62,False
2015-04-25,27,False
2015-04-26,24,False
2015-04-27,68,False
2015-04-28,71,False
2015-04-29,72,False
2015-04-30,63,False
2015-05-01,44,False
2015-05-02,24,False
2015-05-03,21,False
2015-05-04,50,False
2015-05-05,64,False
2015-05-06,69,False
2015-05-07,69,False
2015-05-08,59,False
2015-05-09,23,False
2015-05-10,25,False
2015-05-11,69,False
2015-05-12,67,False
2015-05-13,68,False
2015-05-14,64,False
2015-05-15,58,False
2015-05-16,27,False
2015-05-17,23,False
2015-05-18,63,False
2015-05-19,65,False
2015-05-20,70,False
2015-05-21,65,False
2015-05-22,60,False
2015-05-23,24,False
2015-05-24,25,False
2015-05-25,48,False
2015-05-26,69,False
2015-05-27,67,False
2015-05-28,67,False
2015-05-29,56,False
2015-05-30,21,False
2015-05-31,22,False
2015-06-01,58,False
2015-06-02,67,False
2015-06-03,64,False
2015-06-04,67,False
2015-06-05,62,False
2015-06-06,26,False
2015-06-07,22,False
2015-06-08,71,False
2015-06-09,71,False
2015-06-10,74,False
2015-06-11,71,False
2015-06-12,62,False
2015-06-13,22,False
2015-06-14,23,False
2015-06-15,62,False
2015-06-16,66,False
2015-06-17,68,False
2015-06-18,61,False
2015-06-19,63,False
2015-06-20,25,False
2015-06-21,29,False
2015-06-22,66,False
2015-06-23,63,False
2015-06-24,69,False
2015-06-25,66,False
2015-06-26,58,False
2015-06-27,23,False
2015-06-28,21,False
2015-06-29,64,False
2015-06-30,67,False
2015-07-01,62,False
2015-07-02,57,False
2015-07-03,52,False
2015-07-04,19,False
2015-07-05,20,False
2015-07-06,65,False
2015-07-07,73,False
2015-07-08,70,False
2015-07-09,64,False
2015-07-10,63,False
2015-07-11,27,False
2015-07-12,25,False
2015-07-13,64,False
2015-07-14,70,False
2015-07-15,61,False
2015-07-16,63,False
2015-07-17,60,False
2015-07-18,26,False
2015-07-19,25,False
2015-07-20,62,False
2015-07-21,63,False
2015-07-22,68,False
2015-07-23,63,False
2015-07-24,60,False
2015-07-25,26,False
2015-07-26,27,False
2015-07-27,65,False
2015-07-28,68,False
2015-07-29,76,False
2015-07-30,73,False
2015-07-31,70,False
2015-08-01,37,False
2015-08-02,32,False
2015-08-03,68,False
2015-08-04,78,False
2015-08-05,74,False
2015-08-06,76,False
2015-08-07,60,False
2015-08-08,28,False
2015-08-09,28,False
2015-08-10,62,False
2015-08-11,94,False
2015-08-12,75,False
2015-08-13,70,False
2015-08-14,58,False
2015-08-15,25,False
2015-08-16,26,False
2015-08-17,66,False
2015-08-18,74,False
