date,DLTR stock
2015-04-10,0
2015-04-11,0
2015-04-12,0
2015-04-13,0
2015-04-14,63
2015-04-15,0
2015-04-16,0
2015-04-17,66
2015-04-18,0
2015-04-19,0
2015-04-20,0
2015-04-21,0
2015-04-22,32
2015-04-23,32
2015-04-24,100
2015-04-25,0
2015-04-26,37
2015-04-27,0
2015-04-28,31
2015-04-29,0
2015-04-30,33
2015-05-01,36
2015-05-02,38
2015-05-03,38
2015-05-04,0
2015-05-05,0
2015-05-06,0
2015-05-07,48
2015-05-08,0
2015-05-09,0
2015-05-10,38
2015-05-11,32
2015-05-12,0
2015-05-13,64
2015-05-14,0
2015-05-15,0
2015-05-16,0
2015-05-17,0
2015-05-18,0
2015-05-19,62
2015-05-20,63
2015-05-21,32
2015-05-22,0
2015-05-23,0
2015-05-24,0
2015-05-25,0
2015-05-26,31
2015-05-27,0
2015-05-28,32
2015-05-29,33
2015-05-30,0
2015-05-31,38
2015-06-01,31
2015-06-02,0
2015-06-03,31
2015-06-04,33
2015-06-05,34
2015-06-06,39
2015-06-07,0
2015-06-08,31
2015-06-09,31
2015-06-10,0
2015-06-11,32
2015-06-12,0
2015-06-13,0
2015-06-14,0
2015-06-15,0
2015-06-16,31
2015-06-17,0
2015-06-18,32
2015-06-19,34
2015-06-20,38
2015-06-21,0
2015-06-22,32
2015-06-23,0
2015-06-24,0
2015-06-25,32
2015-06-26,0
2015-06-27,38
2015-06-28,0
2015-06-29,32
2015-06-30,32
2015-07-01,0
2015-07-02,0
2015-07-03,0
2015-07-04,0
2015-07-05,0
2015-07-06,32
2015-07-07,31
2015-07-08,32
2015-07-09,65
2015-07-10,66
2015-07-11,39
2015-07-12,0
2015-07-13,48
2015-07-14,0
2015-07-15,64
2015-07-16,33
2015-07-17,0
2015-07-18,0
2015-07-19,0
2015-07-20,34
2015-07-21,64
2015-07-22,0
2015-07-23,32
2015-07-24,33
2015-07-25,0
2015-07-26,0
2015-07-27,32
2015-07-28,31
2015-07-29,0
2015-07-30,0
2015-07-31,0
2015-08-01,0
2015-08-02,38
2015-08-03,0
2015-08-04,32
2015-08-05,0
2015-08-06,0
2015-08-07,0
2015-08-08,0
2015-08-09,0
2015-08-10,32
2015-08-11,0
2015-08-12,0
2015-08-13,0
2015-08-14,0
2015-08-15,0
2015-08-16,0
2015-08-17,0
2015-08-18,31
2015-08-19,0
2015-08-20,32
2015-08-21,0
2015-08-22,0
2015-08-23,0
2015-08-24,30
2015-08-25,31
2015-08-26,93
2015-08-27,31
2015-08-28,65
2015-08-29,37
2015-08-30,0
2015-08-31,92
2015-09-01,61
2015-09-02,77
2015-09-03,32
2015-09-04,32
2015-09-05,74
2015-09-06,0
2015-09-07,0
2015-09-08,30
2015-09-09,0
2015-09-10,31
2015-09-11,63
2015-09-12,0
2015-09-13,0
2015-09-14,30
2015-09-15,30
2015-09-16,0
2015-09-17,30
2015-09-18,0
2015-09-19,36
2015-09-20,0
2015-09-21,0
2015-09-22,0
2015-09-23,91
2015-09-24,31
2015-09-25,0
2015-09-26,0
2015-09-27,0
2015-09-28,29
2015-09-29,30
2015-09-30,0
2015-10-01,30
2015-10-02,32
2015-10-03,0
2015-10-04,0
2015-10-05,59
2015-10-06,29
2015-10-07,30
2015-10-08,0
2015-10-09,62
2015-10-10,0
2015-10-11,35
2015-10-12,31
2015-10-13,29
2015-10-14,89
2015-10-15,0
2015-10-16,31
2015-10-17,0
2015-10-18,0
2015-10-19,0
2015-10-20,0
2015-10-21,30
2015-10-22,30
2015-10-23,0
2015-10-24,0
2015-10-25,34
2015-10-26,0
2015-10-27,0
2015-10-28,58
2015-10-29,0
2015-10-30,0
2015-10-31,35
2015-11-01,35
2015-11-02,30
2015-11-03,0
2015-11-04,29
2015-11-05,29
2015-11-06,0
2015-11-07,0
2015-11-08,0
2015-11-09,0
2015-11-10,29
2015-11-11,0
2015-11-12,30
2015-11-13,31
2015-11-14,0
2015-11-15,0
2015-11-16,0
2015-11-17,0
2015-11-18,89
2015-11-19,30
2015-11-20,30
2015-11-21,0
2015-11-22,0
2015-11-23,30
2015-11-24,72
2015-11-25,30
2015-11-26,31
2015-11-27,0
2015-11-28,34
2015-11-29,0
2015-11-30,58
2015-12-01,58
2015-12-02,0
2015-12-03,30
2015-12-04,31
2015-12-05,34
2015-12-06,0
2015-12-07,0
2015-12-08,60
2015-12-09,29
2015-12-10,30
2015-12-11,31
2015-12-12,0
2015-12-13,34
2015-12-14,0
2015-12-15,0
2015-12-16,45
2015-12-17,0
2015-12-18,33
2015-12-19,37
2015-12-20,36
2015-12-21,31
2015-12-22,0
2015-12-23,0
2015-12-24,0
2015-12-25,0
2015-12-26,0
