date,Ctrip,isPartial
2017-10-06,72,False
2017-10-07,41,False
2017-10-08,56,False
2017-10-09,84,False
2017-10-10,84,False
2017-10-11,79,False
2017-10-12,100,False
2017-10-13,68,False
2017-10-14,47,False
2017-10-15,69,False
2017-10-16,63,False
2017-10-17,80,False
2017-10-18,70,False
2017-10-19,95,False
2017-10-20,78,False
2017-10-21,70,False
2017-10-22,51,False
2017-10-23,64,False
2017-10-24,75,False
2017-10-25,76,False
2017-10-26,63,False
2017-10-27,72,False
2017-10-28,63,False
2017-10-29,53,False
2017-10-30,64,False
2017-10-31,76,False
2017-11-01,87,False
2017-11-02,80,False
2017-11-03,68,False
2017-11-04,59,False
2017-11-05,57,False
2017-11-06,79,False
2017-11-07,74,False
2017-11-08,77,False
2017-11-09,74,False
2017-11-10,94,False
2017-11-11,69,False
2017-11-12,60,False
2017-11-13,85,False
2017-11-14,70,False
2017-11-15,85,False
2017-11-16,65,False
2017-11-17,71,False
2017-11-18,68,False
2017-11-19,68,False
2017-11-20,71,False
2017-11-21,95,False
2017-11-22,90,False
2017-11-23,64,False
2017-11-24,72,False
2017-11-25,50,False
2017-11-26,58,False
2017-11-27,85,False
2017-11-28,96,False
2017-11-29,71,False
2017-11-30,69,False
2017-12-01,78,False
2017-12-02,67,False
2017-12-03,61,False
2017-12-04,71,False
2017-12-05,63,False
2017-12-06,66,False
2017-12-07,47,False
2017-12-08,67,False
2017-12-09,47,False
2017-12-10,53,False
2017-12-11,80,False
2017-12-12,63,False
2017-12-13,68,False
2017-12-14,64,False
2017-12-15,60,False
2017-12-16,49,False
2017-12-17,57,False
2017-12-18,59,False
2017-12-19,69,False
2017-12-20,44,False
2017-12-21,54,False
2017-12-22,53,False
2017-12-23,48,False
2017-12-24,53,False
2017-12-25,54,False
2017-12-26,51,False
2017-12-27,65,False
2017-12-28,56,False
2017-12-29,51,False
2017-12-30,23,False
2017-12-31,35,False
2018-01-01,54,False
2018-01-02,67,False
2018-01-03,63,False
2018-01-04,69,False
2018-01-05,66,False
2018-01-06,60,False
2018-01-07,43,False
2018-01-08,75,False
2018-01-09,61,False
2018-01-10,55,False
2018-01-11,50,False
2018-01-12,51,False
2018-01-13,34,False
2018-01-14,39,False
2018-01-15,51,False
2018-01-16,81,False
2018-01-17,65,False
2018-01-18,55,False
2018-01-19,44,False
2018-01-20,48,False
2018-01-21,42,False
2018-01-22,61,False
2018-01-23,48,False
2018-01-24,56,False
2018-01-25,73,False
2018-01-26,62,False
2018-01-27,47,False
2018-01-28,50,False
2018-01-29,57,False
2018-01-30,55,False
2018-01-31,40,False
2018-02-01,52,False
2018-02-02,60,False
2018-02-03,36,False
2018-02-04,34,False
2018-02-05,55,False
2018-02-06,60,False
2018-02-07,57,False
2018-02-08,57,False
2018-02-09,54,False
2018-02-10,45,False
2018-02-11,34,False
2018-02-12,76,False
2018-02-13,60,False
2018-02-14,63,False
2018-02-15,45,False
2018-02-16,35,False
2018-02-17,46,False
2018-02-18,43,False
2018-02-19,45,False
2018-02-20,47,False
2018-02-21,62,False
2018-02-22,51,False
2018-02-23,59,False
2018-02-24,37,False
2018-02-25,48,False
2018-02-26,64,False
2018-02-27,49,False
2018-02-28,63,False
2018-03-01,59,False
2018-03-02,52,False
2018-03-03,47,False
2018-03-04,68,False
2018-03-05,64,False
2018-03-06,66,False
2018-03-07,58,False
2018-03-08,67,False
2018-03-09,71,False
2018-03-10,41,False
2018-03-11,61,False
2018-03-12,62,False
2018-03-13,63,False
2018-03-14,65,False
2018-03-15,61,False
2018-03-16,53,False
2018-03-17,47,False
2018-03-18,52,False
2018-03-19,82,False
2018-03-20,63,False
2018-03-21,63,False
2018-03-22,62,False
2018-03-23,76,False
2018-03-24,43,False
2018-03-25,48,False
2018-03-26,66,False
2018-03-27,67,False
2018-03-28,50,False
2018-03-29,70,False
2018-03-30,60,False
2018-03-31,38,False
2018-04-01,43,False
2018-04-02,56,False
2018-04-03,50,False
2018-04-04,64,False
2018-04-05,54,False
2018-04-06,62,False
2018-04-07,41,False
2018-04-08,36,False
2018-04-09,71,False
2018-04-10,65,False
2018-04-11,56,False
2018-04-12,70,False
2018-04-13,60,False
2018-04-14,39,False
2018-04-15,41,False
2018-04-16,54,False
2018-04-17,67,False
2018-04-18,52,False
2018-04-19,63,False
2018-04-20,67,False
2018-04-21,47,False
2018-04-22,38,False
2018-04-23,53,False
2018-04-24,60,False
2018-04-25,69,False
2018-04-26,50,False
2018-04-27,60,False
2018-04-28,46,False
2018-04-29,52,False
2018-04-30,54,False
2018-05-01,43,False
2018-05-02,63,False
2018-05-03,68,False
2018-05-04,44,False
2018-05-05,57,False
2018-05-06,55,False
2018-05-07,51,False
2018-05-08,49,False
2018-05-09,53,False
2018-05-10,46,False
2018-05-11,53,False
2018-05-12,44,False
2018-05-13,36,False
2018-05-14,32,False
2018-05-15,54,False
2018-05-16,43,False
2018-05-17,57,False
2018-05-18,50,False
2018-05-19,40,False
2018-05-20,39,False
2018-05-21,53,False
2018-05-22,70,False
2018-05-23,39,False
2018-05-24,55,False
2018-05-25,57,False
2018-05-26,54,False
2018-05-27,53,False
2018-05-28,55,False
2018-05-29,54,False
2018-05-30,58,False
2018-05-31,38,False
2018-06-01,64,False
2018-06-02,28,False
2018-06-03,50,False
2018-06-04,62,False
2018-06-05,49,False
2018-06-06,39,False
2018-06-07,60,False
2018-06-08,51,False
2018-06-09,51,False
2018-06-10,39,False
2018-06-11,60,False
2018-06-12,59,False
2018-06-13,53,False
2018-06-14,54,False
2018-06-15,39,False
2018-06-16,42,False
2018-06-17,39,False
2018-06-18,46,False
2018-06-19,49,False
2018-06-20,51,False
2018-06-21,67,False
2018-06-22,39,False
2018-06-23,44,False
