date,DENTSPLY,isPartial
2012-10-12,56,False
2012-10-13,32,False
2012-10-14,26,False
2012-10-15,80,False
2012-10-16,81,False
2012-10-17,65,False
2012-10-18,91,False
2012-10-19,67,False
2012-10-20,45,False
2012-10-21,39,False
2012-10-22,52,False
2012-10-23,93,False
2012-10-24,94,False
2012-10-25,61,False
2012-10-26,49,False
2012-10-27,21,False
2012-10-28,33,False
2012-10-29,72,False
2012-10-30,64,False
2012-10-31,73,False
2012-11-01,60,False
2012-11-02,54,False
2012-11-03,34,False
2012-11-04,21,False
2012-11-05,62,False
2012-11-06,81,False
2012-11-07,66,False
2012-11-08,63,False
2012-11-09,81,False
2012-11-10,31,False
2012-11-11,23,False
2012-11-12,82,False
2012-11-13,92,False
2012-11-14,69,False
2012-11-15,82,False
2012-11-16,46,False
2012-11-17,23,False
2012-11-18,33,False
2012-11-19,55,False
2012-11-20,64,False
2012-11-21,69,False
2012-11-22,72,False
2012-11-23,69,False
2012-11-24,23,False
2012-11-25,20,False
2012-11-26,90,False
2012-11-27,76,False
2012-11-28,59,False
2012-11-29,87,False
2012-11-30,47,False
2012-12-01,15,False
2012-12-02,40,False
2012-12-03,50,False
2012-12-04,73,False
2012-12-05,70,False
2012-12-06,84,False
2012-12-07,60,False
2012-12-08,36,False
2012-12-09,22,False
2012-12-10,73,False
2012-12-11,55,False
2012-12-12,57,False
2012-12-13,51,False
2012-12-14,62,False
2012-12-15,20,False
2012-12-16,17,False
2012-12-17,78,False
2012-12-18,79,False
2012-12-19,48,False
2012-12-20,51,False
2012-12-21,46,False
2012-12-22,11,False
2012-12-23,16,False
2012-12-24,16,False
2012-12-25,17,False
2012-12-26,17,False
2012-12-27,37,False
2012-12-28,21,False
2012-12-29,39,False
2012-12-30,18,False
2012-12-31,31,False
2013-01-01,19,False
2013-01-02,50,False
2013-01-03,74,False
2013-01-04,61,False
2013-01-05,24,False
2013-01-06,27,False
2013-01-07,66,False
2013-01-08,85,False
2013-01-09,73,False
2013-01-10,74,False
2013-01-11,70,False
2013-01-12,24,False
2013-01-13,19,False
2013-01-14,68,False
2013-01-15,62,False
2013-01-16,84,False
