date,DENTSPLY,isPartial
2016-05-04,67,False
2016-05-05,66,False
2016-05-06,57,False
2016-05-07,36,False
2016-05-08,14,False
2016-05-09,92,False
2016-05-10,70,False
2016-05-11,68,False
2016-05-12,70,False
2016-05-13,66,False
2016-05-14,19,False
2016-05-15,21,False
2016-05-16,55,False
2016-05-17,74,False
2016-05-18,79,False
2016-05-19,87,False
2016-05-20,67,False
2016-05-21,28,False
2016-05-22,25,False
2016-05-23,76,False
2016-05-24,87,False
2016-05-25,60,False
2016-05-26,64,False
2016-05-27,63,False
2016-05-28,22,False
2016-05-29,22,False
2016-05-30,69,False
2016-05-31,72,False
2016-06-01,88,False
2016-06-02,76,False
2016-06-03,67,False
2016-06-04,22,False
2016-06-05,29,False
2016-06-06,77,False
2016-06-07,83,False
2016-06-08,80,False
2016-06-09,68,False
2016-06-10,59,False
2016-06-11,29,False
2016-06-12,15,False
2016-06-13,100,False
2016-06-14,66,False
2016-06-15,99,False
2016-06-16,72,False
2016-06-17,53,False
2016-06-18,40,False
2016-06-19,30,False
2016-06-20,71,False
2016-06-21,66,False
2016-06-22,76,False
2016-06-23,67,False
2016-06-24,50,False
2016-06-25,26,False
2016-06-26,16,False
2016-06-27,97,False
2016-06-28,73,False
2016-06-29,87,False
2016-06-30,100,False
2016-07-01,52,False
2016-07-02,20,False
2016-07-03,29,False
2016-07-04,47,False
2016-07-05,70,False
2016-07-06,69,False
2016-07-07,50,False
2016-07-08,49,False
2016-07-09,19,False
2016-07-10,27,False
2016-07-11,69,False
2016-07-12,73,False
2016-07-13,81,False
2016-07-14,64,False
2016-07-15,57,False
2016-07-16,19,False
2016-07-17,21,False
2016-07-18,57,False
2016-07-19,70,False
2016-07-20,63,False
2016-07-21,69,False
2016-07-22,70,False
2016-07-23,23,False
2016-07-24,19,False
2016-07-25,62,False
2016-07-26,66,False
2016-07-27,62,False
2016-07-28,70,False
2016-07-29,69,False
2016-07-30,23,False
2016-07-31,19,False
2016-08-01,50,False
2016-08-02,60,False
2016-08-03,50,False
2016-08-04,52,False
