date,DENTSPLY,isPartial
2012-06-04,58,False
2012-06-05,73,False
2012-06-06,65,False
2012-06-07,36,False
2012-06-08,29,False
2012-06-09,19,False
2012-06-10,9,False
2012-06-11,76,False
2012-06-12,65,False
2012-06-13,50,False
2012-06-14,43,False
2012-06-15,33,False
2012-06-16,43,False
2012-06-17,19,False
2012-06-18,50,False
2012-06-19,38,False
2012-06-20,54,False
2012-06-21,58,False
2012-06-22,50,False
2012-06-23,20,False
2012-06-24,14,False
2012-06-25,42,False
2012-06-26,73,False
2012-06-27,47,False
2012-06-28,43,False
2012-06-29,49,False
2012-06-30,5,False
2012-07-01,30,False
2012-07-02,48,False
2012-07-03,39,False
2012-07-04,41,False
2012-07-05,41,False
2012-07-06,46,False
2012-07-07,5,False
2012-07-08,10,False
2012-07-09,39,False
2012-07-10,54,False
2012-07-11,47,False
2012-07-12,79,False
2012-07-13,50,False
2012-07-14,29,False
2012-07-15,5,False
2012-07-16,43,False
2012-07-17,59,False
2012-07-18,59,False
2012-07-19,60,False
2012-07-20,49,False
2012-07-21,15,False
2012-07-22,10,False
2012-07-23,43,False
2012-07-24,75,False
2012-07-25,32,False
2012-07-26,40,False
2012-07-27,42,False
2012-07-28,24,False
2012-07-29,5,False
2012-07-30,54,False
2012-07-31,51,False
2012-08-01,44,False
2012-08-02,64,False
2012-08-03,54,False
2012-08-04,25,False
2012-08-05,14,False
2012-08-06,36,False
2012-08-07,43,False
2012-08-08,39,False
2012-08-09,48,False
2012-08-10,38,False
2012-08-11,19,False
2012-08-12,10,False
2012-08-13,39,False
2012-08-14,43,False
2012-08-15,62,False
2012-08-16,40,False
2012-08-17,34,False
2012-08-18,20,False
2012-08-19,20,False
2012-08-20,36,False
2012-08-21,47,False
2012-08-22,51,False
2012-08-23,80,False
2012-08-24,41,False
2012-08-25,14,False
2012-08-26,5,False
2012-08-27,38,False
2012-08-28,38,False
2012-08-29,77,False
2012-08-30,39,False
2012-08-31,28,False
2012-09-01,24,False
2012-09-02,14,False
2012-09-03,27,False
2012-09-04,76,False
2012-09-05,50,False
2012-09-06,62,False
2012-09-07,41,False
2012-09-08,14,False
2012-09-09,32,False
2012-09-10,64,False
2012-09-11,44,False
2012-09-12,48,False
2012-09-13,57,False
2012-09-14,24,False
2012-09-15,18,False
2012-09-16,23,False
2012-09-17,52,False
2012-09-18,41,False
2012-09-19,71,False
2012-09-20,64,False
2012-09-21,47,False
2012-09-22,18,False
2012-09-23,9,False
2012-09-24,40,False
2012-09-25,41,False
2012-09-26,52,False
2012-09-27,53,False
2012-09-28,52,False
2012-09-29,18,False
2012-09-30,23,False
2012-10-01,48,False
2012-10-02,74,False
2012-10-03,79,False
2012-10-04,60,False
2012-10-05,46,False
2012-10-06,22,False
2012-10-07,13,False
2012-10-08,57,False
2012-10-09,35,False
2012-10-10,82,False
2012-10-11,47,False
2012-10-12,76,False
2012-10-13,31,False
2012-10-14,21,False
2012-10-15,57,False
2012-10-16,82,False
2012-10-17,64,False
2012-10-18,73,False
2012-10-19,57,False
2012-10-20,35,False
2012-10-21,13,False
2012-10-22,56,False
2012-10-23,64,False
2012-10-24,86,False
2012-10-25,73,False
2012-10-26,42,False
2012-10-27,22,False
2012-10-28,21,False
2012-10-29,73,False
2012-10-30,52,False
2012-10-31,76,False
2012-11-01,46,False
2012-11-02,34,False
2012-11-03,39,False
2012-11-04,13,False
2012-11-05,63,False
2012-11-06,38,False
2012-11-07,56,False
2012-11-08,46,False
2012-11-09,22,False
2012-11-10,21,False
2012-11-11,46,False
2012-11-12,78,False
2012-11-13,61,False
2012-11-14,38,False
2012-11-15,55,False
2012-11-16,22,False
2012-11-17,21,False
2012-11-18,37,False
2012-11-19,28,False
2012-11-20,59,False
2012-11-21,57,False
2012-11-22,60,False
2012-11-23,30,False
2012-11-24,21,False
2012-11-25,21,False
2012-11-26,68,False
2012-11-27,72,False
2012-11-28,34,False
2012-11-29,52,False
2012-11-30,51,False
2012-12-01,16,False
2012-12-02,29,False
2012-12-03,44,False
2012-12-04,61,False
2012-12-05,65,False
2012-12-06,50,False
2012-12-07,48,False
2012-12-08,21,False
2012-12-09,4,False
2012-12-10,61,False
2012-12-11,52,False
2012-12-12,73,False
2012-12-13,50,False
2012-12-14,43,False
2012-12-15,21,False
2012-12-16,12,False
2012-12-17,51,False
2012-12-18,28,False
2012-12-19,25,False
2012-12-20,75,False
2012-12-21,38,False
2012-12-22,17,False
2012-12-23,4,False
2012-12-24,13,False
2012-12-25,14,False
2012-12-26,4,False
2012-12-27,19,False
2012-12-28,19,False
2012-12-29,46,False
2012-12-30,4,False
2012-12-31,9,False
2013-01-01,22,False
2013-01-02,39,False
2013-01-03,59,False
2013-01-04,57,False
2013-01-05,16,False
2013-01-06,20,False
2013-01-07,47,False
2013-01-08,57,False
2013-01-09,56,False
2013-01-10,50,False
2013-01-11,51,False
2013-01-12,27,False
2013-01-13,23,False
2013-01-14,40,False
2013-01-15,59,False
2013-01-16,82,False
2013-01-17,70,False
2013-01-18,34,False
2013-01-19,19,False
2013-01-20,8,False
2013-01-21,100,False
2013-01-22,52,False
2013-01-23,48,False
2013-01-24,66,False
2013-01-25,34,False
2013-01-26,12,False
2013-01-27,23,False
2013-01-28,70,False
2013-01-29,55,False
2013-01-30,65,False
2013-01-31,59,False
2013-02-01,48,False
2013-02-02,19,False
2013-02-03,19,False
2013-02-04,49,False
2013-02-05,46,False
2013-02-06,46,False
2013-02-07,43,False
2013-02-08,48,False
2013-02-09,23,False
2013-02-10,36,False
