date,DENTSPLY,isPartial
2017-10-06,60,False
2017-10-07,25,False
2017-10-08,46,False
2017-10-09,92,False
2017-10-10,49,False
2017-10-11,79,False
2017-10-12,63,False
2017-10-13,61,False
2017-10-14,24,False
2017-10-15,12,False
2017-10-16,50,False
2017-10-17,89,False
2017-10-18,66,False
2017-10-19,49,False
2017-10-20,33,False
2017-10-21,34,False
2017-10-22,24,False
2017-10-23,67,False
2017-10-24,60,False
2017-10-25,36,False
2017-10-26,56,False
2017-10-27,58,False
2017-10-28,24,False
2017-10-29,24,False
2017-10-30,65,False
2017-10-31,67,False
2017-11-01,62,False
2017-11-02,64,False
2017-11-03,51,False
2017-11-04,24,False
2017-11-05,23,False
2017-11-06,64,False
2017-11-07,77,False
2017-11-08,57,False
2017-11-09,75,False
2017-11-10,27,False
2017-11-11,21,False
2017-11-12,35,False
2017-11-13,69,False
2017-11-14,72,False
2017-11-15,59,False
2017-11-16,100,False
2017-11-17,56,False
2017-11-18,21,False
2017-11-19,23,False
2017-11-20,67,False
2017-11-21,62,False
2017-11-22,57,False
2017-11-23,56,False
2017-11-24,53,False
2017-11-25,23,False
2017-11-26,17,False
2017-11-27,57,False
2017-11-28,63,False
2017-11-29,62,False
2017-11-30,39,False
2017-12-01,65,False
2017-12-02,21,False
2017-12-03,15,False
2017-12-04,56,False
2017-12-05,66,False
2017-12-06,94,False
2017-12-07,63,False
2017-12-08,43,False
2017-12-09,18,False
2017-12-10,9,False
2017-12-11,43,False
2017-12-12,58,False
2017-12-13,72,False
2017-12-14,58,False
2017-12-15,46,False
2017-12-16,39,False
2017-12-17,21,False
2017-12-18,52,False
2017-12-19,53,False
2017-12-20,65,False
2017-12-21,36,False
2017-12-22,29,False
2017-12-23,10,False
2017-12-24,26,False
2017-12-25,3,False
2017-12-26,14,False
2017-12-27,42,False
2017-12-28,19,False
2017-12-29,34,False
2017-12-30,12,False
2017-12-31,16,False
2018-01-01,10,False
2018-01-02,43,False
2018-01-03,44,False
2018-01-04,62,False
2018-01-05,34,False
2018-01-06,14,False
2018-01-07,20,False
2018-01-08,45,False
2018-01-09,58,False
2018-01-10,41,False
2018-01-11,68,False
2018-01-12,58,False
2018-01-13,20,False
2018-01-14,28,False
2018-01-15,61,False
2018-01-16,63,False
2018-01-17,69,False
2018-01-18,82,False
2018-01-19,70,False
2018-01-20,23,False
2018-01-21,28,False
2018-01-22,49,False
2018-01-23,60,False
2018-01-24,52,False
2018-01-25,71,False
2018-01-26,41,False
2018-01-27,23,False
2018-01-28,26,False
2018-01-29,73,False
2018-01-30,66,False
2018-01-31,67,False
2018-02-01,74,False
2018-02-02,69,False
2018-02-03,23,False
2018-02-04,25,False
2018-02-05,80,False
2018-02-06,82,False
2018-02-07,62,False
2018-02-08,63,False
2018-02-09,44,False
2018-02-10,17,False
2018-02-11,20,False
2018-02-12,63,False
2018-02-13,56,False
2018-02-14,66,False
2018-02-15,87,False
2018-02-16,39,False
2018-02-17,41,False
2018-02-18,25,False
2018-02-19,48,False
2018-02-20,62,False
2018-02-21,77,False
2018-02-22,68,False
2018-02-23,67,False
2018-02-24,20,False
2018-02-25,25,False
2018-02-26,86,False
2018-02-27,76,False
2018-02-28,68,False
2018-03-01,56,False
2018-03-02,33,False
2018-03-03,31,False
2018-03-04,31,False
2018-03-05,63,False
2018-03-06,56,False
2018-03-07,62,False
2018-03-08,70,False
2018-03-09,59,False
2018-03-10,23,False
2018-03-11,17,False
2018-03-12,61,False
2018-03-13,99,False
2018-03-14,63,False
2018-03-15,63,False
2018-03-16,44,False
2018-03-17,14,False
2018-03-18,30,False
2018-03-19,65,False
2018-03-20,56,False
2018-03-21,72,False
2018-03-22,60,False
2018-03-23,98,False
2018-03-24,32,False
2018-03-25,29,False
2018-03-26,53,False
2018-03-27,58,False
2018-03-28,59,False
2018-03-29,63,False
2018-03-30,42,False
2018-03-31,12,False
2018-04-01,24,False
2018-04-02,42,False
2018-04-03,67,False
2018-04-04,61,False
2018-04-05,74,False
2018-04-06,63,False
2018-04-07,32,False
2018-04-08,23,False
2018-04-09,74,False
2018-04-10,59,False
2018-04-11,72,False
