date,SIRI stock
2011-05-11,45
2011-05-12,40
2011-05-13,32
2011-05-14,13
2011-05-15,18
2011-05-16,29
2011-05-17,45
2011-05-18,10
2011-05-19,21
2011-05-20,32
2011-05-21,7
2011-05-22,0
2011-05-23,20
2011-05-24,15
2011-05-25,20
2011-05-26,30
2011-05-27,32
2011-05-28,6
2011-05-29,7
2011-05-30,11
2011-05-31,44
2011-06-01,20
2011-06-02,27
2011-06-03,11
2011-06-04,20
2011-06-05,0
2011-06-06,15
2011-06-07,5
2011-06-08,25
2011-06-09,20
2011-06-10,21
2011-06-11,19
2011-06-12,13
2011-06-13,10
2011-06-14,34
2011-06-15,35
2011-06-16,41
2011-06-17,21
2011-06-18,6
2011-06-19,6
2011-06-20,24
2011-06-21,50
2011-06-22,40
2011-06-23,42
2011-06-24,5
2011-06-25,32
2011-06-26,6
2011-06-27,20
2011-06-28,10
2011-06-29,25
2011-06-30,31
2011-07-01,27
2011-07-02,13
2011-07-03,7
2011-07-04,5
2011-07-05,10
2011-07-06,15
2011-07-07,20
2011-07-08,32
2011-07-09,13
2011-07-10,0
2011-07-11,40
2011-07-12,10
2011-07-13,41
2011-07-14,31
2011-07-15,16
2011-07-16,13
2011-07-17,7
2011-07-18,10
2011-07-19,25
2011-07-20,15
2011-07-21,10
2011-07-22,27
2011-07-23,13
2011-07-24,13
2011-07-25,15
2011-07-26,10
2011-07-27,25
2011-07-28,41
2011-07-29,5
2011-07-30,6
2011-07-31,6
2011-08-01,26
2011-08-02,21
2011-08-03,20
2011-08-04,20
2011-08-05,53
2011-08-06,0
2011-08-07,0
2011-08-08,29
2011-08-09,53
2011-08-10,65
2011-08-11,40
2011-08-12,16
2011-08-13,19
2011-08-14,6
2011-08-15,26
2011-08-16,20
2011-08-17,31
2011-08-18,40
2011-08-19,16
2011-08-20,0
2011-08-21,12
2011-08-22,5
2011-08-23,24
2011-08-24,44
2011-08-25,39
2011-08-26,15
2011-08-27,6
2011-08-28,0
2011-08-29,39
2011-08-30,24
2011-08-31,15
2011-09-01,29
2011-09-02,20
2011-09-03,6
2011-09-04,0
2011-09-05,0
2011-09-06,23
2011-09-07,14
2011-09-08,9
2011-09-09,10
2011-09-10,6
2011-09-11,6
2011-09-12,28
2011-09-13,23
2011-09-14,0
2011-09-15,23
2011-09-16,15
2011-09-17,6
2011-09-18,6
2011-09-19,14
2011-09-20,9
2011-09-21,28
2011-09-22,19
2011-09-23,5
2011-09-24,0
2011-09-25,6
2011-09-26,14
2011-09-27,27
2011-09-28,18
2011-09-29,37
2011-09-30,19
2011-10-01,0
2011-10-02,0
2011-10-03,5
2011-10-04,59
2011-10-05,77
2011-10-06,41
2011-10-07,14
2011-10-08,11
2011-10-09,11
2011-10-10,18
2011-10-11,47
2011-10-12,22
2011-10-13,23
2011-10-14,66
2011-10-15,39
2011-10-16,27
2011-10-17,31
2011-10-18,26
2011-10-19,36
2011-10-20,41
2011-10-21,19
2011-10-22,22
2011-10-23,27
2011-10-24,22
2011-10-25,40
2011-10-26,27
2011-10-27,50
2011-10-28,33
2011-10-29,22
2011-10-30,22
2011-10-31,18
2011-11-01,71
2011-11-02,40
2011-11-03,22
2011-11-04,32
2011-11-05,22
2011-11-06,21
2011-11-07,40
2011-11-08,27
2011-11-09,9
2011-11-10,36
2011-11-11,19
2011-11-12,5
2011-11-13,11
2011-11-14,13
2011-11-15,18
2011-11-16,22
2011-11-17,31
2011-11-18,9
2011-11-19,11
2011-11-20,0
2011-11-21,13
2011-11-22,39
2011-11-23,13
2011-11-24,14
2011-11-25,5
2011-11-26,0
2011-11-27,0
2011-11-28,26
2011-11-29,9
2011-11-30,35
2011-12-01,48
2011-12-02,18
2011-12-03,0
2011-12-04,10
2011-12-05,35
2011-12-06,9
2011-12-07,9
2011-12-08,18
2011-12-09,18
2011-12-10,0
2011-12-11,5
2011-12-12,4
2011-12-13,21
2011-12-14,0
2011-12-15,22
2011-12-16,5
2011-12-17,16
2011-12-18,5
2011-12-19,9
2011-12-20,9
2011-12-21,18
2011-12-22,9
2011-12-23,35
2011-12-24,0
2011-12-25,6
2011-12-26,10
2011-12-27,14
2011-12-28,14
2011-12-29,19
2011-12-30,20
2011-12-31,12
2012-01-01,12
2012-01-02,19
2012-01-03,43
2012-01-04,30
2012-01-05,48
2012-01-06,58
2012-01-07,46
2012-01-08,25
2012-01-09,50
2012-01-10,41
2012-01-11,41
2012-01-12,21
2012-01-13,100
2012-01-14,20
2012-01-15,10
2012-01-16,21
2012-01-17,33
2012-01-18,20
2012-01-19,37
2012-01-20,47
2012-01-21,25
2012-01-22,10
2012-01-23,49
2012-01-24,45
2012-01-25,45
2012-01-26,46
