date,SIRI stock
2017-10-06,34
2017-10-07,14
2017-10-08,5
2017-10-09,32
2017-10-10,40
2017-10-11,61
2017-10-12,29
2017-10-13,30
2017-10-14,9
2017-10-15,14
2017-10-16,24
2017-10-17,32
2017-10-18,36
2017-10-19,37
2017-10-20,38
2017-10-21,9
2017-10-22,18
2017-10-23,20
2017-10-24,16
2017-10-25,68
2017-10-26,33
2017-10-27,38
2017-10-28,5
2017-10-29,5
2017-10-30,52
2017-10-31,29
2017-11-01,25
2017-11-02,33
2017-11-03,29
2017-11-04,5
2017-11-05,4
2017-11-06,24
2017-11-07,4
2017-11-08,28
2017-11-09,20
2017-11-10,25
2017-11-11,27
2017-11-12,4
2017-11-13,59
2017-11-14,43
2017-11-15,43
2017-11-16,32
2017-11-17,29
2017-11-18,18
2017-11-19,0
2017-11-20,31
2017-11-21,43
2017-11-22,24
2017-11-23,16
2017-11-24,12
2017-11-25,22
2017-11-26,4
2017-11-27,8
2017-11-28,39
2017-11-29,27
2017-11-30,28
2017-12-01,17
2017-12-02,14
2017-12-03,9
2017-12-04,42
2017-12-05,47
2017-12-06,24
2017-12-07,32
2017-12-08,17
2017-12-09,5
2017-12-10,9
2017-12-11,43
2017-12-12,27
2017-12-13,51
2017-12-14,28
2017-12-15,37
2017-12-16,5
2017-12-17,23
2017-12-18,67
2017-12-19,44
2017-12-20,41
2017-12-21,30
2017-12-22,31
2017-12-23,19
2017-12-24,0
2017-12-25,20
2017-12-26,36
2017-12-27,38
2017-12-28,60
2017-12-29,44
2017-12-30,9
2017-12-31,5
2018-01-01,19
2018-01-02,49
2018-01-03,28
2018-01-04,28
2018-01-05,33
2018-01-06,22
2018-01-07,4
2018-01-08,19
2018-01-09,23
2018-01-10,31
2018-01-11,35
2018-01-12,32
2018-01-13,4
2018-01-14,9
2018-01-15,4
2018-01-16,15
2018-01-17,68
2018-01-18,34
2018-01-19,60
2018-01-20,9
2018-01-21,9
2018-01-22,34
2018-01-23,42
2018-01-24,49
2018-01-25,50
2018-01-26,100
2018-01-27,35
2018-01-28,13
2018-01-29,30
2018-01-30,65
2018-01-31,69
2018-02-01,65
2018-02-02,71
2018-02-03,26
2018-02-04,4
2018-02-05,80
2018-02-06,99
2018-02-07,34
2018-02-08,61
2018-02-09,56
2018-02-10,18
2018-02-11,22
2018-02-12,43
2018-02-13,35
2018-02-14,50
2018-02-15,42
2018-02-16,44
2018-02-17,22
2018-02-18,9
2018-02-19,8
2018-02-20,19
2018-02-21,53
2018-02-22,57
2018-02-23,79
2018-02-24,17
2018-02-25,21
2018-02-26,34
2018-02-27,59
2018-02-28,71
2018-03-01,41
2018-03-02,39
2018-03-03,22
2018-03-04,0
2018-03-05,41
2018-03-06,41
2018-03-07,57
2018-03-08,46
2018-03-09,52
2018-03-10,13
2018-03-11,13
2018-03-12,30
2018-03-13,15
2018-03-14,30
2018-03-15,23
2018-03-16,20
2018-03-17,30
2018-03-18,13
2018-03-19,34
2018-03-20,53
2018-03-21,53
2018-03-22,50
2018-03-23,24
2018-03-24,13
2018-03-25,9
2018-03-26,27
2018-03-27,42
2018-03-28,47
2018-03-29,41
2018-03-30,13
2018-03-31,9
2018-04-01,9
2018-04-02,32
2018-04-03,31
2018-04-04,35
2018-04-05,39
2018-04-06,72
2018-04-07,13
2018-04-08,9
2018-04-09,30
