date,SIRI stock
2016-05-04,22
2016-05-05,67
2016-05-06,18
2016-05-07,10
2016-05-08,5
2016-05-09,39
2016-05-10,25
2016-05-11,26
2016-05-12,22
2016-05-13,18
2016-05-14,5
2016-05-15,10
2016-05-16,42
2016-05-17,46
2016-05-18,26
2016-05-19,9
2016-05-20,27
2016-05-21,15
2016-05-22,15
2016-05-23,17
2016-05-24,30
2016-05-25,48
2016-05-26,45
2016-05-27,32
2016-05-28,10
2016-05-29,5
2016-05-30,4
2016-05-31,47
2016-06-01,17
2016-06-02,31
2016-06-03,46
2016-06-04,21
2016-06-05,0
2016-06-06,22
2016-06-07,34
2016-06-08,17
2016-06-09,31
2016-06-10,18
2016-06-11,10
2016-06-12,0
2016-06-13,34
2016-06-14,17
2016-06-15,17
2016-06-16,17
2016-06-17,14
2016-06-18,5
2016-06-19,10
2016-06-20,22
2016-06-21,30
2016-06-22,26
2016-06-23,22
2016-06-24,88
2016-06-25,5
2016-06-26,10
2016-06-27,30
2016-06-28,44
2016-06-29,35
2016-06-30,44
2016-07-01,28
2016-07-02,5
2016-07-03,0
2016-07-04,0
2016-07-05,9
2016-07-06,23
2016-07-07,61
2016-07-08,58
2016-07-09,11
2016-07-10,0
2016-07-11,18
2016-07-12,36
2016-07-13,51
2016-07-14,58
2016-07-15,43
2016-07-16,32
2016-07-17,21
2016-07-18,46
2016-07-19,55
2016-07-20,47
2016-07-21,32
2016-07-22,28
2016-07-23,16
2016-07-24,5
2016-07-25,32
2016-07-26,100
2016-07-27,91
2016-07-28,74
2016-07-29,53
2016-07-30,21
2016-07-31,5
2016-08-01,36
2016-08-02,68
2016-08-03,37
2016-08-04,46
2016-08-05,44
2016-08-06,0
2016-08-07,11
2016-08-08,52
2016-08-09,28
2016-08-10,28
2016-08-11,29
2016-08-12,35
2016-08-13,6
2016-08-14,0
2016-08-15,30
2016-08-16,19
2016-08-17,34
2016-08-18,10
2016-08-19,50
2016-08-20,11
2016-08-21,6
2016-08-22,24
2016-08-23,39
2016-08-24,47
2016-08-25,51
2016-08-26,24
2016-08-27,11
2016-08-28,10
2016-08-29,27
2016-08-30,18
2016-08-31,40
2016-09-01,13
2016-09-02,47
2016-09-03,10
2016-09-04,10
2016-09-05,14
2016-09-06,27
2016-09-07,14
2016-09-08,45
2016-09-09,56
2016-09-10,10
2016-09-11,16
2016-09-12,41
2016-09-13,36
2016-09-14,18
2016-09-15,14
2016-09-16,23
2016-09-17,15
2016-09-18,0
2016-09-19,44
2016-09-20,26
2016-09-21,35
2016-09-22,27
2016-09-23,46
2016-09-24,0
2016-09-25,0
2016-09-26,35
2016-09-27,13
2016-09-28,44
2016-09-29,26
2016-09-30,37
2016-10-01,10
2016-10-02,5
2016-10-03,22
2016-10-04,22
2016-10-05,35
2016-10-06,9
2016-10-07,18
2016-10-08,5
2016-10-09,10
2016-10-10,35
2016-10-11,26
2016-10-12,35
2016-10-13,17
2016-10-14,27
2016-10-15,0
2016-10-16,5
2016-10-17,17
2016-10-18,26
2016-10-19,30
2016-10-20,22
2016-10-21,9
2016-10-22,20
2016-10-23,5
2016-10-24,13
2016-10-25,17
2016-10-26,30
2016-10-27,57
2016-10-28,27
2016-10-29,5
2016-10-30,10
2016-10-31,31
2016-11-01,22
2016-11-02,26
2016-11-03,30
2016-11-04,27
2016-11-05,5
2016-11-06,5
2016-11-07,26
2016-11-08,21
2016-11-09,43
2016-11-10,57
2016-11-11,45
2016-11-12,20
2016-11-13,15
2016-11-14,17
2016-11-15,51
2016-11-16,60
2016-11-17,48
2016-11-18,54
2016-11-19,20
2016-11-20,5
2016-11-21,46
2016-11-22,50
2016-11-23,47
2016-11-24,13
2016-11-25,40
2016-11-26,10
2016-11-27,5
2016-11-28,41
2016-11-29,37
2016-11-30,29
2016-12-01,34
2016-12-02,44
2016-12-03,24
2016-12-04,9
2016-12-05,38
2016-12-06,64
2016-12-07,41
2016-12-08,42
2016-12-09,56
2016-12-10,14
2016-12-11,9
2016-12-12,44
2016-12-13,25
2016-12-14,16
2016-12-15,30
2016-12-16,36
2016-12-17,5
2016-12-18,5
2016-12-19,21
2016-12-20,48
2016-12-21,49
2016-12-22,31
2016-12-23,32
2016-12-24,5
2016-12-25,0
2016-12-26,23
2016-12-27,35
2016-12-28,4
2016-12-29,23
2016-12-30,28
2016-12-31,20
2017-01-01,5
2017-01-02,4
2017-01-03,42
2017-01-04,55
2017-01-05,64
2017-01-06,39
2017-01-07,14
2017-01-08,5
2017-01-09,28
2017-01-10,61
2017-01-11,40
2017-01-12,16
2017-01-13,63
2017-01-14,19
2017-01-15,9
2017-01-16,29
2017-01-17,40
2017-01-18,44
2017-01-19,24
