date,SIRI stock
2014-12-01,37
2014-12-02,15
2014-12-03,54
2014-12-04,54
2014-12-05,16
2014-12-06,0
2014-12-07,36
2014-12-08,31
2014-12-09,23
2014-12-10,61
2014-12-11,23
2014-12-12,32
2014-12-13,19
2014-12-14,9
2014-12-15,23
2014-12-16,54
2014-12-17,55
2014-12-18,40
2014-12-19,68
2014-12-20,0
2014-12-21,9
2014-12-22,58
2014-12-23,77
2014-12-24,66
2014-12-25,10
2014-12-26,27
2014-12-27,18
2014-12-28,28
2014-12-29,33
2014-12-30,58
2014-12-31,28
2015-01-01,10
2015-01-02,26
2015-01-03,18
2015-01-04,17
2015-01-05,38
2015-01-06,53
2015-01-07,68
2015-01-08,68
2015-01-09,47
2015-01-10,52
2015-01-11,0
2015-01-12,7
2015-01-13,44
2015-01-14,44
2015-01-15,30
2015-01-16,15
2015-01-17,9
2015-01-18,0
2015-01-19,15
2015-01-20,29
2015-01-21,36
2015-01-22,37
2015-01-23,53
2015-01-24,9
2015-01-25,17
2015-01-26,22
2015-01-27,65
2015-01-28,22
2015-01-29,58
2015-01-30,53
2015-01-31,17
2015-02-01,17
2015-02-02,14
2015-02-03,43
2015-02-04,36
2015-02-05,72
2015-02-06,46
2015-02-07,60
2015-02-08,8
2015-02-09,51
2015-02-10,57
2015-02-11,51
2015-02-12,67
2015-02-13,100
2015-02-14,9
2015-02-15,26
2015-02-16,15
2015-02-17,67
2015-02-18,45
2015-02-19,52
2015-02-20,15
2015-02-21,17
2015-02-22,17
2015-02-23,79
2015-02-24,72
2015-02-25,44
2015-02-26,15
2015-02-27,37
2015-02-28,34
2015-03-01,16
2015-03-02,86
2015-03-03,50
2015-03-04,58
2015-03-05,44
2015-03-06,69
2015-03-07,9
2015-03-08,17
2015-03-09,65
2015-03-10,57
2015-03-11,79
2015-03-12,30
2015-03-13,61
2015-03-14,9
2015-03-15,0
2015-03-16,36
2015-03-17,93
2015-03-18,51
2015-03-19,73
2015-03-20,45
2015-03-21,8
2015-03-22,17
2015-03-23,64
2015-03-24,50
2015-03-25,42
2015-03-26,58
2015-03-27,46
2015-03-28,18
2015-03-29,18
2015-03-30,58
2015-03-31,50
2015-04-01,30
2015-04-02,54
2015-04-03,33
2015-04-04,9
2015-04-05,0
2015-04-06,39
2015-04-07,58
2015-04-08,65
2015-04-09,37
2015-04-10,38
2015-04-11,17
2015-04-12,0
2015-04-13,29
2015-04-14,29
2015-04-15,58
2015-04-16,36
2015-04-17,60
2015-04-18,17
2015-04-19,0
2015-04-20,65
2015-04-21,66
2015-04-22,50
2015-04-23,37
2015-04-24,77
2015-04-25,0
2015-04-26,9
2015-04-27,43
2015-04-28,85
2015-04-29,73
2015-04-30,45
2015-05-01,41
2015-05-02,17
2015-05-03,17
2015-05-04,29
2015-05-05,22
2015-05-06,50
2015-05-07,65
2015-05-08,46
2015-05-09,9
2015-05-10,35
2015-05-11,22
2015-05-12,36
2015-05-13,22
2015-05-14,60
2015-05-15,23
2015-05-16,26
2015-05-17,8
2015-05-18,36
2015-05-19,43
2015-05-20,36
2015-05-21,36
2015-05-22,46
2015-05-23,17
2015-05-24,9
2015-05-25,7
2015-05-26,28
2015-05-27,64
2015-05-28,0
2015-05-29,53
2015-05-30,43
2015-05-31,0
2015-06-01,22
2015-06-02,43
2015-06-03,57
2015-06-04,68
2015-06-05,31
2015-06-06,26
2015-06-07,9
2015-06-08,36
2015-06-09,28
2015-06-10,72
2015-06-11,59
2015-06-12,15
2015-06-13,9
2015-06-14,0
2015-06-15,28
2015-06-16,71
2015-06-17,22
2015-06-18,29
2015-06-19,15
2015-06-20,35
2015-06-21,9
2015-06-22,43
2015-06-23,50
2015-06-24,36
2015-06-25,22
2015-06-26,31
2015-06-27,17
2015-06-28,0
2015-06-29,37
2015-06-30,44
2015-07-01,59
2015-07-02,59
2015-07-03,8
2015-07-04,27
2015-07-05,18
2015-07-06,50
2015-07-07,43
2015-07-08,29
2015-07-09,37
2015-07-10,45
2015-07-11,18
2015-07-12,9
2015-07-13,50
2015-07-14,58
2015-07-15,29
2015-07-16,60
2015-07-17,39
2015-07-18,47
2015-07-19,9
2015-07-20,76
2015-07-21,15
2015-07-22,29
2015-07-23,74
2015-07-24,53
2015-07-25,9
2015-07-26,17
2015-07-27,43
2015-07-28,50
2015-07-29,65
2015-07-30,22
2015-07-31,100
2015-08-01,26
2015-08-02,17
2015-08-03,58
2015-08-04,36
2015-08-05,44
2015-08-06,44
2015-08-07,99
2015-08-08,26
2015-08-09,17
2015-08-10,43
2015-08-11,22
2015-08-12,44
2015-08-13,44
2015-08-14,15
2015-08-15,9
2015-08-16,17
2015-08-17,43
2015-08-18,43
