date,SIRI stock
2011-09-18,8
2011-09-19,19
2011-09-20,12
2011-09-21,38
2011-09-22,0
2011-09-23,13
2011-09-24,8
2011-09-25,8
2011-09-26,25
2011-09-27,37
2011-09-28,37
2011-09-29,38
2011-09-30,27
2011-10-01,0
2011-10-02,0
2011-10-03,19
2011-10-04,92
2011-10-05,74
2011-10-06,62
2011-10-07,33
2011-10-08,8
2011-10-09,22
2011-10-10,25
2011-10-11,46
2011-10-12,47
2011-10-13,68
2011-10-14,84
2011-10-15,90
2011-10-16,37
2011-10-17,42
2011-10-18,54
2011-10-19,36
2011-10-20,25
2011-10-21,52
2011-10-22,23
2011-10-23,15
2011-10-24,60
2011-10-25,48
2011-10-26,25
2011-10-27,67
2011-10-28,58
2011-10-29,23
2011-10-30,37
2011-10-31,43
2011-11-01,63
2011-11-02,61
2011-11-03,43
2011-11-04,50
2011-11-05,22
2011-11-06,29
2011-11-07,30
2011-11-08,30
2011-11-09,42
2011-11-10,67
2011-11-11,32
2011-11-12,15
2011-11-13,14
2011-11-14,18
2011-11-15,6
2011-11-16,18
2011-11-17,30
2011-11-18,25
2011-11-19,15
2011-11-20,7
2011-11-21,30
2011-11-22,29
2011-11-23,18
2011-11-24,19
2011-11-25,7
2011-11-26,0
2011-11-27,0
2011-11-28,23
2011-11-29,23
2011-11-30,47
2011-12-01,47
2011-12-02,13
2011-12-03,7
2011-12-04,7
2011-12-05,12
2011-12-06,6
2011-12-07,30
2011-12-08,18
2011-12-09,6
2011-12-10,0
2011-12-11,0
2011-12-12,17
2011-12-13,17
2011-12-14,24
2011-12-15,30
2011-12-16,25
2011-12-17,14
2011-12-18,14
2011-12-19,6
2011-12-20,12
2011-12-21,24
2011-12-22,19
2011-12-23,34
2011-12-24,8
2011-12-25,9
2011-12-26,35
2011-12-27,13
2011-12-28,25
2011-12-29,13
2011-12-30,40
2011-12-31,23
2012-01-01,16
2012-01-02,32
2012-01-03,59
2012-01-04,46
2012-01-05,54
2012-01-06,73
2012-01-07,7
2012-01-08,20
2012-01-09,62
2012-01-10,39
2012-01-11,79
2012-01-12,28
2012-01-13,99
2012-01-14,20
2012-01-15,27
2012-01-16,11
2012-01-17,79
2012-01-18,55
2012-01-19,50
2012-01-20,70
2012-01-21,13
2012-01-22,20
2012-01-23,79
2012-01-24,61
2012-01-25,56
2012-01-26,45
2012-01-27,92
2012-01-28,14
2012-01-29,13
2012-01-30,38
2012-01-31,22
2012-02-01,39
2012-02-02,22
2012-02-03,52
2012-02-04,20
2012-02-05,6
2012-02-06,60
2012-02-07,82
2012-02-08,66
2012-02-09,100
2012-02-10,63
2012-02-11,33
2012-02-12,0
2012-02-13,49
2012-02-14,11
2012-02-15,55
2012-02-16,50
2012-02-17,64
2012-02-18,7
2012-02-19,20
2012-02-20,39
2012-02-21,85
2012-02-22,66
2012-02-23,61
2012-02-24,51
2012-02-25,26
2012-02-26,13
2012-02-27,49
2012-02-28,43
2012-02-29,38
2012-03-01,40
2012-03-02,48
2012-03-03,14
2012-03-04,20
2012-03-05,39
2012-03-06,60
2012-03-07,27
2012-03-08,77
2012-03-09,51
2012-03-10,20
2012-03-11,0
2012-03-12,76
2012-03-13,65
2012-03-14,60
2012-03-15,28
2012-03-16,52
2012-03-17,20
2012-03-18,7
2012-03-19,54
2012-03-20,49
2012-03-21,38
2012-03-22,33
2012-03-23,35
2012-03-24,33
2012-03-25,27
2012-03-26,43
2012-03-27,11
2012-03-28,33
2012-03-29,55
2012-03-30,87
2012-03-31,26
2012-04-01,0
2012-04-02,72
2012-04-03,50
2012-04-04,51
2012-04-05,76
2012-04-06,38
2012-04-07,21
2012-04-08,0
2012-04-09,53
2012-04-10,56
2012-04-11,27
2012-04-12,44
2012-04-13,29
2012-04-14,32
2012-04-15,19
2012-04-16,38
2012-04-17,59
2012-04-18,43
2012-04-19,38
2012-04-20,23
2012-04-21,13
2012-04-22,6
2012-04-23,21
2012-04-24,27
2012-04-25,38
2012-04-26,50
2012-04-27,23
2012-04-28,34
2012-04-29,7
2012-04-30,45
2012-05-01,84
2012-05-02,49
2012-05-03,44
2012-05-04,46
2012-05-05,26
2012-05-06,6
2012-05-07,27
2012-05-08,42
2012-05-09,38
2012-05-10,22
2012-05-11,34
2012-05-12,33
2012-05-13,13
2012-05-14,32
2012-05-15,58
2012-05-16,32
2012-05-17,39
2012-05-18,34
2012-05-19,13
2012-05-20,20
2012-05-21,27
2012-05-22,32
2012-05-23,27
2012-05-24,22
2012-05-25,63
2012-05-26,7
2012-05-27,14
2012-05-28,28
2012-05-29,42
2012-05-30,32
2012-05-31,27
2012-06-01,28
2012-06-02,27
2012-06-03,13
2012-06-04,21
