date,SIRI stock
2010-08-24,31
2010-08-25,31
2010-08-26,32
2010-08-27,58
2010-08-28,20
2010-08-29,0
2010-08-30,15
2010-08-31,7
2010-09-01,8
2010-09-02,15
2010-09-03,8
2010-09-04,10
2010-09-05,10
2010-09-06,8
2010-09-07,23
2010-09-08,15
2010-09-09,69
2010-09-10,16
2010-09-11,0
2010-09-12,9
2010-09-13,30
2010-09-14,37
2010-09-15,8
2010-09-16,30
2010-09-17,24
2010-09-18,10
2010-09-19,9
2010-09-20,15
2010-09-21,23
2010-09-22,37
2010-09-23,37
2010-09-24,31
2010-09-25,9
2010-09-26,0
2010-09-27,36
2010-09-28,22
2010-09-29,29
2010-09-30,30
2010-10-01,31
2010-10-02,19
2010-10-03,18
2010-10-04,73
2010-10-05,7
2010-10-06,37
2010-10-07,47
2010-10-08,47
2010-10-09,0
2010-10-10,9
2010-10-11,52
2010-10-12,30
2010-10-13,51
2010-10-14,44
2010-10-15,23
2010-10-16,28
2010-10-17,9
2010-10-18,7
2010-10-19,21
2010-10-20,50
2010-10-21,29
2010-10-22,53
2010-10-23,18
2010-10-24,0
2010-10-25,21
2010-10-26,50
2010-10-27,21
2010-10-28,43
2010-10-29,38
2010-10-30,19
2010-10-31,9
2010-11-01,81
2010-11-02,77
2010-11-03,35
2010-11-04,49
2010-11-05,15
2010-11-06,9
2010-11-07,9
2010-11-08,41
2010-11-09,28
2010-11-10,21
2010-11-11,22
2010-11-12,45
2010-11-13,0
2010-11-14,0
2010-11-15,7
2010-11-16,57
2010-11-17,42
2010-11-18,42
2010-11-19,45
2010-11-20,18
2010-11-21,9
2010-11-22,14
2010-11-23,21
2010-11-24,14
2010-11-25,30
2010-11-26,23
2010-11-27,9
2010-11-28,9
2010-11-29,7
2010-11-30,61
2010-12-01,21
2010-12-02,49
2010-12-03,22
2010-12-04,9
2010-12-05,17
2010-12-06,21
2010-12-07,49
2010-12-08,14
2010-12-09,100
2010-12-10,67
2010-12-11,18
2010-12-12,0
2010-12-13,41
2010-12-14,34
2010-12-15,21
2010-12-16,36
2010-12-17,8
2010-12-18,9
2010-12-19,0
2010-12-20,36
2010-12-21,51
2010-12-22,52
2010-12-23,72
2010-12-24,29
2010-12-25,0
2010-12-26,0
2010-12-27,24
2010-12-28,46
2010-12-29,54
2010-12-30,40
2010-12-31,56
2011-01-01,10
2011-01-02,27
2011-01-03,29
2011-01-04,48
2011-01-05,35
2011-01-06,28
2011-01-07,22
2011-01-08,25
2011-01-09,0
2011-01-10,27
2011-01-11,46
2011-01-12,20
2011-01-13,40
2011-01-14,35
2011-01-15,24
2011-01-16,16
2011-01-17,33
2011-01-18,40
2011-01-19,26
2011-01-20,20
2011-01-21,27
2011-01-22,16
2011-01-23,0
2011-01-24,26
2011-01-25,39
2011-01-26,26
2011-01-27,26
2011-01-28,35
2011-01-29,24
2011-01-30,0
2011-01-31,25
2011-02-01,49
2011-02-02,32
2011-02-03,39
2011-02-04,47
2011-02-05,31
2011-02-06,0
2011-02-07,13
2011-02-08,38
2011-02-09,45
2011-02-10,33
2011-02-11,34
2011-02-12,16
2011-02-13,0
2011-02-14,32
2011-02-15,50
2011-02-16,63
2011-02-17,59
2011-02-18,48
2011-02-19,16
2011-02-20,16
2011-02-21,19
2011-02-22,19
2011-02-23,39
2011-02-24,46
2011-02-25,20
2011-02-26,16
2011-02-27,0
2011-02-28,50
2011-03-01,25
2011-03-02,51
2011-03-03,45
2011-03-04,20
2011-03-05,8
2011-03-06,0
2011-03-07,26
2011-03-08,39
2011-03-09,31
2011-03-10,38
2011-03-11,32
2011-03-12,0
2011-03-13,0
2011-03-14,20
2011-03-15,45
2011-03-16,6
2011-03-17,19
2011-03-18,27
2011-03-19,8
2011-03-20,0
2011-03-21,51
2011-03-22,25
2011-03-23,19
2011-03-24,13
2011-03-25,34
2011-03-26,16
2011-03-27,8
2011-03-28,31
2011-03-29,19
2011-03-30,13
2011-03-31,39
2011-04-01,33
2011-04-02,8
2011-04-03,8
2011-04-04,6
2011-04-05,19
2011-04-06,38
2011-04-07,45
2011-04-08,40
2011-04-09,16
2011-04-10,8
2011-04-11,6
2011-04-12,0
2011-04-13,19
2011-04-14,32
2011-04-15,20
2011-04-16,0
2011-04-17,16
2011-04-18,32
2011-04-19,20
2011-04-20,27
2011-04-21,35
2011-04-22,31
2011-04-23,9
2011-04-24,18
2011-04-25,28
2011-04-26,31
2011-04-27,19
2011-04-28,38
2011-04-29,40
2011-04-30,16
2011-05-01,8
2011-05-02,51
2011-05-03,31
2011-05-04,32
2011-05-05,19
2011-05-06,67
2011-05-07,24
2011-05-08,16
2011-05-09,63
2011-05-10,31
2011-05-11,69
