date,CA stock
2015-08-18,33
2015-08-19,26
2015-08-20,31
2015-08-21,42
2015-08-22,27
2015-08-23,32
2015-08-24,100
2015-08-25,55
2015-08-26,51
2015-08-27,33
2015-08-28,37
2015-08-29,39
2015-08-30,21
2015-08-31,32
2015-09-01,54
2015-09-02,38
2015-09-03,23
2015-09-04,18
2015-09-05,21
2015-09-06,21
2015-09-07,26
2015-09-08,42
2015-09-09,42
2015-09-10,35
2015-09-11,34
2015-09-12,17
2015-09-13,17
2015-09-14,45
2015-09-15,44
2015-09-16,44
2015-09-17,44
2015-09-18,23
2015-09-19,23
2015-09-20,17
2015-09-21,34
2015-09-22,46
2015-09-23,29
2015-09-24,25
2015-09-25,13
2015-09-26,20
2015-09-27,12
2015-09-28,26
2015-09-29,22
2015-09-30,19
2015-10-01,22
2015-10-02,48
2015-10-03,20
2015-10-04,19
2015-10-05,27
2015-10-06,33
2015-10-07,51
2015-10-08,37
2015-10-09,23
2015-10-10,28
2015-10-11,8
2015-10-12,57
2015-10-13,36
2015-10-14,26
2015-10-15,34
2015-10-16,20
2015-10-17,8
2015-10-18,14
2015-10-19,40
2015-10-20,16
2015-10-21,33
2015-10-22,41
2015-10-23,35
2015-10-24,20
2015-10-25,25
2015-10-26,31
2015-10-27,33
2015-10-28,35
2015-10-29,36
2015-10-30,18
2015-10-31,28
2015-11-01,17
2015-11-02,31
2015-11-03,31
2015-11-04,35
2015-11-05,33
2015-11-06,30
2015-11-07,39
2015-11-08,30
2015-11-09,26
2015-11-10,26
2015-11-11,34
2015-11-12,29
2015-11-13,20
2015-11-14,11
2015-11-15,11
2015-11-16,23
2015-11-17,38
2015-11-18,48
2015-11-19,31
2015-11-20,25
2015-11-21,28
2015-11-22,8
2015-11-23,45
2015-11-24,21
2015-11-25,26
2015-11-26,10
2015-11-27,20
2015-11-28,42
2015-11-29,16
2015-11-30,14
2015-12-01,28
2015-12-02,31
2015-12-03,24
2015-12-04,25
2015-12-05,14
2015-12-06,8
2015-12-07,34
2015-12-08,33
2015-12-09,28
2015-12-10,34
2015-12-11,27
2015-12-12,8
2015-12-13,14
2015-12-14,33
2015-12-15,29
2015-12-16,22
2015-12-17,33
2015-12-18,21
2015-12-19,21
2015-12-20,20
2015-12-21,25
2015-12-22,36
2015-12-23,19
2015-12-24,34
2015-12-25,23
2015-12-26,18
2015-12-27,18
2015-12-28,34
2015-12-29,23
2015-12-30,37
2015-12-31,44
2016-01-01,13
2016-01-02,12
2016-01-03,23
2016-01-04,51
2016-01-05,49
2016-01-06,57
2016-01-07,59
2016-01-08,53
2016-01-09,26
2016-01-10,11
2016-01-11,59
2016-01-12,50
2016-01-13,55
2016-01-14,45
2016-01-15,42
2016-01-16,32
2016-01-17,39
2016-01-18,40
2016-01-19,53
2016-01-20,50
2016-01-21,38
2016-01-22,34
2016-01-23,32
2016-01-24,14
2016-01-25,32
2016-01-26,55
2016-01-27,47
2016-01-28,51
2016-01-29,23
2016-01-30,23
2016-01-31,25
2016-02-01,33
2016-02-02,32
2016-02-03,43
2016-02-04,46
2016-02-05,34
2016-02-06,21
2016-02-07,32
2016-02-08,36
2016-02-09,46
2016-02-10,42
2016-02-11,48
2016-02-12,36
2016-02-13,20
2016-02-14,25
2016-02-15,28
2016-02-16,39
2016-02-17,35
2016-02-18,50
2016-02-19,33
2016-02-20,20
2016-02-21,22
2016-02-22,29
2016-02-23,34
2016-02-24,30
2016-02-25,30
2016-02-26,39
2016-02-27,26
2016-02-28,22
2016-02-29,36
2016-03-01,48
2016-03-02,46
2016-03-03,40
2016-03-04,41
2016-03-05,31
2016-03-06,19
2016-03-07,52
2016-03-08,40
2016-03-09,62
2016-03-10,25
2016-03-11,57
2016-03-12,15
2016-03-13,20
2016-03-14,32
2016-03-15,29
2016-03-16,35
2016-03-17,59
2016-03-18,50
2016-03-19,25
2016-03-20,25
2016-03-21,30
2016-03-22,42
2016-03-23,8
2016-03-24,21
2016-03-25,30
2016-03-26,24
2016-03-27,27
2016-03-28,42
2016-03-29,42
2016-03-30,35
2016-03-31,40
2016-04-01,21
2016-04-02,32
2016-04-03,28
2016-04-04,57
2016-04-05,44
2016-04-06,47
2016-04-07,40
2016-04-08,42
2016-04-09,17
2016-04-10,17
2016-04-11,17
2016-04-12,54
2016-04-13,59
2016-04-14,33
2016-04-15,44
2016-04-16,15
2016-04-17,9
2016-04-18,45
2016-04-19,25
2016-04-20,32
2016-04-21,33
2016-04-22,39
2016-04-23,26
2016-04-24,17
2016-04-25,29
2016-04-26,51
2016-04-27,40
2016-04-28,38
2016-04-29,31
2016-04-30,18
2016-05-01,20
2016-05-02,36
2016-05-03,59
2016-05-04,28
