date,CA stock
2016-09-11,19
2016-09-12,37
2016-09-13,17
2016-09-14,19
2016-09-15,36
2016-09-16,15
2016-09-17,27
2016-09-18,24
2016-09-19,23
2016-09-20,25
2016-09-21,28
2016-09-22,43
2016-09-23,32
2016-09-24,39
2016-09-25,8
2016-09-26,53
2016-09-27,28
2016-09-28,35
2016-09-29,45
2016-09-30,34
2016-10-01,13
2016-10-02,26
2016-10-03,28
2016-10-04,39
2016-10-05,35
2016-10-06,17
2016-10-07,31
2016-10-08,27
2016-10-09,24
2016-10-10,30
2016-10-11,7
2016-10-12,21
2016-10-13,45
2016-10-14,34
2016-10-15,24
2016-10-16,29
2016-10-17,34
2016-10-18,23
2016-10-19,40
2016-10-20,39
2016-10-21,34
2016-10-22,14
2016-10-23,19
2016-10-24,37
2016-10-25,19
2016-10-26,25
2016-10-27,52
2016-10-28,37
2016-10-29,24
2016-10-30,32
2016-10-31,43
2016-11-01,17
2016-11-02,26
2016-11-03,30
2016-11-04,36
2016-11-05,29
2016-11-06,10
2016-11-07,30
2016-11-08,57
2016-11-09,100
2016-11-10,52
2016-11-11,48
2016-11-12,22
2016-11-13,18
2016-11-14,28
2016-11-15,44
2016-11-16,48
2016-11-17,39
2016-11-18,33
2016-11-19,18
2016-11-20,10
2016-11-21,25
2016-11-22,32
2016-11-23,32
2016-11-24,19
2016-11-25,33
2016-11-26,28
2016-11-27,25
2016-11-28,30
2016-11-29,48
2016-11-30,18
2016-12-01,36
2016-12-02,49
2016-12-03,25
2016-12-04,22
2016-12-05,47
2016-12-06,37
2016-12-07,29
2016-12-08,22
2016-12-09,44
2016-12-10,26
2016-12-11,7
2016-12-12,39
2016-12-13,37
2016-12-14,69
2016-12-15,44
2016-12-16,33
2016-12-17,18
2016-12-18,16
2016-12-19,46
2016-12-20,47
2016-12-21,24
2016-12-22,39
2016-12-23,50
2016-12-24,31
2016-12-25,29
2016-12-26,18
2016-12-27,50
2016-12-28,12
2016-12-29,39
2016-12-30,45
2016-12-31,22
2017-01-01,34
2017-01-02,19
2017-01-03,29
2017-01-04,38
2017-01-05,41
2017-01-06,49
2017-01-07,50
2017-01-08,20
2017-01-09,48
2017-01-10,41
2017-01-11,33
2017-01-12,42
2017-01-13,61
2017-01-14,20
2017-01-15,32
2017-01-16,24
2017-01-17,45
2017-01-18,37
2017-01-19,48
2017-01-20,51
2017-01-21,22
2017-01-22,27
2017-01-23,32
2017-01-24,36
2017-01-25,71
2017-01-26,37
2017-01-27,38
2017-01-28,15
2017-01-29,7
2017-01-30,42
2017-01-31,43
2017-02-01,35
2017-02-02,41
2017-02-03,49
2017-02-04,32
2017-02-05,22
2017-02-06,44
2017-02-07,34
2017-02-08,38
2017-02-09,28
2017-02-10,22
2017-02-11,20
2017-02-12,19
2017-02-13,65
2017-02-14,51
2017-02-15,28
2017-02-16,36
2017-02-17,41
2017-02-18,27
2017-02-19,24
2017-02-20,30
2017-02-21,61
2017-02-22,40
2017-02-23,31
2017-02-24,51
2017-02-25,7
2017-02-26,19
2017-02-27,37
2017-02-28,48
2017-03-01,37
2017-03-02,47
2017-03-03,72
2017-03-04,19
2017-03-05,26
2017-03-06,59
2017-03-07,54
2017-03-08,33
2017-03-09,40
2017-03-10,46
2017-03-11,27
2017-03-12,20
2017-03-13,57
2017-03-14,63
2017-03-15,42
2017-03-16,64
2017-03-17,33
2017-03-18,27
2017-03-19,12
2017-03-20,32
2017-03-21,65
2017-03-22,42
2017-03-23,36
2017-03-24,26
2017-03-25,17
2017-03-26,19
2017-03-27,32
2017-03-28,40
2017-03-29,43
2017-03-30,30
2017-03-31,44
2017-04-01,37
2017-04-02,22
2017-04-03,38
2017-04-04,38
2017-04-05,44
2017-04-06,32
2017-04-07,39
2017-04-08,15
2017-04-09,37
2017-04-10,36
2017-04-11,48
2017-04-12,49
2017-04-13,40
2017-04-14,48
2017-04-15,28
2017-04-16,23
2017-04-17,31
2017-04-18,44
2017-04-19,33
2017-04-20,41
2017-04-21,36
2017-04-22,27
2017-04-23,10
2017-04-24,23
2017-04-25,44
2017-04-26,46
2017-04-27,45
2017-04-28,44
2017-04-29,27
2017-04-30,20
2017-05-01,50
2017-05-02,55
2017-05-03,55
2017-05-04,41
2017-05-05,35
2017-05-06,27
2017-05-07,34
2017-05-08,38
2017-05-09,46
2017-05-10,36
2017-05-11,41
2017-05-12,47
2017-05-13,32
2017-05-14,20
2017-05-15,38
2017-05-16,45
2017-05-17,37
2017-05-18,54
2017-05-19,36
2017-05-20,16
2017-05-21,26
2017-05-22,48
2017-05-23,27
2017-05-24,51
2017-05-25,47
2017-05-26,29
2017-05-27,16
2017-05-28,22
2017-05-29,12
