date,CA stock
2011-09-18,49
2011-09-19,27
2011-09-20,40
2011-09-21,7
2011-09-22,41
2011-09-23,36
2011-09-24,25
2011-09-25,0
2011-09-26,34
2011-09-27,34
2011-09-28,34
2011-09-29,20
2011-09-30,57
2011-10-01,8
2011-10-02,34
2011-10-03,27
2011-10-04,47
2011-10-05,100
2011-10-06,54
2011-10-07,35
2011-10-08,25
2011-10-09,24
2011-10-10,33
2011-10-11,25
2011-10-12,26
2011-10-13,40
2011-10-14,35
2011-10-15,33
2011-10-16,63
2011-10-17,66
2011-10-18,72
2011-10-19,66
2011-10-20,74
2011-10-21,49
2011-10-22,50
2011-10-23,16
2011-10-24,58
2011-10-25,72
2011-10-26,47
2011-10-27,53
2011-10-28,71
2011-10-29,8
2011-10-30,16
2011-10-31,14
2011-11-01,54
2011-11-02,67
2011-11-03,33
2011-11-04,34
2011-11-05,32
2011-11-06,16
2011-11-07,46
2011-11-08,32
2011-11-09,66
2011-11-10,33
2011-11-11,28
2011-11-12,24
2011-11-13,0
2011-11-14,38
2011-11-15,65
2011-11-16,32
2011-11-17,52
2011-11-18,48
2011-11-19,32
2011-11-20,8
2011-11-21,58
2011-11-22,38
2011-11-23,52
2011-11-24,55
2011-11-25,21
2011-11-26,24
2011-11-27,38
2011-11-28,44
2011-11-29,25
2011-11-30,70
2011-12-01,51
2011-12-02,14
2011-12-03,55
2011-12-04,15
2011-12-05,38
2011-12-06,51
2011-12-07,39
2011-12-08,26
2011-12-09,7
2011-12-10,31
2011-12-11,8
2011-12-12,57
2011-12-13,38
2011-12-14,38
2011-12-15,20
2011-12-16,27
2011-12-17,40
2011-12-18,15
2011-12-19,45
2011-12-20,46
2011-12-21,54
2011-12-22,42
2011-12-23,45
2011-12-24,18
2011-12-25,19
2011-12-26,15
2011-12-27,34
2011-12-28,82
2011-12-29,56
2011-12-30,44
2011-12-31,43
2012-01-01,18
2012-01-02,34
2012-01-03,50
2012-01-04,57
2012-01-05,39
2012-01-06,46
2012-01-07,53
2012-01-08,36
2012-01-09,25
2012-01-10,49
2012-01-11,24
2012-01-12,37
2012-01-13,45
2012-01-14,66
2012-01-15,22
2012-01-16,36
2012-01-17,43
2012-01-18,24
2012-01-19,42
2012-01-20,50
2012-01-21,44
2012-01-22,7
2012-01-23,48
2012-01-24,60
2012-01-25,36
2012-01-26,43
2012-01-27,63
2012-01-28,37
2012-01-29,36
2012-01-30,24
2012-01-31,53
2012-02-01,42
2012-02-02,60
2012-02-03,68
2012-02-04,50
2012-02-05,49
2012-02-06,18
2012-02-07,59
2012-02-08,41
2012-02-09,96
2012-02-10,44
2012-02-11,36
2012-02-12,7
2012-02-13,53
2012-02-14,42
2012-02-15,24
2012-02-16,42
2012-02-17,50
2012-02-18,29
2012-02-19,36
2012-02-20,25
2012-02-21,55
2012-02-22,42
2012-02-23,24
2012-02-24,49
2012-02-25,57
2012-02-26,56
2012-02-27,29
2012-02-28,41
2012-02-29,35
2012-03-01,19
2012-03-02,26
2012-03-03,0
2012-03-04,15
2012-03-05,30
2012-03-06,47
2012-03-07,59
2012-03-08,49
2012-03-09,25
2012-03-10,29
2012-03-11,21
2012-03-12,58
2012-03-13,35
2012-03-14,35
2012-03-15,24
2012-03-16,19
2012-03-17,43
2012-03-18,21
2012-03-19,53
2012-03-20,17
2012-03-21,36
2012-03-22,42
2012-03-23,25
2012-03-24,51
2012-03-25,36
2012-03-26,83
2012-03-27,65
2012-03-28,30
2012-03-29,49
2012-03-30,63
2012-03-31,36
2012-04-01,36
2012-04-02,66
2012-04-03,24
2012-04-04,31
2012-04-05,38
2012-04-06,49
2012-04-07,23
2012-04-08,38
2012-04-09,43
2012-04-10,43
2012-04-11,53
2012-04-12,12
2012-04-13,75
2012-04-14,36
2012-04-15,35
2012-04-16,29
2012-04-17,35
2012-04-18,47
2012-04-19,65
2012-04-20,31
2012-04-21,28
2012-04-22,28
2012-04-23,52
2012-04-24,29
2012-04-25,47
2012-04-26,53
2012-04-27,56
2012-04-28,43
2012-04-29,21
2012-04-30,37
2012-05-01,26
2012-05-02,12
2012-05-03,47
2012-05-04,49
2012-05-05,14
2012-05-06,14
2012-05-07,17
2012-05-08,23
2012-05-09,29
2012-05-10,42
2012-05-11,49
2012-05-12,22
2012-05-13,43
2012-05-14,34
2012-05-15,46
2012-05-16,47
2012-05-17,36
2012-05-18,100
2012-05-19,51
2012-05-20,36
2012-05-21,52
2012-05-22,70
2012-05-23,35
2012-05-24,95
2012-05-25,62
2012-05-26,0
2012-05-27,38
2012-05-28,24
2012-05-29,40
2012-05-30,29
2012-05-31,12
2012-06-01,31
2012-06-02,44
2012-06-03,64
2012-06-04,69
