date,Apple,isPartial
2015-12-26,41,False
2015-12-27,36,False
2015-12-28,33,False
2015-12-29,32,False
2015-12-30,32,False
2015-12-31,30,False
2016-01-01,30,False
2016-01-02,29,False
2016-01-03,30,False
2016-01-04,28,False
2016-01-05,27,False
2016-01-06,28,False
2016-01-07,27,False
2016-01-08,27,False
2016-01-09,28,False
2016-01-10,28,False
2016-01-11,26,False
2016-01-12,25,False
2016-01-13,25,False
2016-01-14,24,False
2016-01-15,25,False
2016-01-16,26,False
2016-01-17,26,False
2016-01-18,25,False
2016-01-19,25,False
2016-01-20,25,False
2016-01-21,25,False
2016-01-22,25,False
2016-01-23,27,False
2016-01-24,26,False
2016-01-25,25,False
2016-01-26,26,False
2016-01-27,26,False
2016-01-28,25,False
2016-01-29,26,False
2016-01-30,28,False
2016-01-31,27,False
2016-02-01,25,False
2016-02-02,24,False
2016-02-03,24,False
2016-02-04,25,False
2016-02-05,25,False
2016-02-06,26,False
2016-02-07,27,False
2016-02-08,25,False
2016-02-09,26,False
2016-02-10,24,False
2016-02-11,24,False
2016-02-12,24,False
2016-02-13,26,False
2016-02-14,26,False
2016-02-15,25,False
2016-02-16,24,False
2016-02-17,26,False
2016-02-18,27,False
2016-02-19,25,False
2016-02-20,27,False
2016-02-21,26,False
2016-02-22,25,False
2016-02-23,24,False
2016-02-24,24,False
2016-02-25,25,False
2016-02-26,24,False
2016-02-27,26,False
2016-02-28,25,False
2016-02-29,24,False
2016-03-01,24,False
2016-03-02,24,False
2016-03-03,23,False
2016-03-04,26,False
2016-03-05,26,False
2016-03-06,25,False
2016-03-07,24,False
2016-03-08,23,False
2016-03-09,23,False
2016-03-10,23,False
2016-03-11,24,False
2016-03-12,26,False
2016-03-13,26,False
2016-03-14,24,False
2016-03-15,23,False
2016-03-16,23,False
2016-03-17,23,False
2016-03-18,25,False
2016-03-19,25,False
2016-03-20,26,False
2016-03-21,52,False
2016-03-22,40,False
2016-03-23,32,False
2016-03-24,32,False
2016-03-25,31,False
2016-03-26,29,False
2016-03-27,29,False
2016-03-28,29,False
2016-03-29,28,False
2016-03-30,27,False
2016-03-31,27,False
2016-04-01,27,False
2016-04-02,28,False
2016-04-03,26,False
2016-04-04,27,False
2016-04-05,26,False
2016-04-06,26,False
2016-04-07,25,False
2016-04-08,26,False
2016-04-09,26,False
2016-04-10,26,False
2016-04-11,24,False
2016-04-12,24,False
2016-04-13,23,False
2016-04-14,24,False
2016-04-15,24,False
2016-04-16,25,False
2016-04-17,25,False
2016-04-18,24,False
2016-04-19,26,False
2016-04-20,24,False
2016-04-21,23,False
2016-04-22,22,False
2016-04-23,24,False
2016-04-24,24,False
2016-04-25,24,False
2016-04-26,25,False
2016-04-27,26,False
2016-04-28,26,False
2016-04-29,27,False
2016-04-30,26,False
2016-05-01,25,False
2016-05-02,25,False
2016-05-03,25,False
2016-05-04,23,False
2016-05-05,23,False
2016-05-06,24,False
2016-05-07,24,False
2016-05-08,24,False
2016-05-09,24,False
2016-05-10,23,False
2016-05-11,23,False
2016-05-12,23,False
2016-05-13,24,False
2016-05-14,24,False
2016-05-15,25,False
2016-05-16,25,False
2016-05-17,24,False
2016-05-18,23,False
2016-05-19,24,False
2016-05-20,24,False
2016-05-21,24,False
2016-05-22,25,False
2016-05-23,23,False
