date,JB Hunt,isPartial
2013-11-06,90,False
2013-11-07,49,False
2013-11-08,45,False
2013-11-09,19,False
2013-11-10,35,False
2013-11-11,46,False
2013-11-12,72,False
2013-11-13,79,False
2013-11-14,49,False
2013-11-15,45,False
2013-11-16,44,False
2013-11-17,31,False
2013-11-18,79,False
2013-11-19,38,False
2013-11-20,65,False
2013-11-21,61,False
2013-11-22,60,False
2013-11-23,25,False
2013-11-24,33,False
2013-11-25,55,False
2013-11-26,73,False
2013-11-27,70,False
2013-11-28,17,False
2013-11-29,23,False
2013-11-30,25,False
2013-12-01,28,False
2013-12-02,44,False
2013-12-03,61,False
2013-12-04,71,False
2013-12-05,50,False
2013-12-06,52,False
2013-12-07,36,False
2013-12-08,31,False
2013-12-09,45,False
2013-12-10,35,False
2013-12-11,81,False
2013-12-12,56,False
2013-12-13,56,False
2013-12-14,34,False
2013-12-15,40,False
2013-12-16,52,False
2013-12-17,85,False
2013-12-18,100,False
2013-12-19,63,False
2013-12-20,49,False
2013-12-21,24,False
2013-12-22,22,False
2013-12-23,53,False
2013-12-24,46,False
2013-12-25,38,False
2013-12-26,61,False
2013-12-27,51,False
2013-12-28,39,False
2013-12-29,30,False
2013-12-30,71,False
2013-12-31,64,False
2014-01-01,63,False
2014-01-02,94,False
2014-01-03,75,False
2014-01-04,34,False
2014-01-05,36,False
2014-01-06,62,False
2014-01-07,57,False
2014-01-08,67,False
2014-01-09,50,False
2014-01-10,80,False
2014-01-11,34,False
2014-01-12,34,False
2014-01-13,44,False
2014-01-14,82,False
2014-01-15,61,False
2014-01-16,81,False
2014-01-17,67,False
2014-01-18,49,False
2014-01-19,28,False
2014-01-20,79,False
2014-01-21,47,False
2014-01-22,55,False
2014-01-23,47,False
2014-01-24,46,False
2014-01-25,40,False
2014-01-26,45,False
2014-01-27,48,False
2014-01-28,78,False
2014-01-29,72,False
2014-01-30,67,False
2014-01-31,55,False
2014-02-01,40,False
2014-02-02,33,False
2014-02-03,64,False
2014-02-04,59,False
2014-02-05,61,False
2014-02-06,37,False
2014-02-07,42,False
2014-02-08,41,False
2014-02-09,33,False
2014-02-10,60,False
2014-02-11,48,False
2014-02-12,47,False
2014-02-13,59,False
2014-02-14,61,False
2014-02-15,30,False
2014-02-16,14,False
2014-02-17,52,False
2014-02-18,46,False
2014-02-19,44,False
2014-02-20,48,False
2014-02-21,53,False
2014-02-22,16,False
2014-02-23,25,False
2014-02-24,54,False
2014-02-25,38,False
2014-02-26,69,False
2014-02-27,64,False
2014-02-28,60,False
2014-03-01,32,False
2014-03-02,18,False
2014-03-03,57,False
2014-03-04,42,False
2014-03-05,61,False
2014-03-06,63,False
2014-03-07,42,False
2014-03-08,26,False
2014-03-09,26,False
2014-03-10,56,False
2014-03-11,65,False
2014-03-12,67,False
2014-03-13,63,False
2014-03-14,63,False
2014-03-15,30,False
2014-03-16,21,False
2014-03-17,54,False
2014-03-18,50,False
2014-03-19,55,False
2014-03-20,63,False
2014-03-21,60,False
2014-03-22,22,False
2014-03-23,27,False
2014-03-24,53,False
2014-03-25,56,False
2014-03-26,58,False
2014-03-27,46,False
2014-03-28,45,False
2014-03-29,38,False
2014-03-30,25,False
2014-03-31,65,False
2014-04-01,63,False
2014-04-02,70,False
2014-04-03,71,False
2014-04-04,57,False
2014-04-05,18,False
2014-04-06,31,False
2014-04-07,61,False
2014-04-08,48,False
2014-04-09,55,False
2014-04-10,56,False
2014-04-11,60,False
2014-04-12,12,False
2014-04-13,40,False
2014-04-14,71,False
2014-04-15,83,False
2014-04-16,62,False
2014-04-17,47,False
2014-04-18,76,False
2014-04-19,27,False
2014-04-20,36,False
2014-04-21,67,False
2014-04-22,59,False
2014-04-23,47,False
2014-04-24,54,False
2014-04-25,48,False
2014-04-26,22,False
2014-04-27,25,False
2014-04-28,43,False
2014-04-29,51,False
2014-04-30,53,False
2014-05-01,68,False
2014-05-02,69,False
2014-05-03,32,False
2014-05-04,32,False
2014-05-05,36,False
2014-05-06,53,False
2014-05-07,55,False
2014-05-08,74,False
2014-05-09,55,False
2014-05-10,48,False
2014-05-11,23,False
2014-05-12,64,False
2014-05-13,62,False
2014-05-14,45,False
2014-05-15,64,False
2014-05-16,23,False
2014-05-17,31,False
2014-05-18,30,False
2014-05-19,63,False
2014-05-20,39,False
2014-05-21,55,False
2014-05-22,55,False
2014-05-23,48,False
2014-05-24,22,False
2014-05-25,34,False
2014-05-26,22,False
2014-05-27,54,False
2014-05-28,62,False
2014-05-29,58,False
2014-05-30,33,False
2014-05-31,32,False
2014-06-01,31,False
2014-06-02,57,False
2014-06-03,53,False
2014-06-04,58,False
2014-06-05,67,False
2014-06-06,41,False
2014-06-07,30,False
2014-06-08,30,False
2014-06-09,60,False
2014-06-10,76,False
2014-06-11,59,False
2014-06-12,60,False
2014-06-13,54,False
2014-06-14,45,False
2014-06-15,34,False
2014-06-16,52,False
2014-06-17,51,False
2014-06-18,47,False
2014-06-19,59,False
2014-06-20,32,False
2014-06-21,37,False
2014-06-22,36,False
2014-06-23,66,False
2014-06-24,58,False
2014-06-25,43,False
2014-06-26,64,False
2014-06-27,62,False
2014-06-28,37,False
