date,JB Hunt,isPartial
2011-01-01,11,False
2011-01-02,30,False
2011-01-03,48,False
2011-01-04,38,False
2011-01-05,100,False
2011-01-06,87,False
2011-01-07,32,False
2011-01-08,28,False
2011-01-09,9,False
2011-01-10,67,False
2011-01-11,15,False
2011-01-12,22,False
2011-01-13,23,False
2011-01-14,46,False
2011-01-15,37,False
2011-01-16,27,False
2011-01-17,44,False
2011-01-18,36,False
2011-01-19,66,False
2011-01-20,29,False
2011-01-21,68,False
2011-01-22,73,False
2011-01-23,0,False
2011-01-24,50,False
2011-01-25,57,False
2011-01-26,58,False
2011-01-27,66,False
2011-01-28,38,False
2011-01-29,27,False
2011-01-30,9,False
2011-01-31,34,False
2011-02-01,55,False
2011-02-02,49,False
2011-02-03,36,False
2011-02-04,82,False
2011-02-05,53,False
2011-02-06,26,False
2011-02-07,63,False
2011-02-08,71,False
2011-02-09,57,False
2011-02-10,81,False
2011-02-11,69,False
2011-02-12,36,False
2011-02-13,26,False
2011-02-14,36,False
2011-02-15,90,False
2011-02-16,21,False
2011-02-17,51,False
2011-02-18,23,False
2011-02-19,26,False
2011-02-20,17,False
2011-02-21,71,False
2011-02-22,91,False
2011-02-23,36,False
2011-02-24,50,False
2011-02-25,30,False
2011-02-26,9,False
2011-02-27,26,False
2011-02-28,42,False
2011-03-01,35,False
2011-03-02,85,False
2011-03-03,43,False
2011-03-04,60,False
2011-03-05,44,False
2011-03-06,53,False
2011-03-07,22,False
2011-03-08,65,False
2011-03-09,49,False
2011-03-10,78,False
2011-03-11,14,False
2011-03-12,18,False
2011-03-13,36,False
2011-03-14,52,False
2011-03-15,28,False
2011-03-16,42,False
2011-03-17,58,False
2011-03-18,45,False
2011-03-19,26,False
2011-03-20,9,False
2011-03-21,21,False
2011-03-22,63,False
2011-03-23,28,False
2011-03-24,72,False
2011-03-25,45,False
2011-03-26,44,False
2011-03-27,35,False
2011-03-28,35,False
2011-03-29,56,False
2011-03-30,42,False
2011-03-31,14,False
2011-04-01,74,False
2011-04-02,36,False
2011-04-03,53,False
2011-04-04,55,False
2011-04-05,35,False
2011-04-06,28,False
2011-04-07,72,False
2011-04-08,38,False
2011-04-09,45,False
2011-04-10,36,False
2011-04-11,35,False
2011-04-12,14,False
2011-04-13,78,False
2011-04-14,58,False
2011-04-15,68,False
2011-04-16,36,False
2011-04-17,9,False
2011-04-18,86,False
2011-04-19,94,False
2011-04-20,67,False
2011-04-21,23,False
2011-04-22,43,False
2011-04-23,48,False
2011-04-24,29,False
2011-04-25,62,False
2011-04-26,56,False
2011-04-27,56,False
2011-04-28,91,False
2011-04-29,30,False
2011-04-30,36,False
2011-05-01,45,False
2011-05-02,21,False
2011-05-03,77,False
2011-05-04,49,False
2011-05-05,87,False
2011-05-06,45,False
2011-05-07,36,False
2011-05-08,45,False
2011-05-09,49,False
2011-05-10,35,False
2011-05-11,57,False
2011-05-12,14,False
