date,Broadcom,isPartial
2015-04-10,21,False
2015-04-11,18,False
2015-04-12,15,False
2015-04-13,21,False
2015-04-14,20,False
2015-04-15,22,False
2015-04-16,24,False
2015-04-17,22,False
2015-04-18,18,False
2015-04-19,21,False
2015-04-20,19,False
2015-04-21,21,False
2015-04-22,21,False
2015-04-23,23,False
2015-04-24,23,False
2015-04-25,18,False
2015-04-26,18,False
2015-04-27,21,False
2015-04-28,22,False
2015-04-29,27,False
2015-04-30,21,False
2015-05-01,24,False
2015-05-02,16,False
2015-05-03,15,False
2015-05-04,18,False
2015-05-05,17,False
2015-05-06,18,False
2015-05-07,23,False
2015-05-08,18,False
2015-05-09,18,False
2015-05-10,15,False
2015-05-11,20,False
2015-05-12,22,False
2015-05-13,18,False
2015-05-14,19,False
2015-05-15,21,False
2015-05-16,18,False
2015-05-17,17,False
2015-05-18,21,False
2015-05-19,20,False
2015-05-20,23,False
2015-05-21,23,False
2015-05-22,16,False
2015-05-23,17,False
2015-05-24,19,False
2015-05-25,17,False
2015-05-26,21,False
2015-05-27,42,False
2015-05-28,100,False
2015-05-29,53,False
2015-05-30,36,False
2015-05-31,28,False
2015-06-01,37,False
2015-06-02,29,False
2015-06-03,29,False
2015-06-04,27,False
2015-06-05,22,False
2015-06-06,17,False
2015-06-07,16,False
2015-06-08,19,False
2015-06-09,24,False
2015-06-10,26,False
2015-06-11,24,False
2015-06-12,26,False
2015-06-13,20,False
2015-06-14,17,False
2015-06-15,24,False
2015-06-16,28,False
2015-06-17,22,False
2015-06-18,25,False
2015-06-19,22,False
2015-06-20,18,False
2015-06-21,16,False
2015-06-22,21,False
2015-06-23,22,False
2015-06-24,25,False
2015-06-25,23,False
2015-06-26,25,False
2015-06-27,20,False
2015-06-28,15,False
2015-06-29,19,False
2015-06-30,20,False
2015-07-01,21,False
2015-07-02,22,False
2015-07-03,19,False
2015-07-04,15,False
2015-07-05,18,False
2015-07-06,16,False
2015-07-07,19,False
2015-07-08,23,False
2015-07-09,22,False
2015-07-10,18,False
2015-07-11,14,False
2015-07-12,15,False
2015-07-13,18,False
2015-07-14,18,False
2015-07-15,19,False
2015-07-16,21,False
2015-07-17,21,False
2015-07-18,20,False
2015-07-19,17,False
2015-07-20,25,False
2015-07-21,21,False
2015-07-22,22,False
2015-07-23,22,False
2015-07-24,27,False
2015-07-25,17,False
2015-07-26,19,False
2015-07-27,18,False
2015-07-28,25,False
2015-07-29,27,False
2015-07-30,30,False
2015-07-31,24,False
2015-08-01,25,False
2015-08-02,25,False
2015-08-03,26,False
2015-08-04,27,False
2015-08-05,28,False
2015-08-06,25,False
2015-08-07,29,False
2015-08-08,24,False
2015-08-09,24,False
2015-08-10,24,False
2015-08-11,25,False
2015-08-12,27,False
2015-08-13,21,False
2015-08-14,24,False
2015-08-15,24,False
2015-08-16,21,False
2015-08-17,20,False
2015-08-18,28,False
2015-08-19,28,False
2015-08-20,25,False
2015-08-21,21,False
2015-08-22,23,False
2015-08-23,20,False
2015-08-24,24,False
2015-08-25,24,False
2015-08-26,28,False
2015-08-27,25,False
2015-08-28,26,False
2015-08-29,22,False
2015-08-30,21,False
2015-08-31,20,False
2015-09-01,22,False
2015-09-02,20,False
2015-09-03,26,False
2015-09-04,22,False
2015-09-05,20,False
2015-09-06,19,False
2015-09-07,22,False
2015-09-08,22,False
2015-09-09,25,False
2015-09-10,18,False
2015-09-11,28,False
2015-09-12,22,False
2015-09-13,20,False
2015-09-14,20,False
2015-09-15,23,False
2015-09-16,21,False
2015-09-17,20,False
2015-09-18,22,False
2015-09-19,19,False
2015-09-20,20,False
2015-09-21,22,False
2015-09-22,25,False
2015-09-23,28,False
2015-09-24,23,False
2015-09-25,22,False
2015-09-26,18,False
2015-09-27,16,False
2015-09-28,21,False
2015-09-29,25,False
2015-09-30,23,False
2015-10-01,22,False
2015-10-02,21,False
2015-10-03,21,False
2015-10-04,20,False
2015-10-05,24,False
2015-10-06,24,False
2015-10-07,22,False
2015-10-08,25,False
2015-10-09,21,False
2015-10-10,19,False
2015-10-11,16,False
2015-10-12,19,False
2015-10-13,24,False
2015-10-14,20,False
2015-10-15,21,False
2015-10-16,23,False
2015-10-17,18,False
2015-10-18,18,False
2015-10-19,24,False
2015-10-20,25,False
2015-10-21,21,False
2015-10-22,20,False
2015-10-23,19,False
2015-10-24,20,False
2015-10-25,19,False
2015-10-26,21,False
2015-10-27,25,False
2015-10-28,21,False
2015-10-29,20,False
2015-10-30,20,False
2015-10-31,20,False
2015-11-01,18,False
2015-11-02,20,False
2015-11-03,27,False
2015-11-04,19,False
2015-11-05,19,False
2015-11-06,19,False
2015-11-07,17,False
2015-11-08,17,False
2015-11-09,21,False
2015-11-10,21,False
2015-11-11,21,False
2015-11-12,20,False
2015-11-13,18,False
2015-11-14,15,False
2015-11-15,21,False
2015-11-16,19,False
2015-11-17,24,False
2015-11-18,18,False
2015-11-19,21,False
2015-11-20,18,False
2015-11-21,20,False
2015-11-22,22,False
2015-11-23,20,False
2015-11-24,20,False
2015-11-25,23,False
2015-11-26,22,False
2015-11-27,19,False
2015-11-28,20,False
2015-11-29,19,False
2015-11-30,22,False
2015-12-01,26,False
2015-12-02,21,False
2015-12-03,18,False
2015-12-04,21,False
2015-12-05,20,False
2015-12-06,18,False
2015-12-07,19,False
2015-12-08,22,False
2015-12-09,20,False
2015-12-10,19,False
2015-12-11,18,False
2015-12-12,15,False
2015-12-13,19,False
2015-12-14,18,False
2015-12-15,20,False
2015-12-16,23,False
2015-12-17,20,False
2015-12-18,22,False
2015-12-19,20,False
2015-12-20,19,False
2015-12-21,19,False
2015-12-22,18,False
2015-12-23,21,False
2015-12-24,19,False
2015-12-25,18,False
2015-12-26,21,False
