date,Broadcom,isPartial
2013-06-29,56,False
2013-06-30,57,False
2013-07-01,72,False
2013-07-02,90,False
2013-07-03,83,False
2013-07-04,59,False
2013-07-05,72,False
2013-07-06,56,False
2013-07-07,50,False
2013-07-08,77,False
2013-07-09,75,False
2013-07-10,65,False
2013-07-11,70,False
2013-07-12,66,False
2013-07-13,67,False
2013-07-14,56,False
2013-07-15,62,False
2013-07-16,64,False
2013-07-17,69,False
2013-07-18,81,False
2013-07-19,71,False
2013-07-20,53,False
2013-07-21,56,False
2013-07-22,71,False
2013-07-23,74,False
2013-07-24,86,False
2013-07-25,71,False
2013-07-26,82,False
2013-07-27,54,False
2013-07-28,51,False
2013-07-29,64,False
2013-07-30,75,False
2013-07-31,73,False
2013-08-01,70,False
2013-08-02,75,False
2013-08-03,65,False
2013-08-04,48,False
2013-08-05,79,False
2013-08-06,69,False
2013-08-07,80,False
2013-08-08,82,False
2013-08-09,77,False
2013-08-10,73,False
2013-08-11,67,False
2013-08-12,73,False
2013-08-13,62,False
2013-08-14,84,False
2013-08-15,68,False
2013-08-16,77,False
2013-08-17,66,False
2013-08-18,59,False
2013-08-19,65,False
2013-08-20,70,False
2013-08-21,78,False
2013-08-22,76,False
2013-08-23,81,False
2013-08-24,64,False
2013-08-25,60,False
2013-08-26,68,False
2013-08-27,66,False
2013-08-28,74,False
2013-08-29,63,False
2013-08-30,75,False
2013-08-31,82,False
2013-09-01,66,False
2013-09-02,68,False
2013-09-03,80,False
2013-09-04,88,False
2013-09-05,88,False
2013-09-06,76,False
2013-09-07,56,False
2013-09-08,69,False
2013-09-09,69,False
2013-09-10,88,False
2013-09-11,70,False
2013-09-12,70,False
2013-09-13,72,False
2013-09-14,77,False
2013-09-15,60,False
2013-09-16,76,False
2013-09-17,88,False
2013-09-18,78,False
2013-09-19,65,False
2013-09-20,78,False
2013-09-21,67,False
2013-09-22,63,False
2013-09-23,67,False
2013-09-24,67,False
2013-09-25,86,False
2013-09-26,80,False
2013-09-27,72,False
2013-09-28,63,False
2013-09-29,62,False
2013-09-30,85,False
2013-10-01,78,False
2013-10-02,76,False
2013-10-03,78,False
2013-10-04,74,False
2013-10-05,62,False
2013-10-06,56,False
