date,Celgene,isPartial
2011-01-01,0,False
2011-01-02,0,False
2011-01-03,65,False
2011-01-04,19,False
2011-01-05,62,False
2011-01-06,77,False
2011-01-07,65,False
2011-01-08,0,False
2011-01-09,37,False
2011-01-10,85,False
2011-01-11,42,False
2011-01-12,66,False
2011-01-13,49,False
2011-01-14,12,False
2011-01-15,0,False
2011-01-16,37,False
2011-01-17,12,False
2011-01-18,35,False
2011-01-19,30,False
2011-01-20,30,False
2011-01-21,37,False
2011-01-22,37,False
2011-01-23,29,False
2011-01-24,35,False
2011-01-25,29,False
2011-01-26,59,False
2011-01-27,30,False
2011-01-28,50,False
2011-01-29,21,False
2011-01-30,28,False
2011-01-31,56,False
2011-02-01,51,False
2011-02-02,56,False
2011-02-03,59,False
2011-02-04,85,False
2011-02-05,43,False
2011-02-06,28,False
2011-02-07,39,False
2011-02-08,58,False
2011-02-09,87,False
2011-02-10,12,False
2011-02-11,55,False
2011-02-12,22,False
2011-02-13,36,False
2011-02-14,46,False
2011-02-15,78,False
2011-02-16,57,False
2011-02-17,53,False
2011-02-18,62,False
2011-02-19,14,False
2011-02-20,35,False
2011-02-21,46,False
2011-02-22,52,False
2011-02-23,34,False
2011-02-24,17,False
2011-02-25,54,False
2011-02-26,7,False
2011-02-27,21,False
2011-02-28,39,False
2011-03-01,45,False
2011-03-02,17,False
2011-03-03,52,False
2011-03-04,43,False
2011-03-05,0,False
2011-03-06,15,False
2011-03-07,100,False
2011-03-08,65,False
2011-03-09,57,False
2011-03-10,46,False
2011-03-11,58,False
2011-03-12,15,False
2011-03-13,7,False
2011-03-14,24,False
2011-03-15,35,False
2011-03-16,29,False
2011-03-17,40,False
2011-03-18,55,False
2011-03-19,36,False
2011-03-20,29,False
2011-03-21,40,False
2011-03-22,68,False
2011-03-23,74,False
2011-03-24,64,False
2011-03-25,6,False
2011-03-26,14,False
2011-03-27,14,False
2011-03-28,45,False
2011-03-29,91,False
2011-03-30,63,False
2011-03-31,64,False
2011-04-01,48,False
2011-04-02,0,False
2011-04-03,7,False
2011-04-04,67,False
2011-04-05,40,False
2011-04-06,11,False
2011-04-07,52,False
2011-04-08,49,False
2011-04-09,0,False
2011-04-10,15,False
2011-04-11,56,False
2011-04-12,50,False
2011-04-13,46,False
2011-04-14,30,False
2011-04-15,24,False
2011-04-16,22,False
2011-04-17,22,False
2011-04-18,23,False
2011-04-19,71,False
2011-04-20,60,False
2011-04-21,38,False
2011-04-22,35,False
2011-04-23,0,False
2011-04-24,24,False
2011-04-25,32,False
2011-04-26,34,False
2011-04-27,57,False
2011-04-28,29,False
2011-04-29,43,False
2011-04-30,29,False
2011-05-01,7,False
2011-05-02,34,False
2011-05-03,51,False
2011-05-04,51,False
2011-05-05,35,False
2011-05-06,55,False
2011-05-07,7,False
2011-05-08,51,False
2011-05-09,34,False
2011-05-10,45,False
2011-05-11,23,False
2011-05-12,51,False
2011-05-13,42,False
2011-05-14,29,False
2011-05-15,14,False
2011-05-16,45,False
2011-05-17,51,False
2011-05-18,51,False
2011-05-19,34,False
2011-05-20,36,False
2011-05-21,15,False
2011-05-22,14,False
2011-05-23,33,False
2011-05-24,45,False
2011-05-25,34,False
2011-05-26,33,False
2011-05-27,24,False
2011-05-28,15,False
2011-05-29,22,False
2011-05-30,30,False
2011-05-31,28,False
2011-06-01,39,False
2011-06-02,30,False
2011-06-03,49,False
2011-06-04,30,False
2011-06-05,0,False
2011-06-06,56,False
2011-06-07,61,False
2011-06-08,34,False
2011-06-09,51,False
2011-06-10,48,False
2011-06-11,7,False
2011-06-12,22,False
2011-06-13,34,False
2011-06-14,55,False
2011-06-15,28,False
2011-06-16,28,False
2011-06-17,54,False
2011-06-18,22,False
2011-06-19,0,False
2011-06-20,61,False
2011-06-21,73,False
2011-06-22,40,False
2011-06-23,35,False
2011-06-24,36,False
2011-06-25,7,False
2011-06-26,15,False
2011-06-27,73,False
2011-06-28,62,False
2011-06-29,17,False
2011-06-30,74,False
2011-07-01,55,False
2011-07-02,37,False
2011-07-03,7,False
2011-07-04,12,False
2011-07-05,52,False
2011-07-06,40,False
2011-07-07,46,False
2011-07-08,36,False
2011-07-09,15,False
2011-07-10,8,False
2011-07-11,62,False
2011-07-12,45,False
2011-07-13,40,False
2011-07-14,23,False
2011-07-15,49,False
2011-07-16,0,False
2011-07-17,15,False
