date,Celgene,isPartial
2014-03-16,18,False
2014-03-17,54,False
2014-03-18,56,False
2014-03-19,47,False
2014-03-20,74,False
2014-03-21,63,False
2014-03-22,28,False
2014-03-23,41,False
2014-03-24,97,False
2014-03-25,66,False
2014-03-26,74,False
2014-03-27,90,False
2014-03-28,59,False
2014-03-29,28,False
2014-03-30,33,False
2014-03-31,99,False
2014-04-01,62,False
2014-04-02,55,False
2014-04-03,50,False
2014-04-04,54,False
2014-04-05,25,False
2014-04-06,18,False
2014-04-07,67,False
2014-04-08,49,False
2014-04-09,68,False
2014-04-10,58,False
2014-04-11,52,False
2014-04-12,22,False
2014-04-13,25,False
2014-04-14,45,False
2014-04-15,57,False
2014-04-16,78,False
2014-04-17,81,False
2014-04-18,51,False
2014-04-19,26,False
2014-04-20,13,False
2014-04-21,60,False
2014-04-22,75,False
2014-04-23,65,False
2014-04-24,100,False
2014-04-25,57,False
2014-04-26,31,False
2014-04-27,18,False
2014-04-28,69,False
2014-04-29,71,False
2014-04-30,55,False
2014-05-01,55,False
2014-05-02,39,False
2014-05-03,37,False
2014-05-04,15,False
2014-05-05,49,False
2014-05-06,51,False
2014-05-07,44,False
2014-05-08,45,False
2014-05-09,52,False
2014-05-10,12,False
2014-05-11,18,False
2014-05-12,46,False
2014-05-13,75,False
2014-05-14,62,False
2014-05-15,47,False
2014-05-16,46,False
2014-05-17,3,False
2014-05-18,16,False
2014-05-19,57,False
2014-05-20,57,False
2014-05-21,68,False
2014-05-22,55,False
2014-05-23,45,False
2014-05-24,10,False
2014-05-25,21,False
2014-05-26,32,False
2014-05-27,50,False
2014-05-28,45,False
2014-05-29,38,False
2014-05-30,61,False
2014-05-31,25,False
2014-06-01,24,False
2014-06-02,45,False
2014-06-03,40,False
2014-06-04,74,False
2014-06-05,58,False
2014-06-06,55,False
2014-06-07,25,False
2014-06-08,18,False
2014-06-09,35,False
2014-06-10,47,False
2014-06-11,66,False
2014-06-12,79,False
2014-06-13,54,False
2014-06-14,17,False
2014-06-15,10,False
2014-06-16,49,False
2014-06-17,48,False
2014-06-18,55,False
2014-06-19,74,False
2014-06-20,71,False
2014-06-21,14,False
