date,Celgene,isPartial
2011-05-11,30,False
2011-05-12,37,False
2011-05-13,45,False
2011-05-14,23,False
2011-05-15,7,False
2011-05-16,78,False
2011-05-17,48,False
2011-05-18,67,False
2011-05-19,25,False
2011-05-20,45,False
2011-05-21,16,False
2011-05-22,8,False
2011-05-23,48,False
2011-05-24,24,False
2011-05-25,49,False
2011-05-26,42,False
2011-05-27,7,False
2011-05-28,23,False
2011-05-29,24,False
2011-05-30,32,False
2011-05-31,24,False
2011-06-01,36,False
2011-06-02,65,False
2011-06-03,52,False
2011-06-04,24,False
2011-06-05,15,False
2011-06-06,90,False
2011-06-07,66,False
2011-06-08,30,False
2011-06-09,55,False
2011-06-10,52,False
2011-06-11,23,False
2011-06-12,16,False
2011-06-13,37,False
2011-06-14,48,False
2011-06-15,60,False
2011-06-16,55,False
2011-06-17,77,False
2011-06-18,23,False
2011-06-19,8,False
2011-06-20,71,False
2011-06-21,97,False
2011-06-22,36,False
2011-06-23,44,False
2011-06-24,59,False
2011-06-25,16,False
2011-06-26,24,False
2011-06-27,54,False
2011-06-28,54,False
2011-06-29,25,False
2011-06-30,56,False
2011-07-01,45,False
2011-07-02,24,False
2011-07-03,8,False
2011-07-04,6,False
2011-07-05,62,False
2011-07-06,31,False
2011-07-07,56,False
2011-07-08,52,False
2011-07-09,8,False
2011-07-10,8,False
2011-07-11,67,False
2011-07-12,37,False
2011-07-13,43,False
2011-07-14,63,False
2011-07-15,33,False
2011-07-16,0,False
2011-07-17,8,False
2011-07-18,55,False
2011-07-19,73,False
2011-07-20,31,False
2011-07-21,25,False
2011-07-22,39,False
2011-07-23,8,False
2011-07-24,15,False
2011-07-25,67,False
2011-07-26,67,False
2011-07-27,49,False
2011-07-28,37,False
2011-07-29,46,False
2011-07-30,8,False
2011-07-31,31,False
2011-08-01,49,False
2011-08-02,31,False
2011-08-03,67,False
2011-08-04,43,False
2011-08-05,64,False
2011-08-06,8,False
2011-08-07,8,False
2011-08-08,71,False
2011-08-09,52,False
2011-08-10,36,False
2011-08-11,73,False
