date,Celgene,isPartial
2013-11-06,55,False
2013-11-07,70,False
2013-11-08,33,False
2013-11-09,19,False
2013-11-10,13,False
2013-11-11,45,False
2013-11-12,76,False
2013-11-13,40,False
2013-11-14,32,False
2013-11-15,52,False
2013-11-16,13,False
2013-11-17,21,False
2013-11-18,26,False
2013-11-19,72,False
2013-11-20,33,False
2013-11-21,45,False
2013-11-22,55,False
2013-11-23,13,False
2013-11-24,8,False
2013-11-25,28,False
2013-11-26,30,False
2013-11-27,31,False
2013-11-28,26,False
2013-11-29,21,False
2013-11-30,13,False
2013-12-01,2,False
2013-12-02,38,False
2013-12-03,48,False
2013-12-04,51,False
2013-12-05,53,False
2013-12-06,57,False
2013-12-07,29,False
2013-12-08,10,False
2013-12-09,48,False
2013-12-10,50,False
2013-12-11,46,False
2013-12-12,29,False
2013-12-13,57,False
2013-12-14,8,False
2013-12-15,10,False
2013-12-16,34,False
2013-12-17,63,False
2013-12-18,32,False
2013-12-19,42,False
2013-12-20,15,False
2013-12-21,14,False
2013-12-22,11,False
2013-12-23,20,False
2013-12-24,30,False
2013-12-25,3,False
2013-12-26,20,False
2013-12-27,17,False
2013-12-28,8,False
2013-12-29,21,False
2013-12-30,26,False
2013-12-31,16,False
2014-01-01,14,False
2014-01-02,27,False
2014-01-03,27,False
2014-01-04,13,False
2014-01-05,8,False
2014-01-06,44,False
2014-01-07,61,False
2014-01-08,39,False
2014-01-09,54,False
2014-01-10,44,False
2014-01-11,22,False
2014-01-12,28,False
2014-01-13,55,False
2014-01-14,47,False
2014-01-15,36,False
2014-01-16,47,False
2014-01-17,43,False
2014-01-18,10,False
2014-01-19,30,False
2014-01-20,21,False
2014-01-21,46,False
2014-01-22,51,False
2014-01-23,36,False
2014-01-24,35,False
2014-01-25,25,False
2014-01-26,10,False
2014-01-27,33,False
2014-01-28,46,False
2014-01-29,38,False
2014-01-30,65,False
2014-01-31,38,False
2014-02-01,12,False
2014-02-02,12,False
2014-02-03,27,False
2014-02-04,56,False
2014-02-05,34,False
2014-02-06,32,False
2014-02-07,64,False
2014-02-08,34,False
2014-02-09,14,False
2014-02-10,45,False
2014-02-11,52,False
2014-02-12,37,False
2014-02-13,40,False
2014-02-14,52,False
2014-02-15,17,False
2014-02-16,15,False
2014-02-17,19,False
2014-02-18,50,False
2014-02-19,64,False
2014-02-20,40,False
2014-02-21,51,False
2014-02-22,17,False
2014-02-23,29,False
2014-02-24,25,False
2014-02-25,59,False
2014-02-26,45,False
2014-02-27,42,False
2014-02-28,26,False
2014-03-01,22,False
2014-03-02,7,False
2014-03-03,38,False
2014-03-04,58,False
2014-03-05,51,False
2014-03-06,57,False
2014-03-07,51,False
2014-03-08,22,False
2014-03-09,20,False
2014-03-10,70,False
2014-03-11,56,False
2014-03-12,42,False
2014-03-13,38,False
2014-03-14,57,False
2014-03-15,15,False
2014-03-16,12,False
2014-03-17,53,False
2014-03-18,37,False
2014-03-19,74,False
2014-03-20,60,False
2014-03-21,51,False
2014-03-22,30,False
2014-03-23,45,False
2014-03-24,68,False
2014-03-25,58,False
2014-03-26,54,False
2014-03-27,63,False
2014-03-28,32,False
2014-03-29,22,False
2014-03-30,20,False
2014-03-31,48,False
2014-04-01,46,False
2014-04-02,44,False
2014-04-03,42,False
2014-04-04,48,False
2014-04-05,22,False
2014-04-06,12,False
2014-04-07,41,False
2014-04-08,37,False
2014-04-09,50,False
2014-04-10,55,False
2014-04-11,26,False
2014-04-12,13,False
2014-04-13,12,False
2014-04-14,28,False
2014-04-15,59,False
2014-04-16,60,False
2014-04-17,52,False
2014-04-18,47,False
2014-04-19,21,False
2014-04-20,11,False
2014-04-21,41,False
2014-04-22,50,False
2014-04-23,67,False
2014-04-24,83,False
2014-04-25,51,False
2014-04-26,18,False
2014-04-27,22,False
2014-04-28,35,False
2014-04-29,53,False
2014-04-30,47,False
2014-05-01,46,False
2014-05-02,36,False
2014-05-03,15,False
2014-05-04,7,False
2014-05-05,21,False
2014-05-06,35,False
2014-05-07,35,False
2014-05-08,38,False
2014-05-09,40,False
2014-05-10,17,False
2014-05-11,15,False
2014-05-12,41,False
2014-05-13,60,False
2014-05-14,55,False
2014-05-15,44,False
2014-05-16,32,False
2014-05-17,13,False
2014-05-18,18,False
2014-05-19,42,False
2014-05-20,29,False
2014-05-21,54,False
2014-05-22,39,False
2014-05-23,24,False
2014-05-24,8,False
2014-05-25,14,False
2014-05-26,35,False
2014-05-27,38,False
2014-05-28,46,False
2014-05-29,38,False
2014-05-30,47,False
2014-05-31,11,False
2014-06-01,17,False
2014-06-02,37,False
2014-06-03,52,False
2014-06-04,48,False
2014-06-05,58,False
2014-06-06,22,False
2014-06-07,17,False
2014-06-08,11,False
2014-06-09,26,False
2014-06-10,26,False
2014-06-11,44,False
2014-06-12,42,False
2014-06-13,29,False
2014-06-14,14,False
2014-06-15,17,False
2014-06-16,42,False
2014-06-17,62,False
2014-06-18,52,False
2014-06-19,53,False
2014-06-20,64,False
2014-06-21,14,False
2014-06-22,8,False
2014-06-23,66,False
2014-06-24,53,False
2014-06-25,73,False
2014-06-26,100,False
2014-06-27,55,False
2014-06-28,23,False
2014-06-29,26,False
2014-06-30,65,False
2014-07-01,83,False
2014-07-02,55,False
2014-07-03,34,False
2014-07-04,21,False
2014-07-05,32,False
2014-07-06,17,False
2014-07-07,57,False
2014-07-08,44,False
2014-07-09,43,False
2014-07-10,40,False
2014-07-11,72,False
2014-07-12,17,False
2014-07-13,11,False
2014-07-14,33,False
2014-07-15,47,False
2014-07-16,53,False
2014-07-17,43,False
2014-07-18,42,False
2014-07-19,14,False
2014-07-20,14,False
2014-07-21,33,False
2014-07-22,65,False
2014-07-23,49,False
2014-07-24,75,False
