date,fox,isPartial
2012-01-26,76,False
2012-01-27,76,False
2012-01-28,79,False
2012-01-29,80,False
2012-01-30,69,False
2012-01-31,68,False
2012-02-01,71,False
2012-02-02,68,False
2012-02-03,68,False
2012-02-04,67,False
2012-02-05,73,False
2012-02-06,65,False
2012-02-07,70,False
2012-02-08,71,False
2012-02-09,71,False
2012-02-10,70,False
2012-02-11,68,False
2012-02-12,71,False
2012-02-13,69,False
2012-02-14,69,False
2012-02-15,74,False
2012-02-16,67,False
2012-02-17,67,False
2012-02-18,70,False
2012-02-19,70,False
2012-02-20,64,False
2012-02-21,72,False
2012-02-22,66,False
2012-02-23,69,False
2012-02-24,71,False
2012-02-25,68,False
2012-02-26,70,False
2012-02-27,74,False
2012-02-28,76,False
2012-02-29,75,False
2012-03-01,70,False
2012-03-02,70,False
2012-03-03,73,False
2012-03-04,67,False
2012-03-05,65,False
2012-03-06,70,False
2012-03-07,83,False
2012-03-08,77,False
2012-03-09,71,False
2012-03-10,75,False
2012-03-11,73,False
2012-03-12,67,False
2012-03-13,67,False
2012-03-14,79,False
2012-03-15,74,False
2012-03-16,71,False
2012-03-17,66,False
2012-03-18,68,False
2012-03-19,66,False
2012-03-20,66,False
2012-03-21,69,False
2012-03-22,66,False
2012-03-23,72,False
2012-03-24,67,False
2012-03-25,67,False
2012-03-26,65,False
2012-03-27,70,False
2012-03-28,74,False
2012-03-29,71,False
2012-03-30,66,False
2012-03-31,66,False
2012-04-01,65,False
2012-04-02,62,False
2012-04-03,77,False
2012-04-04,72,False
2012-04-05,70,False
2012-04-06,69,False
2012-04-07,70,False
2012-04-08,73,False
2012-04-09,70,False
2012-04-10,65,False
2012-04-11,68,False
2012-04-12,72,False
2012-04-13,72,False
2012-04-14,68,False
2012-04-15,75,False
2012-04-16,65,False
2012-04-17,72,False
2012-04-18,73,False
2012-04-19,70,False
2012-04-20,68,False
2012-04-21,74,False
2012-04-22,67,False
2012-04-23,64,False
2012-04-24,83,False
2012-04-25,81,False
2012-04-26,67,False
2012-04-27,63,False
2012-04-28,66,False
2012-04-29,66,False
2012-04-30,69,False
2012-05-01,70,False
2012-05-02,66,False
2012-05-03,69,False
2012-05-04,68,False
2012-05-05,71,False
2012-05-06,74,False
2012-05-07,65,False
2012-05-08,69,False
2012-05-09,73,False
2012-05-10,68,False
2012-05-11,72,False
2012-05-12,66,False
2012-05-13,66,False
2012-05-14,60,False
2012-05-15,60,False
2012-05-16,64,False
2012-05-17,69,False
2012-05-18,68,False
2012-05-19,73,False
2012-05-20,65,False
2012-05-21,65,False
2012-05-22,66,False
2012-05-23,69,False
2012-05-24,72,False
2012-05-25,73,False
2012-05-26,68,False
2012-05-27,67,False
2012-05-28,59,False
2012-05-29,58,False
2012-05-30,64,False
2012-05-31,64,False
2012-06-01,63,False
2012-06-02,65,False
2012-06-03,67,False
2012-06-04,60,False
2012-06-05,62,False
2012-06-06,68,False
2012-06-07,62,False
2012-06-08,64,False
2012-06-09,65,False
2012-06-10,64,False
2012-06-11,61,False
2012-06-12,61,False
2012-06-13,59,False
2012-06-14,63,False
2012-06-15,61,False
2012-06-16,62,False
2012-06-17,63,False
2012-06-18,59,False
2012-06-19,58,False
2012-06-20,62,False
2012-06-21,65,False
2012-06-22,66,False
2012-06-23,66,False
2012-06-24,64,False
2012-06-25,63,False
2012-06-26,68,False
2012-06-27,73,False
2012-06-28,94,False
2012-06-29,68,False
2012-06-30,65,False
2012-07-01,65,False
2012-07-02,63,False
2012-07-03,64,False
2012-07-04,58,False
2012-07-05,66,False
2012-07-06,65,False
2012-07-07,67,False
2012-07-08,66,False
2012-07-09,59,False
2012-07-10,63,False
2012-07-11,61,False
2012-07-12,61,False
2012-07-13,63,False
2012-07-14,65,False
2012-07-15,62,False
2012-07-16,61,False
2012-07-17,62,False
2012-07-18,63,False
2012-07-19,63,False
2012-07-20,76,False
2012-07-21,73,False
2012-07-22,74,False
2012-07-23,64,False
2012-07-24,63,False
2012-07-25,64,False
2012-07-26,63,False
2012-07-27,66,False
2012-07-28,63,False
2012-07-29,63,False
2012-07-30,61,False
2012-07-31,62,False
2012-08-01,65,False
2012-08-02,64,False
2012-08-03,65,False
2012-08-04,65,False
2012-08-05,70,False
2012-08-06,64,False
2012-08-07,61,False
2012-08-08,63,False
2012-08-09,63,False
2012-08-10,63,False
2012-08-11,68,False
2012-08-12,63,False
2012-08-13,64,False
2012-08-14,62,False
2012-08-15,67,False
2012-08-16,65,False
2012-08-17,64,False
2012-08-18,68,False
2012-08-19,67,False
2012-08-20,67,False
2012-08-21,64,False
2012-08-22,69,False
2012-08-23,68,False
2012-08-24,69,False
2012-08-25,71,False
2012-08-26,74,False
2012-08-27,65,False
2012-08-28,66,False
2012-08-29,74,False
2012-08-30,69,False
2012-08-31,73,False
2012-09-01,74,False
2012-09-02,68,False
2012-09-03,58,False
2012-09-04,60,False
2012-09-05,66,False
2012-09-06,69,False
2012-09-07,72,False
2012-09-08,72,False
2012-09-09,75,False
2012-09-10,65,False
2012-09-11,67,False
2012-09-12,69,False
2012-09-13,71,False
2012-09-14,74,False
2012-09-15,77,False
2012-09-16,82,False
2012-09-17,66,False
2012-09-18,77,False
2012-09-19,75,False
2012-09-20,71,False
2012-09-21,71,False
2012-09-22,68,False
2012-09-23,77,False
2012-09-24,70,False
2012-09-25,65,False
2012-09-26,70,False
2012-09-27,69,False
2012-09-28,84,False
2012-09-29,100,False
2012-09-30,85,False
2012-10-01,73,False
2012-10-02,70,False
2012-10-03,74,False
2012-10-04,87,False
2012-10-05,70,False
2012-10-06,72,False
2012-10-07,77,False
2012-10-08,65,False
2012-10-09,65,False
2012-10-10,66,False
2012-10-11,66,False
2012-10-12,91,False
